Molecule ChEMBL ID,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Document ChEMBL ID,Source Description,Document Journal,Document Year,Comment
CHEMBL458102,O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Sc1ccc(Cl)cc1Cl,Activity,,,,CHEMBL1285731,Genotoxicity in Salmonella Typhimurium by Ames test,T,BAO_0000019,assay format,CHEMBL1275271,Scientific Literature,Eur J Med Chem,2010.0,Toxic
CHEMBL518534,COc1ccc(Sc2c([N+](=O)[O-])cc(C#N)cc2[N+](=O)[O-])cc1,Activity,,,,CHEMBL1285731,Genotoxicity in Salmonella Typhimurium by Ames test,T,BAO_0000019,assay format,CHEMBL1275271,Scientific Literature,Eur J Med Chem,2010.0,Toxic
CHEMBL1276609,N#Cc1cc([N+](=O)[O-])c(S(=O)(=O)Nc2cccc(F)c2)c([N+](=O)[O-])c1,Activity,,,,CHEMBL1285731,Genotoxicity in Salmonella Typhimurium by Ames test,T,BAO_0000019,assay format,CHEMBL1275271,Scientific Literature,Eur J Med Chem,2010.0,Toxic
CHEMBL1213031,Cc1cc(/C=C/c2cccc(C(=O)Oc3ccc(F)cc3)c2)cc(C)c1O,Activity,,,,CHEMBL1216904,Binding affinity to TTR K15A mutant tetramer in human plasma assessed as covalent chemoselective amide bond formation with residue-15 of TTR subunit at 7.2 uM after 18 hrs by RP-HPLC analysis,B,BAO_0000366,cell-free format,CHEMBL1212806,Scientific Literature,Nat Chem Biol,2010.0,Not Active
CHEMBL1213333,NS(=O)(=O)c1ccc(C(=O)NCCCCCNC(=O)c2cccc(S(=O)(=O)OCCOCCOCCNC(=O)CCCC[C@@H]3SC[C@@H]4NC(=O)N[C@@H]43)c2)cc1,Activity,,,,CHEMBL1220455,Binding affinity to endogenously expressed carbonic anhydrase2 in Slc:ICR mouse using anti-mouse CA2 antibody by Western blot analysis,B,BAO_0000357,single protein format,CHEMBL1212715,Scientific Literature,Nat Chem Biol,2009.0,Active
CHEMBL1088375,CCCN(CCCNc1ccnc2cc(Cl)ccc12)Cc1ccccn1,Activity,,,,CHEMBL1117330,Mutagenic activity in Salmonella Typhimurium TA100 assessed as number of revertants after 48 hrs by Ames test,T,BAO_0000019,assay format,CHEMBL1157913,Scientific Literature,J Med Chem,2010.0,Non-toxic
CHEMBL486017,C[C@@H]1O[C@@H](O[C@H]2C(=O)c3c(O)cc(O)cc3O[C@@H]2c2ccc(O)c(O)c2)[C@H](O)[C@H](O)[C@H]1O,Activity,,,,CHEMBL1003428,Enhancement of norepinephrine-induced lipolysis in cell-free system consisting endogenous lipid droplets from Wistar rat fat cells assessed as free fatty acid release per mL of packed fat cells after 1 hr in presence of hormone-sensitive lipase,F,BAO_0000019,assay format,CHEMBL1150932,Scientific Literature,J Nat Prod,1998.0,Active
CHEMBL574144,CC(NC1=C(F)C(=O)c2c(F)c(F)c(F)c(F)c2C1=O)SSC(C)NC1=C(F)C(=O)c2c(F)c(F)c(F)c(F)c2C1=O,Activity,,,,CHEMBL1036902,Antimutagenic activity in Salmonella Typhimurium TA102 assessed as inhibition of H2O2-induced mutagenesis at 0.05 to 0.25 ug/ml after 48 hrs by Ames test,F,BAO_0000218,organism-based format,CHEMBL1154684,Scientific Literature,Eur J Med Chem,2010.0,Active
CHEMBL479316,C[C@H]1C=C(C=O)C(C=O)=C[C@@H]2CC(C)(C)C[C@@H]21,Activity,,,,CHEMBL1030054,Mutagenic activity in Salmonella TA 98 by microsome assay in presence of rat liver S9 fraction,T,BAO_0000218,organism-based format,CHEMBL1151648,Scientific Literature,J Nat Prod,1985.0,Not Active
CHEMBL494931,O=C(O)Cn1c2ccc(Cl)cc2c2nc3ccccc3nc21,Activity,,,,CHEMBL1024889,Antiviral activity against Vaccinia virus WR in BSC1 cells assessed as retention of antiviral potency by measuring exogenous double stranded DNA trapping,F,BAO_0000218,organism-based format,CHEMBL1140145,Scientific Literature,J Med Chem,2008.0,Active
CHEMBL492887,Cc1cc(OC(=O)c2ccco2)nc(SCc2c(Cl)cccc2Cl)n1,Activity,,,,CHEMBL1024889,Antiviral activity against Vaccinia virus WR in BSC1 cells assessed as retention of antiviral potency by measuring exogenous double stranded DNA trapping,F,BAO_0000218,organism-based format,CHEMBL1140145,Scientific Literature,J Med Chem,2008.0,Active
CHEMBL492467,Cc1csc2c(N3CCN(C(=O)NC(C)(C)C)CC3)ncnc12,Activity,,,,CHEMBL1024889,Antiviral activity against Vaccinia virus WR in BSC1 cells assessed as retention of antiviral potency by measuring exogenous double stranded DNA trapping,F,BAO_0000218,organism-based format,CHEMBL1140145,Scientific Literature,J Med Chem,2008.0,Active
CHEMBL507828,CCN(CC)Cn1nc2c3c(cccc3c1=O)-c1ccccc1-2,Activity,,,,CHEMBL1024889,Antiviral activity against Vaccinia virus WR in BSC1 cells assessed as retention of antiviral potency by measuring exogenous double stranded DNA trapping,F,BAO_0000218,organism-based format,CHEMBL1140145,Scientific Literature,J Med Chem,2008.0,Not Active
CHEMBL454514,CC/C=C/C=C/C=C/C=C/C=C/OC[C@@H](O)CO,Activity,,,,CHEMBL1034216,Mutagenic activity in Salmonella Typhimurium TA98 assessed as number of revertant colonies at 100000 ng/plate after 48 hrs by Ames assay,T,BAO_0000218,organism-based format,CHEMBL1137793,Scientific Literature,J Nat Prod,1987.0,Not Determined
CHEMBL450641,CC/C=C/C=C/C=C/C=C/OCC(O)CO,Activity,,,,CHEMBL1023171,Mutagenic activity in Salmonella Typhimurium TA98 assessed as number of revertant colonies at 156 ng/plate after 48 hrs by Ames assay,T,BAO_0000218,organism-based format,CHEMBL1137793,Scientific Literature,J Nat Prod,1987.0,Not Determined
CHEMBL225703,COc1cc(-c2cc(=O)c3c(OC)c(OC)c(OC)c(OC)c3o2)ccc1O,Activity,,,,CHEMBL1001932,Antimutagenic activity in Salmonella Typhimurium TA1535 carrying pSK1002 containing umuC'-lacZ fused gene assessed as suppression of 0.1 j/M2 UV light-induced SOS response to alteration in DNA synthesis measured by beta-galactosidase activity by Umu test,F,BAO_0000218,organism-based format,CHEMBL1148948,Scientific Literature,J Nat Prod,2004.0,Active
CHEMBL76447,COc1ccc(-c2cc(=O)c3c(OC)c(OC)c(OC)c(OC)c3o2)cc1OC,Activity,,,,CHEMBL1001930,Antimutagenic activity in Salmonella Typhimurium TA1535 carrying pSK1002 containing umuC'-lacZ fused gene assessed as suppression of Trp-P-1-induced SOS response to alteration in DNA synthesis measured by beta-galactosidase activity by Umu test,F,BAO_0000218,organism-based format,CHEMBL1148948,Scientific Literature,J Nat Prod,2004.0,Active
CHEMBL406819,O=[N+]([O-])/N=C1\NCCN1Cc1ccc(Cl)nc1,Activity,,,,CHEMBL3057364,Mutagenicity in Salmonella enterica subsp. enterica serovar Typhimurium,T,BAO_0000218,organism-based format,CHEMBL3046770,Scientific Literature,Biosci Biotechnol Biochem,1992.0,Non-toxic
CHEMBL1089865,Cc1ccc(C(=O)NC2CC2)cc1-c1cc2cnn(-c3c(F)cccc3F)c2n(C)c1=O,Activity,,,,CHEMBL1104519,Mutagenic activity in Salmonella Typhimurium by Ames test,T,BAO_0000019,assay format,CHEMBL1156338,Scientific Literature,J Med Chem,2010.0,Non-toxic
CHEMBL1481601,CC(C)(C)/C(O)=C/c1nc2cc(Cl)ccc2oc1=O,Activity,'=',4.129,um,CHEMBL1738021,"PUBCHEM_BIOASSAY: Late stage results from the probe development effort to identify inhibitors of the Janus kinase 2 mutant JAK2V617F. (Class of assay: screening) [Related pubchem assays (depositor defined):AID1446, AID1486, AID1520, AID1521, AID1691, AID1699, AID1797] Panel member name: irf1 Inhibition (Ba/F3 cells)",U,BAO_0000219,cell-based format,CHEMBL1201862,PubChem BioAssays,,,Active
CHEMBL1472103,O=C(CCl)NCc1cc(-c2ccc(Cl)cc2)no1,Activity,'=',5.558,um,CHEMBL1738021,"PUBCHEM_BIOASSAY: Late stage results from the probe development effort to identify inhibitors of the Janus kinase 2 mutant JAK2V617F. (Class of assay: screening) [Related pubchem assays (depositor defined):AID1446, AID1486, AID1520, AID1521, AID1691, AID1699, AID1797] Panel member name: irf1 Inhibition (Ba/F3 cells)",U,BAO_0000219,cell-based format,CHEMBL1201862,PubChem BioAssays,,,Active
CHEMBL1501466,Cc1ccc2nc(C)cc(Nc3ccc([N+](=O)[O-])cc3)c2c1,Activity,'=',3.432,um,CHEMBL1738021,"PUBCHEM_BIOASSAY: Late stage results from the probe development effort to identify inhibitors of the Janus kinase 2 mutant JAK2V617F. (Class of assay: screening) [Related pubchem assays (depositor defined):AID1446, AID1486, AID1520, AID1521, AID1691, AID1699, AID1797] Panel member name: irf1 Inhibition (Ba/F3 cells)",U,BAO_0000219,cell-based format,CHEMBL1201862,PubChem BioAssays,,,Active
CHEMBL1087964,CCCN(CCCNc1ccnc2cc(Cl)ccc12)Cc1ccoc1,Activity,,,,CHEMBL1117330,Mutagenic activity in Salmonella Typhimurium TA100 assessed as number of revertants after 48 hrs by Ames test,T,BAO_0000019,assay format,CHEMBL1157913,Scientific Literature,J Med Chem,2010.0,Non-toxic
CHEMBL564495,[N-]=[N+]=NCc1cccc(C(=O)/C=C(\O)C(=O)O)c1,Activity,,,,CHEMBL1245933,Antiviral activity against HIV1 JRCSF infected in human vaginal epithelium assessed as inhibition of viral genomic integration by titration assay,F,BAO_0000019,assay format,CHEMBL1240364,Scientific Literature,Antimicrob Agents Chemother,2010.0,Dose-dependent effect
CHEMBL471718,CC1=CC[C@@H]([C@@H](C)[C@H]2CC[C@@]3(C)[C@@H]4CC[C@H]5[C@](C)(C(=O)O)[C@@H](O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)CC[C@@]56C[C@@]46CC[C@]23C)OC1=O,Activity,,,,CHEMBL1011206,Mutagenic activity in Salmonella Typhimurium TM677 at 2.5 to 5.0 mg/mL in presence of Aroclor 1254 pretreated rat S9 liver homogenate by forward mutation assay,T,BAO_0000218,organism-based format,CHEMBL1147313,Scientific Literature,J Nat Prod,1989.0,Not Active
CHEMBL3326087,COc1ccc(/C=N/OCC(O)CN2CCC(O)CC2)cc1OC1CCCC1,Activity,,,,CHEMBL3372162,Genotoxicity against human HTLA-230 cells assessed as phosphorylation of histone H2AX at 100 uM after 24 hrs by Western blot analysis,T,BAO_0000219,cell-based format,CHEMBL3351268,Scientific Literature,J Med Chem,2014.0,Non-toxic
CHEMBL570803,COc1ccc(/C=N/OCC(=O)N2CC(C)OC(C)C2)cc1OC1CCCC1,Activity,,,,CHEMBL3372162,Genotoxicity against human HTLA-230 cells assessed as phosphorylation of histone H2AX at 100 uM after 24 hrs by Western blot analysis,T,BAO_0000219,cell-based format,CHEMBL3351268,Scientific Literature,J Med Chem,2014.0,Non-toxic
CHEMBL340807,COc1ccc2c3c([nH]c2c1)C(C)=NCC3,Activity,,,,CHEMBL956133,Genotoxicity in CHO cells assessed as chromosomal aberrations at 2.5 ppm after 60 mins in dark followed by 5 W/m'2 UV irradiation for 30 mins,T,BAO_0000219,cell-based format,CHEMBL1148993,Scientific Literature,J Nat Prod,1983.0,Toxic
CHEMBL3683287,N#Cc1ccc(Oc2ccc(S(=O)(=O)Nc3ccc(F)cn3)cc2C#N)cc1Cl,Activity,,,,CHEMBL3853464,Mutagenicity in Salmonella typhi by Ames test in absence of S4 fraction,T,BAO_0000019,assay format,CHEMBL3853264,Scientific Literature,Medchemcomm,2016.0,Non-Toxic
CHEMBL3621911,O=[N+]([O-])c1cc(C[Se]c2nnn(Cc3ccccc3)n2)cc([N+](=O)[O-])c1,Activity,,,,CHEMBL3625263,Mutagenic activity in Salmonella typhimurium TA98 assessed as induction of reverse mutation at 50 uM,T,BAO_0000218,organism-based format,CHEMBL3621085,Scientific Literature,Medchemcomm,2015.0,Toxic
CHEMBL3621935,O=[N+]([O-])c1cc(CSc2nnn(Cc3ccccc3)n2)cc([N+](=O)[O-])c1,Activity,,,,CHEMBL3625263,Mutagenic activity in Salmonella typhimurium TA98 assessed as induction of reverse mutation at 50 uM,T,BAO_0000218,organism-based format,CHEMBL3621085,Scientific Literature,Medchemcomm,2015.0,Toxic
CHEMBL513973,Cc1ccc(S(=O)(=O)c2cc(O)c(Oc3cccc(C)c3)c(C)n2)cc1,Activity,,,,CHEMBL986181,Antibacterial activity against Staphylococcus aureus ATCC 6538 assessed as diameter of the inhibition zone at 1 uM/disk after 4 hrs by disk diffusion method,F,BAO_0000218,organism-based format,CHEMBL1151706,Scientific Literature,Bioorg Med Chem,2008.0,Not Active
CHEMBL520398,O=C(O)c1cnc2c(cnn2-c2ccccc2)c1Nc1cccc(Cl)c1,Activity,,,,CHEMBL969698,Antibacterial activity against drug-resistant Enterococcus faecalis clinical isolate assessed as inhibition zone diameter after 24 hrs by antibacterial susceptibility test,F,BAO_0000218,organism-based format,CHEMBL1139420,Scientific Literature,Bioorg Med Chem,2008.0,Not Active
CHEMBL508438,Cc1cccc(Nc2c(C(=O)O)cnc3sccc23)c1,Activity,,,,CHEMBL969697,Antibacterial activity against drug-resistant Klebsiella pneumoniae clinical isolate assessed as inhibition zone diameter after 24 hrs by antibacterial susceptibility test,F,BAO_0000218,organism-based format,CHEMBL1139420,Scientific Literature,Bioorg Med Chem,2008.0,Not Active
CHEMBL486455,COc1cccc(Nc2c(C(=O)O)cnc3c2cnn3-c2ccccc2)c1,Activity,,,,CHEMBL969697,Antibacterial activity against drug-resistant Klebsiella pneumoniae clinical isolate assessed as inhibition zone diameter after 24 hrs by antibacterial susceptibility test,F,BAO_0000218,organism-based format,CHEMBL1139420,Scientific Literature,Bioorg Med Chem,2008.0,Not Active
CHEMBL504835,Cc1ccc(Nc2c(C(=O)O)cnc3sccc23)cc1,Activity,,,,CHEMBL969696,Antibacterial activity against drug-resistant Acinetobacter calcoaceticus clinical isolate assessed as inhibition zone diameter after 24 hrs by antibacterial susceptibility test,F,BAO_0000218,organism-based format,CHEMBL1139420,Scientific Literature,Bioorg Med Chem,2008.0,Not Active
CHEMBL500345,CCCCSC[C@H]1O[C@H](OC)[C@@H](O)[C@@H]1O,Activity,,,,CHEMBL954861,Antibacterial activity against Mycobacterium smegmatis ATCC 14468 assessed as inhibition zone diameter at 10 mg/mL after 24 hrs by Kirby-Bauer disk diffusion assay,F,BAO_0000218,organism-based format,CHEMBL1150325,Scientific Literature,Bioorg Med Chem,2008.0,Not Active
CHEMBL513973,Cc1ccc(S(=O)(=O)c2cc(O)c(Oc3cccc(C)c3)c(C)n2)cc1,Activity,,,,CHEMBL986183,Antibacterial activity against Escherichia coli ATCC 11229 assessed as diameter of the inhibition zone at 1 uM/disk after 4 hrs by disk diffusion method,F,BAO_0000218,organism-based format,CHEMBL1151706,Scientific Literature,Bioorg Med Chem,2008.0,Not Active
CHEMBL457875,COc1nc(S(=O)(=O)c2ccccc2)cc(O)c1Sc1ccccc1,Activity,,,,CHEMBL986183,Antibacterial activity against Escherichia coli ATCC 11229 assessed as diameter of the inhibition zone at 1 uM/disk after 4 hrs by disk diffusion method,F,BAO_0000218,organism-based format,CHEMBL1151706,Scientific Literature,Bioorg Med Chem,2008.0,Not Active
CHEMBL1753,CCC[C@@H]1C[C@@H](C(=O)N[C@@H]([C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[C@H](C)Cl)N(C)C1,Activity,,,,CHEMBL1280003,Antibacterial activity against SCCmec type 4 genotype-positive and methicillin-resistant Staphylococcus aureus by CLSI method,F,BAO_0000218,organism-based format,CHEMBL1275494,Scientific Literature,Antimicrob Agents Chemother,2008.0,Active
CHEMBL2420111,Br.NC/C(=N\NC(N)=S)c1ccc([N+](=O)[O-])cc1,Activity,,,,CHEMBL2423211,Mutagenicity in Swiss albino mouse at 100 mg/kg after 30 hrs by micronucleus test,T,BAO_0000218,organism-based format,CHEMBL2417455,Scientific Literature,Eur J Med Chem,2013.0,Non-toxic
CHEMBL605364,COC(=O)C(=C(/C)c1cc(OC)cc(OC)c1)/C(=C\c1ccncc1)C(N)=O.Cl,Activity,,,,CHEMBL1073745,Genotoxicity in rat assessed as chromosomal aberration,T,BAO_0000218,organism-based format,CHEMBL1157557,Scientific Literature,Bioorg Med Chem,2010.0,Toxic
CHEMBL3933212,COc1cnc(O[C@@H]2C[C@@H](C(=O)N[C@]3(C(=O)NS(=O)(=O)C4CC4)C[C@H]3C3CC3)N(C(=O)[C@@H](NC(=O)O[C@H](C)C(F)(F)F)C3CCCCC3)C2)c2cc(Cl)ccc12,Activity,,,,CHEMBL3862835,Genotoxicity in Salmonella typhimurium in presence of S9 fraction by Ames test,T,BAO_0000218,organism-based format,CHEMBL3861981,Scientific Literature,J Med Chem,2016.0,Non-Toxic
CHEMBL167917,O=[N+]([O-])c1c2c(c3ccc4cccc5ccc1c3c45)CCCC2,Activity,,,,CHEMBL799657,Mutagenic activity in Salmonella Typhimurium TA98 using Ames test; Activity is log of revertants / nmol; a= inactive,F,BAO_0000218,organism-based format,CHEMBL1125820,Scientific Literature,J Med Chem,1991.0,Not Active
CHEMBL3804846,O=C1N[C@H](c2cncc(C#Cc3ccccc3)c2)[C@@H](c2cc(F)ccc2F)O1,Activity,,,,CHEMBL3808115,Mutagenicity in Salmonella typhimurium by Ames test,T,BAO_0000218,organism-based format,CHEMBL3804767,Scientific Literature,ACS Med Chem Lett,2016.0,Non-toxic
CHEMBL1221852,CCS(=O)(=O)N1C[C@H](C(=O)Nc2ccc(Cl)cn2)[C@@H](C(=O)Nc2ccc(-n3ccccc3=O)cc2F)C1,Activity,,,,CHEMBL1227364,Mutagenic activity in Salmonella Typhimurium by Ames test,T,BAO_0000019,assay format,CHEMBL1221236,Scientific Literature,Bioorg Med Chem Lett,2010.0,Non-toxic
CHEMBL470337,C[C@@H]1O[C@@H](Oc2coc3cc(O)cc(O)c3c2=O)[C@H](O)[C@H](O)[C@H]1O,Activity,,,,CHEMBL1003428,Enhancement of norepinephrine-induced lipolysis in cell-free system consisting endogenous lipid droplets from Wistar rat fat cells assessed as free fatty acid release per mL of packed fat cells after 1 hr in presence of hormone-sensitive lipase,F,BAO_0000019,assay format,CHEMBL1150932,Scientific Literature,J Nat Prod,1998.0,Active
CHEMBL2070736,CCc1csc(CN2CCO[C@@H](Cn3nnc4c(N)nc(C)nc43)C2)n1,Activity,,,,CHEMBL2073626,Genotoxicity in micronucleus,A,BAO_0000019,assay format,CHEMBL2069214,Scientific Literature,Bioorg Med Chem Lett,2012.0,Non-toxic
CHEMBL2070732,Nc1nc(C(F)(F)F)nc2c1nnn2C[C@H]1CN(Cc2ccccn2)CCO1,Activity,,,,CHEMBL2073627,Genotoxicity in Salmonella typhimurium,T,BAO_0000218,organism-based format,CHEMBL2069214,Scientific Literature,Bioorg Med Chem Lett,2012.0,Non-toxic
CHEMBL2181215,CCCN1COc2cc(Nc3ccnc4cc(Cl)ccc34)ccc2C1,Activity,,,,CHEMBL2186407,Genotoxicity in Salmonella typhimurium TA100 at 5 to 2490 uM after 90 mins by Ames test in presence of rat liver S9 fraction,T,BAO_0000218,organism-based format,CHEMBL2176916,Scientific Literature,J Med Chem,2012.0,Non-toxic
CHEMBL2181207,CCCN1CNc2cc(Nc3ccnc4cc(Cl)ccc34)ccc2C1,Activity,,,,CHEMBL2186409,Genotoxicity in Salmonella typhimurium TA100 at 5 to 2490 uM after 90 mins by Ames test in absence of rat liver S9 fraction,T,BAO_0000218,organism-based format,CHEMBL2176916,Scientific Literature,J Med Chem,2012.0,Non-toxic
CHEMBL2181214,CCN1COc2cc(Nc3ccnc4cc(Cl)ccc34)ccc2C1,Activity,,,,CHEMBL2186409,Genotoxicity in Salmonella typhimurium TA100 at 5 to 2490 uM after 90 mins by Ames test in absence of rat liver S9 fraction,T,BAO_0000218,organism-based format,CHEMBL2176916,Scientific Literature,J Med Chem,2012.0,Non-toxic
