StdInChIKey,Smiles,LogS,T,Source,REF1,REF2,REF3,REF4,REF5
AVZVLGDSSQKRGL-UHFFFAOYSA-N,O=C(COC(=O)c1ccccc1)N1CCOCC1,-1.773,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
AWMVMTVKBNGEAK-UHFFFAOYSA-N,c1(C2OC2)ccccc1,-1.6,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,,
AXGUBXVWZBFQGA-UHFFFAOYSA-N,Clc1ccc(C(O)(C(=O)OC(C)C)c2ccc(Cl)cc2)cc1,-4.53,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
AYFVYJQAPQTCCC-UHFFFAOYSA-N,O=C(O)C(N)C(O)C,-0.09,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
BACHBFVBHLGWSL-UHFFFAOYSA-N,Clc1c(Oc2ccc(OC(C(=O)OC)C)cc2)ccc(Cl)c1,-3.82,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
BAPJBEWLBFYGME-UHFFFAOYSA-N,O=C(OC)C=C,-0.22,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,,
BBEAQIROQSPTKN-UHFFFAOYSA-N,c12c3c4ccc1cccc2ccc3ccc4,-6.172998,NA,ONSchallenge,http://dx.doi.org/10.1016/S0378-3812(02)00077-8,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,
BBXXLROWFHWFQY-UHFFFAOYSA-N,O=c1c(CCCC)c(C)nc(NCC)[nH]1,-3.02497,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
BCCOBQSFUDVTJQ-UHFFFAOYSA-N,FC1(F)C(F)(F)C(F)(F)C1(F)F,-3.92,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
BCMCBBGGLRIHSE-UHFFFAOYSA-N,o1c2c(nc1)cccc2,-1.16,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
BDERNNFJNOPAEC-UHFFFAOYSA-N,OCCC,0.62,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
BFCFYVKQTRLZHA-UHFFFAOYSA-N,Clc1c([N+](=O)[O-])cccc1,-2.55,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
BFPYWIDHMRZLRN-UHFFFAOYSA-N,Oc1cc2c(cc1)C1C(C3C(C)(C(O)(C#C)CC3)CC1)CC2,-4.3,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
BGHCVCJVXZWKCC-UHFFFAOYSA-N,C(CCCCCCC)CCCCCC,-7.959992,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
BGNCCUHEGHNNAP-UHFFFAOYSA-N,S(=O)(=O)(N)c1sc2S(=O)(=O)CCC(=O)c2c1,-3.018,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
BKIMMITUMNQMOS-UHFFFAOYSA-N,C(CCCC)CCCC,-5.88,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
BMLIZLVNXIYGCK-UHFFFAOYSA-N,Clc1ccc(NC(=O)N(C)C)cc1,-2.91256,NA,ONSchallenge,http://eprints.ucl.ac.uk/24535/,http://dx.doi.org/10.1021/ci800406y,,,
BNUHAJGCKIQFGE-UHFFFAOYSA-N,O=[N+]([O-])c1ccc(OC)cc1,-2.41,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,,
BOCJQSFSGAZAPQ-UHFFFAOYSA-N,Clc1c2C(=O)c3c(C(=O)c2ccc1)cccc3,-5.54,NA,ONSchallenge,http://dx.doi.org/10.1080/00319100600805448,,,,
BOJWTAQWPVBIPG-UHFFFAOYSA-N,Fc1c([N+](=O)[O-])cc(C(=O)O)cc1,-1.579,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
BRBKOPJOKNSWSG-UHFFFAOYSA-N,S(=O)(=O)(N=C(N)N)c1ccc(N)cc1,-1.98497,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,,
BRLQWZUYTZBJKN-UHFFFAOYSA-N,ClCC1OC1,-0.15,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
BRPOVUNVTUCYNN-UHFFFAOYSA-N,Fc1c(N2C(CC)C(N)C2)cc2n(C3CC3)cc(C(=O)O)c(=O)c2c1,-3.912,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
BRUZQRBVNRKLJG-UHFFFAOYSA-N,O=C(OCC(C)C)N,-0.3,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
BTANRVKWQNVYAZ-UHFFFAOYSA-N,OC(CC)C,0.43,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,,
BTJIUGUIPKRLHP-UHFFFAOYSA-N,O=[N+]([O-])c1ccc(O)cc1,-0.74,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
BUNFNRVLMKHKIT-UHFFFAOYSA-N,O=[N+]([O-])c1c(NC(=O)C)cccc1,-1.91,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
BWXSXZAIQQSFPW-UHFFFAOYSA-N,O=[N+]([O-])c1cc2C(=O)OC(CC)(CC)c2cc1,-3.656,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
BXNJHAXVSOCGBA-UHFFFAOYSA-N,O(C)c1cc2[nH]c3c(C)nccc3c2cc1,-4.48,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
BXWNKGSJHAJOGX-UHFFFAOYSA-N,OCCCCCCCCCCCCCCCC,-7.260001,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
BYEVBITUADOIGY-UHFFFAOYSA-N,O=C(OCC)CCCCCCCC,-3.8,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,,
BZHMBWZPUJHVEE-UHFFFAOYSA-N,C(CC(C)C)(C)C,-4.26,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,,
BZKPWHYZMXOIDC-UHFFFAOYSA-N,S(=O)(=O)(N)c1sc(NC(=O)C)nn1,-2.43058,NA,ONSchallenge,http://www.springerlink.com/content/um5p375020237780/,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,
BZLVMXJERCGZMT-UHFFFAOYSA-N,O(C(C)(C)C)C,-0.24,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,,
BZTYNSQSZHARAZ-UHFFFAOYSA-N,Clc1c(c2ccc(Cl)cc2)ccc(Cl)c1,-6.21,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,,
CAQHPYSDQFDJAL-UHFFFAOYSA-N,O=C1C(=NO)c2c(cccc2)C=C1,-2.937,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
CBFCDTFDPHXCNY-UHFFFAOYSA-N,C(CCCCCCCCCC)CCCCCCCCC,-8.169989,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
CCGPUGMWYLICGL-UHFFFAOYSA-N,Clc1c(Cl)ccc(NC(=O)N(CCCC)C)c1,-4.77,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
CDAWCLOXVUBKRW-UHFFFAOYSA-N,Oc1c(N)cccc1,-0.72,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
CDOZDBSBBXSXLB-UHFFFAOYSA-N,N(C(CN1c2c(Sc3c1cccc3)cccc2)C)(CC)CC,-2.145,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
CDVNZMKTJIBBBV-UHFFFAOYSA-N,O=[N+]([O-])c1c(C)c(C(=O)O)cc([N+](=O)[O-])c1,-2.6,NA,ONSchallenge,http://dx.doi.org/10.1080/00319104.2010.538848,,,,
CEOCDNVZRAIOQZ-UHFFFAOYSA-N,Clc1c(Cl)c(Cl)cc(Cl)c1Cl,-5.654971,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,,
CERQOIWHTDAKMF-UHFFFAOYSA-N,O=C(O)C(=C)C,0.01,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
CFBYEGUGFPZCNF-UHFFFAOYSA-N,O=[N+]([O-])c1c(OC)cccc1,-1.96,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,,
CGBCCZZJVKUAMX-UHFFFAOYSA-N,ClC1=CC2C(C3(C1=CC(=O)C=C3)C)CCC1(C2CCC1(OC(=O)C)C(=O)C)C,-4.95,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
CHMBIJAOCISYEW-UHFFFAOYSA-N,O=C(Nc1ccc(N)cc1)C,-0.98,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
CHNUNORXWHYHNE-UHFFFAOYSA-N,Clc1c(OC(C)C)cc(n2c(=O)oc(C(C)(C)C)n2)c(Cl)c1,-5.69,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
CHNXZKVNWQUJIB-UHFFFAOYSA-N,O=C1C=C2C(C)(C3C(C4C(C)(C(O)(C#C)CC4)CC3)CC2)CC1,-5.66,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
CHVJITGCYZJHLR-UHFFFAOYSA-N,C1=CC=CCC=C1,-2.15,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,,
CIWBSHSKHKDKBQ-JLAZNSOCSA-N,O=C1C(=C(O)[C@@H]([C@@H](O)CO)O1)O,0.239374,NA,ONSchallenge,http://dx.doi.org/10.1016/0021-9614(89)90161-4,http://dx.doi.org/10.1021/je800056h,,,
CIWBSHSKHKDKBQ-UHFFFAOYSA-N,O=C1C(=C(O)C(C(O)CO)O1)O,-0.805,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
CJHXCRMKMMBYJQ-UHFFFAOYSA-N,Oc1c(CCCC)c(C)nc(N(C)C)n1,-2.24,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
CKRZKMFTZCFYGB-UHFFFAOYSA-N,ONc1ccccc1,-0.74,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
CMSMOCZEIVJLDB-UHFFFAOYSA-N,ClCCN(CCCl)P1(=O)OCCCN1,-0.815,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
CMVQZRLQEOAYSW-UHFFFAOYSA-N,Clc1c(Cl)cccc1[N+](=O)[O-],-3.48,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
CNGDZXAWOIPFFX-UHFFFAOYSA-N,S(=O)(=O)(N)c1scc(C(=O)c2ccc(OC)cc2)c1,-4.473,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
COLNVLDHVKWLRT-UHFFFAOYSA-N,O=C(O)C(N)Cc1ccccc1,-0.74473,NA,ONSchallenge,http://books.google.com/books?id=tfpQJjWcRs4C,,,,
CPGPAVAKSZHMBP-UHFFFAOYSA-N,Cc1c2c(cc3c1cccc3)cccc2,-5.89,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,,
CPNGPNLZQNNVQM-UHFFFAOYSA-N,n1c2nccnc2cnc1,0.02,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
CQRYARSYNCAZFO-UHFFFAOYSA-N,OCc1c(O)cccc1,-0.29,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
CSHWQDPOILHKBI-UHFFFAOYSA-N,c12c3c4c5c(c1cccc2ccc3)cccc5ccc4,-8.794931,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,,
CTJMNBROBOZHAP-UHFFFAOYSA-N,Fc1c(N2CC(N)C2)cc2n(C3CC3)cc(C(=O)O)c(=O)c2c1,-5.324,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
CULUWZNBISUWAS-UHFFFAOYSA-N,O=[N+]([O-])c1n(CC(=O)NCc2ccccc2)ccn1,-2.81,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
CVQODEWAPZVVBU-UHFFFAOYSA-N,O=C(Oc1cc(C)cc(C)c1)NC,-2.58,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
CVRALZAYCYJELZ-UHFFFAOYSA-N,Brc1c(Cl)cc(OP(=S)(OC)c2ccccc2)c(Cl)c1,-5.66,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
CVUGPAFCQJIYDT-UHFFFAOYSA-N,ClC(Cl)(Cl)C(c1c(Cl)cccc1)c1ccc(Cl)cc1,-6.62,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
CWJSHJJYOPWUGX-UHFFFAOYSA-N,Clc1cc(NC(=O)OC(C)C)ccc1,-3.38497,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,,
CWRYPZZKDGJXCA-UHFFFAOYSA-N,c12c3cccc1CCc2ccc3,-4.54,NA,ONSchallenge,http://dx.doi.org/10.1016/S0378-3812(02)00077-8,http://dx.doi.org/10.1021/ci800406y,,,
CXOFVDLJLONNDW-UHFFFAOYSA-N,O=C1C(c2ccccc2)(c2ccccc2)NC(=O)N1,-4.10651,NA,ONSchallenge,http://www.springerlink.com/content/um5p375020237780/,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,
CXWXQJXEFPUFDZ-UHFFFAOYSA-N,c12c(cccc1)CCCC2,-4.37,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
CYFLXLSBHQBMFT-UHFFFAOYSA-N,S(=O)(=O)(Nc1oc(C)c(C)n1)c1ccc(N)cc1,-2.44,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
CZGCEKJOLUNIFY-UHFFFAOYSA-N,Clc1ccc([N+](=O)[O-])cc1,-2.92,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,,
CZIHNRWJTSTCEX-UHFFFAOYSA-N,O=C(Nc1cc2c(c3c(cccc3)C2)cc1)C,-4.235,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
CZMRCDWAGMRECN-UGDNZRGBSA-N,O([C@@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)[C@@]1(CO)[C@@H](O)[C@H](O)[C@@H](CO)O1,0.79,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
CZPWVGJYEJSRLH-UHFFFAOYSA-N,n1cnccc1,1.1,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
DBABZHXKTCFAPX-UHFFFAOYSA-N,S(=O)(=O)(N(CCC)CCC)c1ccc(C(=O)O)cc1,-4.021,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
DBPWSSGDRRHUNT-UHFFFAOYSA-N,O=C(C)C1(O)C2(C)C(C3C(C4(C)C(=CC(=O)CC4)CC3)CC2)CC1,-4.71,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
DCAYPVUWAIABOU-UHFFFAOYSA-N,C(CCCCCCCC)CCCCCCC,-8.400008,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
DCUJJWWUNKIJPH-UHFFFAOYSA-N,ClC(Cl)(Cl)c1nc(Cl)ccc1,-3.76,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
DDUHZTYCFQRHIY-UHFFFAOYSA-N,Clc1c(OC)cc(OC)c2C(=O)C3(C(=CC(=O)CC3C)OC)Oc12,-4.65446,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,,
DEKWZWCFHUABHE-UHFFFAOYSA-N,Clc1ccc(C(CC(=O)C)c2c(=O)oc3c(c2O)cccc3)cc1,-5.84,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
DEWLEGDTCGBNGU-UHFFFAOYSA-N,ClCC(O)CCl,-0.11,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,,
DFBKLUNHFCTMDC-PICURKEMSA-N,ClC1(Cl)[C@]2(Cl)C(=C(Cl)[C@@]1(Cl)[C@@H]1[C@H]2[C@H]2[C@@H]3O[C@@H]3[C@@H]1C2)Cl,-6.29,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
DFCAFRGABIXSDS-UHFFFAOYSA-N,S(C(=O)N(CC)C1CCCCC1)CC,-3.4,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
DFOXKPDFWGNLJU-UHFFFAOYSA-N,OC(C(C)(C)C)C,-0.62,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,,
DFPAKSUCGFBDDF-UHFFFAOYSA-N,O=C(N)c1cnccc1,0.61,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
DFXQXFGFOLXAPO-UHFFFAOYSA-N,Clc1c([N+](=O)[O-])cc(C(=O)O)cc1,-2.66815,NA,ONSchallenge,http://books.google.com/books?id=DVTelD-xSA4C,http://dx.doi.org/10.1021/ci800406y,,,
DHKHKXVYLBGOIT-UHFFFAOYSA-N,O(C(OCC)C)CC,-0.43,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,,
DHMQDGOQFOQNFH-UHFFFAOYSA-N,O=C(O)CN,0.521792,NA,ONSchallenge,http://books.google.com/books?id=tfpQJjWcRs4C,,,,
DHXVGJBLRPWPCS-UHFFFAOYSA-N,O1CCCCC1,-0.03,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,,
DJHHDLMTUOLVHY-UHFFFAOYSA-N,Clc1c(Cl)c(Cl)c2Oc3c(Oc2c1Cl)cccc3,-8.770062,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
DJPZSBANTAQNFN-UHFFFAOYSA-N,O=C(OC1C2(C)C(C3C(C4(C)C(=CC(=O)CC4)CC3)CC2)CC1)C,-5.18,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
DKMROQRQHGEIOW-UHFFFAOYSA-N,O=C(OCC)CCC(=O)OCC,-0.959,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,,
DLFVBJFMPXGRIB-UHFFFAOYSA-N,O=C(N)C,1.58,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,,
DLKQHBOKULLWDQ-UHFFFAOYSA-N,Brc1c2c(ccc1)cccc2,-4.35,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
DLVAUVPZQHGFJC-UHFFFAOYSA-N,O=C(N(CC(=O)N)C)COC(=O)c1ccccc1,-0.918,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
DMDGGSIALPNSEE-UHFFFAOYSA-N,S(=O)(=O)(N)c1c(C(F)(F)F)cc2NCNS(=O)(=O)c2c1,-3.02,NA,ONSchallenge,http://www.springerlink.com/content/um5p375020237780/,http://dx.doi.org/10.1021/ci800406y,,,
DMEGYFMYUHOHGS-UHFFFAOYSA-N,C1CCCCCC1,-3.52,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
DNJIEGIFACGWOD-UHFFFAOYSA-N,SCC,-0.6,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
DOFZAZXDOSGAJZ-UHFFFAOYSA-N,S=P(SCCSCC)(OCC)OCC,-4.23,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
DOIRQSBPFJWKBE-UHFFFAOYSA-N,O=C(OCCCC)c1c(C(=O)OCCCC)cccc1,-4.33587,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,,
DOWJXOHBNXRUOD-UHFFFAOYSA-N,Cc1c2c(c3c(cc2)cccc3)ccc1,-5.85,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
DPJCXCZTLWNFOH-UHFFFAOYSA-N,O=[N+]([O-])c1c(N)cccc1,-1.96,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
