Smiles_unify,value,property,scaffold_train_test_label,random_train_test_label
CSc1cc(C)[nH]c(=O)c1CNC(=O)c1c(C)n([C@H](C)[C@H]2CC[C@H](N3CC(OC4CC4)C3)CC2)c2ncccc12,0.97,ppb,train,train
O=C1Nc2c(O)cc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1,0.9620000000000001,ppb,test,train
O=C1Nc2cc(O)c(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1,0.3809,ppb,test,test
C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,0.9725,ppb,train,train
COc1cc([C@](O)(CCN(C)C)[C@@H](c2cc3cc(C#N)ccc3nc2OC)c2cccc3c2OCCO3)cc(OC)n1,0.9984999999999999,ppb,train,train
Cc1c(N2CC[C@@H]([C@H](C)N)C2)c(F)cc2ccc(=O)n(C3CC3)c12,0.9,ppb,train,train
Cc1nn(CC(F)(F)F)cc1Nc1ncc(Br)c(NCc2ccc(S(N)(=O)=O)cc2)n1,0.993,ppb,train,train
NC(=O)c1cccc([C@H]2C[C@H]3CC[C@@H](C2)N3CCN(CC2CCCCC2)C(=O)[C@@H](O)CO)c1,0.23,ppb,train,train
CC(C)(C)OC(=O)N1CCN(c2ncc(-c3ccc4c(Nc5cnccn5)ccnc4c3)cn2)CC1,0.99,ppb,train,train
CCN1CCCN(c2ncc(-c3ccc4c(Nc5cnccn5)ccnc4c3)cn2)CC1,0.8,ppb,train,train
Cc1cnc(Nc2ccnc3cc(-c4cnc(N5CCCN(C)CC5)nc4)ccc23)cn1,0.78,ppb,train,test
CCCn1cc/c(=N\c2cnccn2)c2ccc(-c3cnc(N4CCCN(C)CC4)nc3)cc21,0.41,ppb,train,train
CCP(=O)(OC)c1ccc2oc(-c3cccc(Cl)c3F)nc2c1,0.91,ppb,train,train
O=C([O-])CNC(=O)C1=C(O)CCN(Cc2ccc(Oc3ccc(Cl)cc3)nc2)C1=O,0.991,ppb,train,train
O=[N+]([O-])c1cn2c(n1)OC[C@@H](OCc1ccc(SC(F)(F)F)cc1)C2,0.6,ppb,train,train
O=C(CC12CCC(C(=O)O)(CC1)CC2)N1CCc2c(n(Cc3ccc(F)cc3F)c3ncccc23)C1,0.991,ppb,train,train
C=CC(=O)N1CCN(c2nc(OC[C@@H]3CCCN3C)nc3c2CCN(c2cccc4ccccc24)C3)C[C@@H]1CC#N,0.95,ppb,train,train
N#Cc1ccc2nnc(C(=O)N3CCC(c4cccc(F)c4C(F)(F)F)CC3)n2c1,0.97,ppb,train,train
O=C(CC12CCC(C(=O)O)(CC1)CC2)N1CCc2c(n(Cc3ccc(F)cc3)c3ncccc23)C1,0.986,ppb,train,train
CCNC(=O)Nc1cc(Nc2cccc(C)c2)c(C(=O)Nc2cccc(C)c2)cn1,0.9990000000000001,ppb,train,train
COc1cc(Nc2nc(N3C[C@@H](C)N[C@@H](C)C3)ncc2F)ccc1NC(=O)c1ccc(C2=CCCC2)s1,0.924,ppb,train,train
COc1ccc(F)cc1-c1ccnc2[nH]c(C3=CCN(CC(=O)O)CC3)cc12,0.966,ppb,train,train
COc1ccc(F)cc1-c1c(F)cnc2[nH]c(C3=CCN([C@H]4CC[C@@H](C(=O)O)CC4)CC3)cc12,0.934,ppb,train,test
Cc1cc(Nc2ccc(C(F)(F)F)nc2)n2nc(C(C)(F)F)nc2n1,0.5,ppb,train,test
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,0.9900249999999999,ppb,test,test
Cn1nccc1-c1cc(C(F)(F)F)ccc1[C@H]1CCOc2cc(S(=O)(=O)Nc3ncccn3)ccc21,0.9540000000000001,ppb,test,test
C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)Cc6sc(N)nc6C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,0.958,ppb,test,train
CC[C@@H]1CN2CC[C@@]3(O)C(=Nc4cccc(OC)c43)[C@@H]2C[C@@H]1/C(=C\OC)C(=O)OC,0.9,ppb,test,train
O=C1CN(c2cn[nH]c(=O)c2Cl)CCN1Cc1ccccc1C(F)(F)F,0.69,ppb,train,train
c1cnn2ncc(-c3ccncc3)c2c1,0.86,ppb,train,train
COc1ccc2c(-c3ccnc(N[C@H]4CC[C@H](O)CC4)n3)cnn2n1,0.85,ppb,test,train
O=C(Cc1ccc(O)cc1)N1CC(CNc2ccccc2)C2(C1)CN(c1ccc(F)cc1)C2,0.9590000000000001,ppb,train,train
COc1ccc2c(c1C(=O)O)OB(O)[C@@H]1C[C@H]21,0.89,ppb,train,train
Cc1nc2ccnn2c(NCc2ccccn2)c1C,0.77,ppb,test,train
Cc1nc2c(-c3ccccc3F)cnn2c(NCc2ccccn2)c1C,0.9990000000000001,ppb,train,train
Cc1nc2c(-c3ccccc3S(C)(=O)=O)cnn2c(NCc2ccccn2)c1C,0.88,ppb,train,train
CC(F)(F)COc1ncncc1CNc1ncc(C#N)c(N[C@@H]2CC[C@H](O)C(C)(C)C2)n1,0.84,ppb,train,train
CCn1c(-c2cnc(C)nc2)nc2c(N[C@H]3CCN(C(=O)C4CC4)C3)ncnc21,0.3,ppb,train,train
C/C=C/C[C@H](C)[C@@H](OC)[C@@H](C)[C@H](O)C[C@H]1OC(=O)C=C[C@H]1CC,0.87,ppb,train,train
O=C(C[C@H]1CC[C@@H](C(=O)O)CC1)N1CCc2c(n(Cc3cccc(F)c3)c3ncccc23)C1,0.996,ppb,test,train
CCOc1ccc2cc(-c3nn(C(C)(C)CCO)c(N)c3C(N)=O)ccc2c1,0.99,ppb,train,test
Cc1cc(C(F)(F)F)ccc1-c1cc2cn([C@@H](CC(C)C)c3ccc(C(=O)NCCC(=O)O)cc3)nc2cc1C,0.9998999999999999,ppb,train,test
Cc1cc2c(cnn2[C@@H](CC(C)C)c2ccc(C(=O)NCCC(=O)O)cc2)cc1-c1ccc(C(F)(F)F)cc1Cl,0.9998999999999999,ppb,train,train
N#Cc1ccc(/C=C/c2nc3ccccc3c(=O)n2-c2cccc(C(N)=O)c2)cc1,0.971,ppb,train,train
O=C(Nc1c(Cl)cncc1Cl)c1ccc(OC(F)F)c(OCC2CC2)c1,0.9849,ppb,train,train
COC(=O)C1=C(c2ccc(CNc3nccc(C)c3NC(=O)CC#N)cc2)CCCC1,0.96,ppb,test,train
COc1cc([C@](O)(CCN(C)C)[C@H](c2cc(OC(C)C)cnc2OC)c2cc3cc(C#N)ccc3nc2OC)cc(OC)n1,0.9986,ppb,train,train
CNc1nccc(N2CC[C@H](NC(=O)Nc3ccc(CN4CCOCC4)c(C(F)(F)F)c3)C2)n1,0.9520000000000001,ppb,train,train
CCN1CCN(Cc2ccc(NC(=O)N[C@H]3CCN(c4ccnc(NC)n4)C3)cc2C(F)(F)F)CC1,0.752,ppb,train,train
CCO[C@@H](CC(=O)O)c1ccc(O[C@@H]2CCc3c2cccc3C(F)(F)F)cc1,0.992,ppb,train,test
COc1ccc(Cn2cc(C(=O)O)c(=O)c3ccccc32)cc1,0.991,ppb,train,test
CC(C)c1c(-c2cnn(CCC#N)c2)[nH]c2c(C#N)cnn2c1=O,0.934,ppb,train,train
CC(C)c1c(-c2cnn(-c3ccccc3)c2)[nH]c2c(C#N)cnn2c1=O,0.9990000000000001,ppb,train,train
CCc1ccc2nc(N3CCC(NCC4(C)COC4)CC3)c(-c3nc(C)no3)cc2c1,0.917,ppb,train,train
c1cnn2ncc(-c3ccnc(Nc4ccnnc4)n3)c2c1,0.44,ppb,train,train
O[C@H](C[C@H]1c2c(F)cccc2-c2cncn21)[C@H]1CC[C@H](O)CC1,0.52,ppb,train,test
Cc1nccnc1Nc1ccnc2cc(-c3cnc(N4CCCN(C)CC4)nc3)ccc12,0.58,ppb,train,train
CCn1cc/c(=N\c2cnccn2)c2ccc(-c3cnc(N4CCCN(C)CC4)nc3)cc21,0.41,ppb,train,train
CCCN1CCN(c2ncc(-c3ccc4c(Nc5cnccn5)ccnc4c3)cn2)CC1,0.95,ppb,train,train
CS(=O)(=O)N1CCN(c2ncc(-c3ccc4c(Nc5cnccn5)ccnc4c3)cn2)CC1,0.95,ppb,train,train
Cc1cc2c(Nc3cnccn3)ccnc2cc1-c1cnc(N2CCN(C)CC2)nc1,0.97,ppb,train,train
Cc1c(-c2cnc(N3CCCN(C)CC3)nc2)ccc2c(Nc3cnccn3)ccnc12,0.82,ppb,train,train
CCN1CCCN(c2ncc(-c3ccc4c(Nc5cnccn5)ccnc4c3C)cn2)CC1,0.88,ppb,train,train
Cc1c(-c2cnc(N3CCCNCC3)nc2)ccc2c(Nc3cnccn3)ccnc12,0.76,ppb,train,train
O=C(C[C@@H]1C(=O)Nc2ccccc2N1S(=O)(=O)c1ccc(Cl)c(Cl)c1)NCCc1ccc(C2=NCCN2)cc1,0.36,ppb,train,train
Cc1nc(N)ccc1CNC(=O)Cn1c(C2CC2)ccc(NS(=O)(=O)Cc2ccc(Cl)cc2)c1=O,0.94,ppb,train,train
CCP(=O)(OC)c1ccc2nc(-c3ccc4ncccc4c3)oc2c1,0.8,ppb,train,train
Cc1cc(C[C@@H](NC(=O)N2CCC3(CC2)OC(=O)Nc2ncccc23)C(=O)N[C@@H](CC2CCNCC2)C(=O)N2CCN(c3ccncc3)CC2)cc2cn[nH]c12,0.36,ppb,train,train
CC(C)c1c(-c2cnn(C(C)(C)C)c2)[nH]c2c(C#N)cnn2c1=O,0.988,ppb,train,train
c1ccn2ncc(-c3ccnc(NC4CC4)n3)c2c1,0.91,ppb,train,train
O=c1[nH]cnc2c(-n3cc(CCN4CCC5(CCc6ccccc65)CC4)cn3)nccc12,0.89,ppb,train,train
O=C(Nc1cccnc1)c1ccc(CNS(=O)(=O)c2ccc(N3CCOCC3)cc2)cc1,0.762,ppb,train,train
Clc1ccc(Oc2ccc(-c3noc(-c4n[nH]cc4Cl)n3)cc2)cc1Cl,0.978,ppb,train,train
Fc1ccc(Oc2ccc(-c3noc(-c4n[nH]cc4Cl)n3)cc2)cc1Cl,0.912,ppb,train,train
CC(C)N(C)Cc1cccc(F)c1CNc1cc(F)c(S(=O)(=O)Nc2cscn2)c(F)c1,0.9990000000000001,ppb,train,train
N#Cc1cccc(Nc2cccc(-c3cnn4ncccc34)c2)c1,0.99,ppb,train,train
CN(CCNc1ncc(-c2ccc3c(Nc4cnccn4)ccnc3c2)cn1)C(=O)OC(C)(C)C,0.95,ppb,train,test
O=C(O)CN1CCN(c2ncc(-c3ccc4c(Nc5cnccn5)ccnc4c3)cn2)CC1,0.78,ppb,train,test
COc1ccc(NC(=O)c2ccc(-c3cnc(N4CCCN(C)CC4)nc3)cc2O)cc1Cl,1.0,ppb,train,train
COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCCCC4=O)cc2)CC3)cc1,0.87,ppb,train,train
CC(C)[C@H](C[C@@H]1OC(=O)NC1=O)c1ccc(-c2ccc3cccc(F)c3c2)[nH]c1=O,0.9968,ppb,train,train
CC1(C)Cc2c(c(C(=O)Nc3cc(C(F)(F)F)ccc3F)cc3nc(Nc4c(F)cccc4Cl)[nH]c23)O1,0.9995999999999999,ppb,test,train
COc1cc2ccc(Br)cc2cc1[C@@H](c1ccnc(OC)c1OC)[C@@](O)(CCN(C)C)c1ccc2occc2c1,1.0,ppb,train,train
COc1cc2ccc(Br)cc2cc1[C@@H](c1ccnc(OC)c1OC)[C@@](O)(CCN(C)C)c1cc2ccccc2o1,1.0,ppb,train,train
COc1cc2ccc(Br)cc2cc1[C@@H](c1ccccc1)[C@@](O)(CCN(C)C)c1cccc2c1CCN2C,0.986,ppb,test,train
C[C@H]1COc2c(N3C[C@H]4CC(F)(F)C[C@@H](N)[C@H]4C3)c(F)cc3cc(C(=O)O)c(=O)n1c23,0.82,ppb,train,train
[2H]/C(c1nc[nH]c1C(C)(C)C)=c1/[nH]c(=O)/c(=C/c2ccccc2)[nH]c1=O,0.9790000000000001,ppb,train,train
N#Cc1ccc(-c2cnc3ccc(-c4ccc(C(=O)N5CCOCC5)cc4)cn23)cc1,0.997,ppb,train,train
COC(=O)c1cccn1-c1ccc(CNc2nccc(C)c2NC(=O)CC#N)cc1,0.81,ppb,train,train
CC(=O)N1CCN(c2ccc(CN3[C@@H](C)CC[C@H](c4ccccc4)S3(=O)=O)c(F)c2)CC1,0.95,ppb,test,train
Cc1c(Cl)nc(NCc2ccc3c(n2)NCCC3)c(=O)n1CC(=O)N[C@@H](CC(=O)O)c1cccc(F)c1,0.985,ppb,train,train
O=C(Cn1cnc([N+](=O)[O-])n1)N1CCN(Cc2ccc(Cl)c(Cl)c2)CC1,0.924,ppb,train,test
O=C(NCCc1csc(-c2ccccc2)n1)N1CCCCC1,0.9,ppb,test,train
COc1c(Nc2ccc(S(C)(=O)=O)cc2F)ncnc1OC1C[C@@H]2COC[C@@H](C1)N2C(=O)OC1(C)CC1,0.855,ppb,train,test
NC(=O)c1ccn(-c2cnc(NCC3(c4ncccc4F)CCC3)nc2)c1,0.49,ppb,train,test
COCCNc1cc(NC(=O)N2CCCc3cc(CO)c(C=O)nc32)ncc1C#N,0.91,ppb,train,train
COCc1c(NC(=O)Nc2cnc(-n3nccn3)c(Cl)c2)cnc2cc(Cl)nn12,0.981,ppb,train,train
CO[C@H](C)c1c(NC(=O)Nc2cnc(-n3nccn3)c(Cl)c2)cnc2cc(Cl)nn12,0.977,ppb,train,test
Cc1ccc(NCc2ccc3c(n2)NCCC3)c(=O)n1CC(=O)N[C@@H](CC(=O)O)c1cccnc1,0.912,ppb,train,train
Nc1nccc(-c2cnn3ncccc23)n1,0.58,ppb,train,train
CCn1nccc1Nc1ncnc2ccc(-c3cccc(N4CCOCC4)c3)cc12,0.9390000000000001,ppb,train,train
COc1cnc(Nc2ncnc3ccc(-c4cccc(N5CCOCC5)c4)cc23)cn1,0.983,ppb,test,train
CCNC(=O)Nc1cc(-c2nc(C(F)(F)F)cs2)c(-c2cc3ncccc3nc2N2C3CCC2CN(C)C3)cn1,0.97,ppb,train,train
CCNC(=O)Nc1cc(-c2nc(C(F)(F)F)cs2)c(-c2cc(-c3n[nH]c(=O)o3)cnc2N2C3CCC2CN(C)C3)cn1,0.789,ppb,test,train
Nc1nc(OCc2ccccc2)c2[nH]nnc2n1,0.992,ppb,train,train
COc1cc(-n2cnc3cc(-c4ccc(Cl)cc4)sc3c2=O)ccc1OC[C@H](O)C1CC1,0.995,ppb,train,test
COCCNc1cc(O)c2c(=O)c3c(-c4nccs4)[nH]c(Cc4ccc5c(c4)OCO5)c3oc2c1,0.977,ppb,train,train
O=C(O)CSc1nnc(Br)n1-c1ccc(C2CC2)c2ccccc12,0.98,ppb,train,train
Cc1nc(C)c(-c2cccc([C@H](CC(=O)O)CN3CC[C@@H](CCc4ccc5c(n4)NCCC5)C3)c2)[nH]1,0.47,ppb,train,train
CC(C)c1c(-c2cnn(C3CCC3)c2)[nH]c2c(C#N)cnn2c1=O,0.996,ppb,train,train
CCn1cc(-c2[nH]c3c(C#N)cnn3c(=O)c2C(C)C)cn1,0.995,ppb,train,train
CCNC(=O)c1c(O)c2ccncc2[nH]c1=O,0.7,ppb,train,test
O=C(O)CNC(=O)C1=C(O)CC2(CCC2)N(Cc2ccc(-c3ccccc3)cc2)C1=O,0.995,ppb,train,train
O=C(Nc1ccc(OC(F)(F)F)cc1)NC1CCN(C(=O)C2CCOCC2)CC1,0.941,ppb,train,train
O=C(Nc1ccc(OC(F)(F)F)c(F)c1)NC1CCN(C(=O)C2CCCOC2)CC1,0.9940000000000001,ppb,test,train
CN1CCNC(=O)COc2ccc(F)cc2C(=O)N2CCCC[C@H]2c2cc3nc(N4CCC4)cc1n3n2,0.87,ppb,train,train
CCC(C)(C)C(=O)O,0.0,ppb,train,train
c1coc(CNc2ncnc3cn[nH]c23)c1,0.129,ppb,train,train
c1coc(CNc2ccnc3[nH]cnc23)c1,0.129,ppb,train,train
c1coc(CNc2ncnc3[nH]cnc23)c1,0.129,ppb,train,train
Clc1cc2[nH]cnc2c(NCc2ccco2)n1,0.129,ppb,train,train
O=C(O)Cc1ccccc1NC(=O)c1cccc(-c2ccc(Cl)c(O[C@H]3CCCNC3)c2)c1F,0.986,ppb,test,test
CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)Cc6sc(N)nc6C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,0.9890000000000001,ppb,train,train
N#Cc1cccc(Nc2nccc(-c3c(CO)nn4nc(N5CCOCC5)ccc34)n2)c1,1.0,ppb,test,train
c1cncc(Nc2nccc(-c3c(C4CC4)nn4ncccc34)n2)c1,0.98,ppb,train,train
COC(=O)C1CC=CCC1c1ccc(CNc2nccc(C)c2NC(=O)CC#N)cc1,0.96,ppb,train,train
CN1CCN(c2ncc(-c3ccc4c(Nc5cnccn5)ccnc4c3)cn2)CC1,0.87,ppb,train,train
O=C(O)[C@@H]1CCCN1c1ncc(-c2ccc3c(Nc4cnccn4)ccnc3c2)cn1,0.95,ppb,train,train
CN1CCCN(c2ncc(-c3ccc4c(Nc5cnccn5)ccnc4c3)cn2)CC1,0.75,ppb,train,train
c1cnc(Nc2ccnc3cc(-c4cnc(N5CCCCCC5)nc4)ccc23)cn1,0.99,ppb,train,train
CN1CCN(c2ncc(-c3ccc4c(NC5CCCCC5)ccnc4c3)cn2)CC1,0.85,ppb,train,test
CN1CCN(c2ncc(-c3ccc4c(NC5CCOCC5)ccnc4c3)cn2)CC1,0.5,ppb,test,train
COCc1nnc(N2C[C@@H]3C[C@]3(c3ccc(F)cc3Cl)C2)n1-c1ccc(OC)nc1,0.9648,ppb,train,test
O=C(O)c1cccc(CC(=O)N2CCc3c(n(Cc4cccc(F)c4)c4ncccc34)C2)c1,0.9890000000000001,ppb,train,test
O=C(CC12CCC(C(=O)O)(CC1)C2)N1CCc2c(n(Cc3ccc(F)cc3)c3ncccc23)C1,0.99,ppb,train,train
CN1CCN(c2ncc(-c3ccc4c(N[C@@H]5CCCC[C@H]5O)ccnc4c3)cn2)CC1,0.63,ppb,train,train
Cc1cncc(Nc2ccnc3cc(-c4cnc(N5CCCN(C)CC5)nc4)ccc23)n1,0.77,ppb,train,train
COc1cc2ccc(Br)cc2cc1[C@@H](c1ccccc1)[C@@](O)(CCN(C)C)c1cccc2ccsc12,1.0,ppb,test,train
COc1cc2ccc(Br)cc2cc1[C@@H](c1ccccc1)[C@@](O)(CCN(C)C)c1cccc2c1CCC2,1.0,ppb,train,train
COc1cc2ccc(C#N)cc2cc1[C@@H](c1cccc(F)c1)[C@@](O)(CCN(C)C)c1cccc2ccoc12,1.0,ppb,train,train
COc1cc2ccc(Br)cc2cc1[C@@H](c1cccc(C)c1)[C@@](O)(CCN(C)C)c1cccc2c1OCCO2,1.0,ppb,train,train
O=C(CCn1cnc([N+](=O)[O-])n1)Nc1cccc(-c2ccccc2)c1,0.958,ppb,train,train
CN1CCN(c2ccc(S(=O)(=O)NCc3ccc(C(=O)Nc4cccnc4)cc3)cc2)CC1,0.852,ppb,train,train
Nc1cc(SCc2ccccc2F)c2nn[nH]c2n1,0.98,ppb,train,train
CC(=O)N1CCN(c2ccc(CN3C[C@H](C)OC[C@H](c4ccccc4)S3(=O)=O)c(F)c2)CC1,0.89,ppb,train,train
COc1cc([C@H](c2cc3cc(C#N)ccc3cc2OC)[C@@](O)(CCN(C)C)c2cccc3ccoc23)cc(OC(C)C)n1,1.0,ppb,test,train
COc1cc2ccc(C#N)cc2cc1[C@@H](c1ccnc(OC)c1OC)[C@@](O)(CCN(C)C)c1cccc2c1OCC2,0.9943000000000001,ppb,test,train
CCC(NC(=O)c1ccc(Cl)cc1)[C@@H]1[C@@H]2C[C@@H](Oc3ccnc4ccc(F)cc34)C[C@@H]21,0.998,ppb,train,test
O=C(NC[C@H]1[C@H]2C[C@@H](Oc3ccnc4ccc(F)cc34)C[C@@H]12)c1ccc(Cl)cc1,1.0,ppb,train,test
CCC(NC(=O)c1ccc(Cl)cc1)[C@@H]1[C@@H]2C[C@H](Oc3ccnc4cc(F)ccc34)C[C@@H]21,1.0,ppb,train,train
CCC(NC(=O)c1ccc(Cl)cc1)[C@H]1[C@@H]2C[C@@H](n3cnc4ccccc43)C[C@@H]21,0.98,ppb,train,test
CCC(NC(=O)c1ccc(Cl)cc1)[C@H]1[C@@H]2C[C@@H](n3cnc4c(F)cccc43)C[C@@H]21,0.99,ppb,train,train
CC[C@@H](NC(=O)c1ccc(C#N)cc1)[C@H]1[C@@H]2C[C@@H](n3cnc4cc(F)c(F)cc43)C[C@@H]21,0.966,ppb,train,train
CC(NC(=O)c1ccc(Cl)cc1)[C@H]1[C@@H]2C[C@@H](n3cnc4cc(F)c(F)cc43)C[C@@H]21,0.99,ppb,train,test
CCC(c1nc2cc(Cl)ccc2[nH]1)[C@H]1[C@@H]2C[C@@H](c3ccnc4ccc(F)cc34)C[C@@H]21,0.9997,ppb,train,train
Cc1nc2c(-c3ccc(F)cc3)cnn2c(NCc2ccccn2)c1S(C)(=O)=O,0.997,ppb,train,train
Cc1cc(C)n(-c2cccc([C@H](CC(=O)O)CN3CC[C@@H](CCc4ccc5c(n4)NCCC5)C3)c2)n1,0.9185,ppb,test,train
O=C(Cn1cnc([N+](=O)[O-])n1)Nc1cccc(-c2ccccc2)c1,0.972,ppb,train,train
COc1cccc(Cc2cc(C)nn(C(C)C(=O)Nc3ccc(Cl)cc3)c2=O)c1,0.9740000000000001,ppb,train,test
COc1ncc(OC)c2c(C(=O)C(=O)N3CCN(C(=O)c4ccccc4)CC3)c[nH]c12,0.95,ppb,train,train
CSc1ncnc2c1c1occc1n2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,0.84,ppb,train,test
CCn1ncc(-c2nc3c(N4CCC(n5c(=O)[nH]c6ncccc65)CC4)ncnc3n2C)c1C,0.79,ppb,train,train
O=c1c2nc([N+](=O)[O-])cn2ccn1Cc1ccc(OC(F)(F)F)cc1,0.98,ppb,train,test
O=c1c2nc([N+](=O)[O-])cn2ccn1Cc1ccc(F)cc1,0.82,ppb,train,train
Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,0.625,ppb,train,test
Nc1nc2ccc(OC(F)(F)F)cc2s1,0.85,ppb,train,train
CCO[C@H]1CCN(Cc2c(OC)cc(C)c3[nH]ccc23)[C@H](c2ccc(C(=O)O)cc2)C1,0.57,ppb,train,test
CCOP(=O)(OCC)c1ccc(C(=O)Nc2ccc(C)c(Nc3nccc(-c4cccnc4)n3)c2)cc1,0.981,ppb,train,train
Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,0.9690000000000001,ppb,train,train
