index,Smiles_unify,value,property,scaffold_train_test_label,random_train_test_label
248,NC(=O)[C@]12CC3CC(C1)[C@@H](OC(=O)N1CC[C@@H](Nc4cccc(C(F)(F)F)n4)C1)C(C3)C2,2.4,cyp_2c9,train,train
252,CCc1c(CCCC(=O)O)cccc1-c1ccc(-c2ccc(OC(C)C)c(C#N)c2)cc1,3.98107,cyp_2c9,train,test
253,CCCS(=O)(=O)c1ccc2[nH]c(-c3ccc(-c4ccccc4)cc3)nc2c1,2.4,cyp_2c9,train,train
258,CC(C)(C#N)c1cnc(N2CCN(C(=O)[C@@H]3CCCC[C@H]3C(=O)NC3(C#N)CC3)CC2)s1,3.16228,cyp_2c9,train,train
260,COc1ccc(-c2cc(C)c3nc(-c4c(N[C@H](CO)Cc5ccccc5)cc[nH]c4=O)[nH]c3c2)cc1,11.0,cyp_2c9,test,train
261,Cc1cc(-c2ccccc2)cc2[nH]c(-c3c(N[C@H](CO)Cc4ccccc4)cc[nH]c3=O)nc12,2.3,cyp_2c9,test,test
272,CCN1CCC(c2ccc(Nc3cc(N(C)C(=O)Nc4c(Cl)c(OC)cc(OC)c4Cl)ncn3)cc2)CC1,4.0,cyp_2c9,train,train
274,O=c1c(C2=Nc3ccccc3S(=O)(=O)N2)c(O)c2cc(F)ccc2n1CCC1CC1,0.84,cyp_2c9,train,train
275,NC(=O)COc1ccc2c(c1)S(=O)(=O)N=C(c1c(O)c3cc(F)ccc3n(CCC3CC3)c1=O)N2,5.4,cyp_2c9,train,train
278,COc1ccc2c(C(F)(F)F)c(CC(=O)O)c(=O)oc2c1,50.0,cyp_2c9,train,train
280,O=C(O)c1ccccc1NC(=O)N1C[C@H]2C[C@@H](c3ccccc3C(F)(F)F)C[C@H]2C1,0.34,cyp_2c9,train,train
281,COc1c(C#N)ccc2[nH]c(-c3cn4c(n3)[C@H](c3cccc(F)c3C)OCC4)cc12,5.9,cyp_2c9,train,train
283,CN(C)C(=O)c1ccc(N(Cc2cc(Br)cs2)C(=O)c2ccc(O)cc2O)cc1,18.0,cyp_2c9,train,train
293,C[C@@H](c1ccc(-c2ccc(F)cc2)cc1)N1CC[C@](CCCO)(c2ccccc2)OC1=O,2.5,cyp_2c9,train,train
295,Cc1ccc2c(N3CCN(CCc4cccc5c4OCc4nccn4-5)CC3)cccc2n1,4.0,cyp_2c9,train,train
301,Cc1nc(C)c(CNc2nc(OCCCc3ccc4ccccc4n3)nc(Cl)c2C)s1,0.3,cyp_2c9,train,test
304,CNC(=O)CCCN(C)C(=O)c1ccc2c(c1)c1c(n2C)CC[C@@H](C2CCOCC2)C1,7.0,cyp_2c9,train,train
305,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,7.0,cyp_2c9,train,train
317,COc1cc2c(cc1-c1c(C)noc1C)ncc1[nH]c(=O)n(Cc3ccccn3)c12,9.8,cyp_2c9,train,train
319,COc1ccc2[nH]c(SCc3ccc(Cl)cc3)nc2c1,5.98,cyp_2c9,test,train
320,COc1cc(CSc2nc3ccc(OC)cc3[nH]2)cc(OC)c1,2.32,cyp_2c9,test,train
321,COc1ccc2nc(SCc3ccc4ccccc4c3)[nH]c2c1,2.27,cyp_2c9,test,train
331,COc1ccc([C@H](C)NC(=O)COc2cc(C(F)(F)F)c3c(-c4ccccc4)nn(C)c3n2)cc1,5.0,cyp_2c9,train,test
354,Cn1cc(-c2cnc3ccc4ccc(CS(=O)(=O)NCc5ccccn5)cc4c(=O)c3c2)cn1,14.73,cyp_2c9,train,train
361,COc1cc(-c2cccc(F)c2)c(Cl)cc1-n1c(=O)ccc2cc(S(=O)(=O)Nc3ccon3)ccc21,4.2,cyp_2c9,train,train
362,COc1cc(-c2cc(C(F)(F)F)ccc2C)ccc1-n1c(=O)ccc2cc(S(=O)(=O)Nc3ccon3)ccc21,1.7,cyp_2c9,train,train
389,COc1ncc(OC)c2c(C(=O)C(=O)N3CCN(C(=O)c4ccccc4)CC3)c[nH]c12,30.0,cyp_2c9,train,test
390,C[C@H](NS(=O)(=O)c1ccc(-c2sc(NC(=O)CC(C)(C)O)nc2C(=O)N2CCC(F)CC2)c(Cl)c1Cl)C(F)(F)F,7.9,cyp_2c9,test,test
391,NC(=O)C(Nc1c(Nc2ccncc2)c(=O)c1=O)c1ccccc1,5.1,cyp_2c9,train,train
392,CC[C@@H](Oc1cccc(Cn2c(C)c(C(=O)c3ccc(Cl)cc3)c3ccc(OC(F)(F)F)cc32)c1)C(=O)O,10.0,cyp_2c9,test,train
404,COc1cc2c(cc1-c1c(C)noc1C)ncc1[nH]c(=O)n([C@H](C)c3ccccc3)c12,1.0,cyp_2c9,train,train
415,CCOC(=O)c1cc(C#N)c(N2CCC(C(=O)NS(=O)(=O)Cc3ccc(C(C)C)cc3)CC2)nc1C,2.4,cyp_2c9,train,train
421,NC(=O)[C@]12CC3CC(C1)[C@@H](OC(=O)N1CC[C@@H](Nc4ncccc4C(F)(F)F)C1)C(C3)C2,9.4,cyp_2c9,train,train
430,O=C(Nc1ccc2cnn(S(=O)(=O)c3cccc4ccccc34)c2c1)C1CCNCC1,100.0,cyp_2c9,train,train
433,Cc1cc(/C=C2\CC/C(=C\c3cc(C)c(O)c(C)c3)C2=O)cc(C)c1O,100.0,cyp_2c9,train,test
434,O=C(NC1CC1c1ccccc1)N1CCC(c2nc(-c3ccccc3C(F)(F)F)no2)CC1,10.0,cyp_2c9,train,test
439,O=C(O)CCn1c2c(c3ccccc31)C[C@H](NS(=O)(=O)c1ccc(F)cc1)CC2,15.0,cyp_2c9,train,test
442,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(-n3cnnc3)cc2)cc1,6.9,cyp_2c9,train,train
443,CCCCNc1nc(N)nc2cccc(OCc3ccc(CO)cc3OC)c12,5.0,cyp_2c9,train,train
452,O=C(Nc1ccn(-c2c[nH]c(C(O)c3cccc(C(F)(F)F)c3)n2)c(=O)c1)c1cscn1,7.3,cyp_2c9,train,train
454,Cc1ccc(OC(=O)N(CC(=O)O)Cc2cccc(OCc3nc(-c4ccccc4Cl)oc3C)c2)cc1,3.7,cyp_2c9,test,test
463,C=CCn1c(C)c(C)c2cc(-n3ccccc3=O)nc(NCc3c(C)cccc3C)c21,0.5,cyp_2c9,train,test
471,O=C(c1ccccc1F)N1CCC(Cc2ccccc2)CC1,2.0,cyp_2c9,train,train
473,COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C,28.4,cyp_2c9,test,train
474,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1,0.519,cyp_2c9,train,train
485,COc1cc(NC(C(=O)c2c[nH]c3ccccc23)c2ccccc2)cc(OC)c1,4.0,cyp_2c9,train,train
493,CNc1nc2[nH]c(-c3cccc(CNC(=O)COC)n3)cc2c2c1ncn2C,25.0,cyp_2c9,train,test
499,O=C(CCc1cnc(-c2ccc(O)cc2Cl)s1)Nc1ccccc1C(=O)O,2.8,cyp_2c9,train,test
510,O=C(Nc1ccc(N2C(=O)CC(c3ccccc3)C2=O)c(Cl)c1)c1ccccn1,8.7,cyp_2c9,train,train
521,Cc1ccc(-c2cc(Br)ccc2OCc2ccc(F)cc2)n1-c1cccc(C(=O)O)c1,3.9,cyp_2c9,train,train
529,CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,0.016,cyp_2c9,train,train
536,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,10.2,cyp_2c9,test,train
546,Cc1nc(N2CCOCC2)nc(N2CCC(C(=O)NCc3ccccc3C(F)(F)F)CC2)n1,0.4,cyp_2c9,train,train
548,COc1ncc(-c2cnc3[nH]cc(C(=O)c4c(F)ccc(NS(=O)(=O)c5cc(F)ccc5F)c4F)c3c2)cn1,5.0,cyp_2c9,train,train
553,O=C(NCc1ccc(NS(=O)(=O)C2CCCC2)cc1)c1cc2cnccc2[nH]1,0.36,cyp_2c9,test,train
555,CN(C)C(=O)c1cccc(COc2ccc(CNC(=O)c3cc4cnccc4[nH]3)cc2)c1,0.4,cyp_2c9,train,test
577,FC(F)(F)c1c(N2CCC(c3ccccc3)CC2)ccn2c(CC3CC3)nnc12,11.0,cyp_2c9,train,train
579,O=C(O)c1cc(Oc2ccccc2)ccc1NS(=O)(=O)c1ccc(Br)cc1F,1.1,cyp_2c9,train,train
580,Cc1cccc(-c2ccc3c(c2)[nH]c(=O)c2nc(-c4c(F)cccc4Cl)[nH]c23)c1,9.0,cyp_2c9,test,train
581,CC(C)Oc1ccc(-c2nc(-c3cccc4c3OCCN(CCCC(=O)O)C4)no2)cc1Cl,27.0,cyp_2c9,test,train
589,CS(=O)(=O)c1ccc2c(c1)CCC1(CCN(C(=O)Cc3ccc(Cl)cc3Cl)CC1)O2,10.0,cyp_2c9,test,train
596,CC[C@H](C(=O)Nc1ccccc1N1CCCC1)c1ccccc1,18.9,cyp_2c9,train,train
598,O=c1[nH]c2cc(-c3ccccc3)ccc2c2[nH]c(-c3c(Cl)cccc3C(F)(F)F)nc12,9.8,cyp_2c9,test,test
599,CCCc1ccc2c(c1)[nH]c(=O)c1nc(-c3ccccc3Cl)[nH]c12,24.0,cyp_2c9,train,train
600,CNc1nc(C)nc(N2CCC(C(=O)NCc3ccccc3C(F)(F)F)CC2)n1,25.0,cyp_2c9,train,train
601,CNc1nc(N(C)CCN(C)C)nc(N2CCC(C(=O)NCc3ccccc3C(F)(F)F)CC2)n1,17.0,cyp_2c9,train,train
608,Cc1cccc(-c2nnc3n2CCN(C(=O)c2ccc(-c4cccs4)cc2)[C@@H]3C)n1,18.0,cyp_2c9,test,train
610,CC(C)N(Cc1ccc(Cl)c(Cl)c1)CC1CNC1,32.7,cyp_2c9,train,train
615,O=S(=O)(c1cccc(F)c1)c1ccc2c3c(oc2c1)C1(CCCOC1)NCC3,1.9,cyp_2c9,train,train
616,CC(C)CN1CCC([S+]([O-])c2ccc(CNC(=O)c3cc4ccncc4o3)cc2)CC1,1.9,cyp_2c9,train,train
617,CC(C)n1cc(S(=O)(=O)c2ccc(CNC(=O)c3cc4ccncc4o3)cc2)cn1,0.07,cyp_2c9,train,train
619,CN([C@@H]1CCc2c(CC(=O)O)c3ccccn3c2C1)S(=O)(=O)c1ccc(F)cc1,17.0,cyp_2c9,train,train
648,O=C(c1ccccc1Cl)N1CCC(Cc2ccccc2)CC1,2.0,cyp_2c9,train,train
649,CN([C@@H]1CCc2c(c3nccnc3n2CC(=O)O)C1)S(=O)(=O)c1ccc(F)cc1,15.0,cyp_2c9,train,train
650,Cc1nc(S(C)(=O)=O)ccc1Nc1ncnc(OC2CCN(C(=O)OC(C)C)CC2)c1C,2.5,cyp_2c9,train,train
652,Nc1cccnc1C(=O)Nc1ccc(N2C(=O)c3ccccc3C2=O)c(Cl)c1,7.2,cyp_2c9,test,test
653,COC(=O)C1=C(Cn2cccn2)NC(C)=C(C#N)C1c1ccc(F)cc1Cl,0.6,cyp_2c9,test,train
656,CC(C)(C)[C@H]1CC[C@@H]([C@H](NC(=O)c2cc3ccccc3cc2NC(=O)Nc2c(Cl)cc(Cl)cc2Cl)C(=O)O)CC1,0.21,cyp_2c9,train,train
657,Cc1cc(C)c(NC(=O)Nc2cc3ccccc3cc2C(=O)N[C@](C)(C(=O)O)C2CCCCC2)c(C)c1,9.2,cyp_2c9,train,train
658,Cc1cc(C)c(NC(=O)Nc2cc3ccccc3cc2C(=O)NC2(C(=O)O)CCCCCC2)c(C)c1,4.1,cyp_2c9,train,train
659,Cc1c2ccc(N(C)c3ccnc(Nc4cccc(S(N)(=O)=O)c4)n3)cc2nn1C,1.4,cyp_2c9,train,train
663,O=c1[nH]c2cc(-c3cccnc3)ccc2c2[nH]c(-c3ccccc3Cl)nc12,25.0,cyp_2c9,train,test
664,O=c1[nH]c2cc(Br)ccc2c2[nH]c(-c3ccccc3Cl)nc12,0.7,cyp_2c9,train,train
674,CC(C)[C@@H]1c2nn(-c3cccc(S(C)(=O)=O)c3)cc2CN1c1nccc(C(F)(F)F)n1,2.11,cyp_2c9,train,train
682,COc1cc2c(Nc3ccccc3C(C)(C)C)c(C(N)=O)cnc2cc1-c1c(C)noc1C,1.2,cyp_2c9,train,train
691,CCS(=O)(=O)c1ccc2[nH]c(-c3cccc(-c4ccccc4)c3)nc2c1,9.9,cyp_2c9,train,train
702,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,1.602,cyp_2c9,train,test
711,Cc1nc(C(F)(F)F)ccc1Cn1c(=O)c(-c2ccncc2)c(-c2ccc(Cl)cc2)c2nn(C)c(=O)n21,2.9,cyp_2c9,train,test
712,CCn1nc2c(-c3ccc(Cl)cc3)c(-c3ccncc3)c(=O)n(Cc3ccc(C(F)(F)F)nc3C)n2c1=O,4.2,cyp_2c9,train,test
716,CC(C)n1c(/C=C/C(O)CC(O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21,0.4,cyp_2c9,train,train
731,Cc1ccc(OC(=O)N(CC(=O)O)Cc2cccc(OCc3sc(-c4ccc(Cl)cc4)nc3C)c2)cc1,3.7,cyp_2c9,train,train
743,O=C(c1ccc(C(=O)C(F)(F)F)s1)N1CCC(c2nnc(-c3ccccc3)o2)CC1,5.0,cyp_2c9,train,train
750,CC(=O)N[C@@H](C)/C=C/c1cnc(Oc2ccc(OCC3CC3)cc2)s1,8.2,cyp_2c9,train,train
765,CCOC(=O)c1cc(C#N)c(N2CC(C(=O)NS(=O)(=O)Cc3ccc(C)cc3)C2)nc1C,20.0,cyp_2c9,train,test
769,COc1nc(-c2nc3n(n2)CCC[C@H]3c2ccccc2C(F)(F)F)ccc1-n1cnc(C)c1,8.51,cyp_2c9,train,train
781,Cc1cc2cc(/N=C(/NC#N)N[C@H]3CCCCN(CC(=O)N4CCCC4)C3=O)ccc2o1,29.2,cyp_2c9,train,train
789,CC(C)(c1cc(-c2cccc(-c3ccc(C4CC4C(=O)O)cc3)c2)c2ncccc2c1)S(C)(=O)=O,2.45,cyp_2c9,train,train
790,CC(C)NC(=O)Nc1ccc(-c2cccc(-c3cc(C(C)(C)S(C)(=O)=O)cc4cccnc34)c2)c[n+]1[O-],1.5,cyp_2c9,train,train
808,O=C(NCc1ccc(S(=O)(=O)c2cccc(C(F)(F)F)c2)cc1)c1cnc2[nH]ncc2c1,0.07,cyp_2c9,train,train
809,O=C(Nc1ccc(S(=O)(=O)c2ccccc2)cc1)[C@H]1C[C@@H]1c1cccnc1,0.72,cyp_2c9,train,train
810,NS(=O)(=O)c1ccc(CNC(=O)c2cc3cnccc3[nH]2)cc1,0.34,cyp_2c9,train,train
818,Cc1ncn(-c2cc(Cl)c(C(=O)NC[C@@H](c3cccc(F)c3)c3nc4c(C)cc(Cl)cc4[nH]3)c(Cl)c2)n1,22.38,cyp_2c9,train,train
819,O=C(NCc1ccc(Cl)cc1Cl)N1CCC(Oc2ccncc2)CC1,0.1,cyp_2c9,test,train
825,Cc1nc(NC(C)C)nc(N2CCC(C(=O)NCc3ccccc3C(F)(F)F)CC2)n1,0.4,cyp_2c9,train,train
826,O=C(NCc1cccnc1)Nc1ccc(S(=O)(=O)c2ccccc2)cc1,0.068,cyp_2c9,train,train
836,CC1CCN(S(=O)(=O)c2ccc(NC(=O)NCc3cccnc3)cc2)CCN1,0.93,cyp_2c9,train,train
837,CCN(CC)Cc1ccc(Nc2ccnc3cc(Cl)ccc23)cc1O,75.0,cyp_2c9,test,train
845,COc1cc(-c2cc(F)cc(F)c2)c(Cl)cc1-n1c(=O)ccc2cc(S(=O)(=O)Nc3ccon3)ccc21,1.9,cyp_2c9,train,train
846,O=C(O)c1cccc(-n2cncc2-c2cc(Cl)ccc2OCc2ccccc2)c1,1.9,cyp_2c9,test,train
847,O=C(O)c1cccc(-c2ccccc2-c2cc(Cl)ccc2OCc2ccccc2)c1,3.9,cyp_2c9,train,train
848,O=C(O)c1cccc(C2=C(c3cc(Cl)ccc3OCc3ccccc3)CCC2)c1,5.7,cyp_2c9,train,train
852,Cc1ccc(-c2cc(Cl)ccc2OCc2ccccc2)n1-c1cccc(C(=O)O)c1,6.5,cyp_2c9,train,train
855,Cc1ccc(-c2cc(Br)ccc2OCc2ccccc2)n1-c1cccc(C(=O)O)c1,6.8,cyp_2c9,train,train
861,CC(=O)N1CCN(c2nc(NCc3ccc(Cl)cc3)c3c(n2)C(=O)N(C(C)C)C3)CC1,2.4,cyp_2c9,train,train
862,COc1ccc([C@@H](C)Nc2nc(N3CCN(C(C)=O)CC3)nc3c2CN(C(C)C)C3=O)cc1,2.4,cyp_2c9,train,train
864,Cc1ccccc1-n1nc(-c2c(-c3ccc(F)cc3)nn3c2NC[C@@H](CO)C3)ccc1=O,19.0,cyp_2c9,test,train
866,Cc1ccc2c(C(=O)O)c(O)c(-c3ccc(Cl)cc3)nc2c1C,2.0,cyp_2c9,train,train
867,CC(=O)N1CCN(c2nc(NCc3cc4ccccc4cn3)c3c(n2)C(=O)N(C(C)C)C3)CC1,7.0,cyp_2c9,train,train
868,Cc1noc(C)c1-c1ccc2c(Nc3ccccc3C(C)(C)C)c(C(=O)O)cnc2c1,10.0,cyp_2c9,train,train
869,COc1cc2c(Nc3ccccc3C(=O)N3CCCCC3)c(C(N)=O)cnc2cc1-c1c(C)noc1C,8.5,cyp_2c9,train,train
895,CCC(=O)N(Cc1ccc(OC(F)(F)F)cc1)c1cc(F)cc(-c2nnn[nH]2)c1,0.2,cyp_2c9,train,train
902,COc1cc(/C=C2\CCCN3C2=NO[C@H](c2cc(F)cc(F)c2)[C@@H]3C)ccc1-n1cnc(C)c1,33.0,cyp_2c9,test,train
