Smiles_unify,value,property,scaffold_train_test_label,random_train_test_label
Brc1ccc(CN2C3c4ccccc4-c4ccccc4C32)cc1,1,ames,train,train
Brc1ccc(Oc2cc(Br)c(Br)cc2Br)c(Br)c1,0,ames,train,test
Brc1ccc2c(c1)C1OC1C1CCCCC21,0,ames,train,test
Brc1ccc2c(c1)C=CC1CCCCC21,0,ames,train,test
Brc1cccc(-c2ccccc2)c1,0,ames,test,train
Brc1cccc2cc3c(ccc4ccccc43)cc12,1,ames,train,test
Brc1ccccc1,0,ames,train,train
Brc1ccccc1-c1ccccc1,0,ames,test,train
C#CC(OC(=O)NC1CCCCC1)(c1ccccc1)c1ccc(C)c(C)c1,1,ames,train,train
C#CC(OC(=O)NC1CCCCC1)(c1ccccc1)c1ccccc1,1,ames,train,train
C#CC1(O)CCC2C3CC=C4CC(=O)CCC4C3CCC21C,0,ames,train,train
C#CC1(O)CCC2C3CCC4=C(CCC(=O)C4)C3CCC21C,0,ames,train,train
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,0,ames,test,train
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21CC,0,ames,test,train
C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,0,ames,train,train
C#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C,0,ames,train,train
C#CC1(OC(=O)CCCCCC)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,0,ames,test,test
C#CC1(OC(C)=O)CCC2C3CCC4=C(CCC(=O)C4)C3CCC21C,0,ames,train,train
C#CC1(OC(C)=O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,0,ames,test,train
C#CCBr,1,ames,train,train
C#CCN1C(=O)COc2cc(F)c(N3C(=O)C4=C(CCCC4)C3=O)cc21,0,ames,test,train
C#CCNC(=NCCSCc1nc[nH]c1C)NC#N,0,ames,train,train
C#CCO,1,ames,train,train
C#CCOC(=O)[C@@H](C)Oc1ccc(Oc2ncc(Cl)cc2F)cc1,0,ames,train,train
C#CCOC(C(=O)NCCC(=O)O)c1ccc(Cl)cc1,0,ames,train,train
C#CCOCCN1C=CN(C)C1/C=N/O,0,ames,train,train
C#CCOCC[n+]1ccccc1/C=N/O,0,ames,test,train
C#CCOc1ccc(CCNC(=O)C(OCC#C)c2ccc(Cl)cc2)cc1OC,0,ames,train,train
C#CCOc1cnc(C(=O)Nc2cc(F)c(F)c([C@@]3(C)N=C(N)S[C@@]4(C(F)F)C[C@@H]34)c2)cn1,0,ames,test,train
C#CCOc1cnc(C(=O)Nc2cc(F)c(F)c([C@@]3(C)N=C(N)S[C@@]4(COC)C[C@H]43)c2)cn1,0,ames,test,train
C#CCc1ccc(COC(=O)C2C(C=C(C)C)C2(C)C)o1,1,ames,train,train
C#CCc1ccc(COC(=O)[C@H]2[C@H](C=C(C)C)C2(C)C)o1,1,ames,train,train
C#C[C@@](OC(=O)NC1CCCCC1)(c1ccccc1)c1ccc(C)c(C)c1,1,ames,train,train
C#C[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,0,ames,train,train
C#C[C@]1(O)CC[C@@H]2[C@@H]3CCC4=C(CCC(=O)C4)[C@H]3CC[C@@]21C,0,ames,train,train
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,0,ames,train,train
C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,1,ames,train,train
C(#Cc1ncn2c1COc1ccccc1-2)c1ccccc1,0,ames,train,train
C(=C/c1cccc(/C=C/c2ccccc2)c1)\c1ccccc1,0,ames,train,train
C(=C/c1ccccc1)\c1ccccc1,0,ames,train,train
C(=N/N1Cc2[nH]c3ccccc3c2N=N1)\c1ccc(Oc2ccccc2)cc1,0,ames,train,train
C(=N/NC1=NCCN1)\c1c2ccccc2c(/C=N/NC2=NCCN2)c2ccccc12,1,ames,train,train
C(=N/c1nc2ccccc2s1)\c1ccc[nH]1,1,ames,train,train
C(=N/c1nc2ccccc2s1)\c1ccco1,1,ames,train,test
C(=N/c1nc2ccccc2s1)\c1cccs1,1,ames,train,train
C(=N/c1snc2ccccc12)\c1ccccc1,0,ames,train,test
C(=NC1CCCCC1)=NC1CCCCC1,0,ames,train,train
C(CC1CO1)C1CO1,1,ames,train,train
C(CCC1CO1)CC1CO1,1,ames,train,train
C(CCOCC1CO1)COCC1CO1,1,ames,test,train
C(CCOC[C@H]1CO1)COC[C@H]1CO1,1,ames,train,train
C(CC[C@H]1CO1)C[C@H]1CO1,1,ames,train,train
C(COCC1CO1)OCC1CO1,1,ames,train,train
C/C(=C(/OCCOc1ccc(Cl)cc1)c1ccc(Cl)cc1Cl)n1ccnc1,0,ames,train,train
C/C(=C(\CCOC(=O)c1ccccc1)SC(=O)c1ccccc1)N(C=O)Cc1cnc(C)nc1N,0,ames,train,train
C/C(=N\c1ccc2c(c1)C(=O)c1ccc(/N=C(\C)N(C)C)cc1C2=O)N(C)C,0,ames,test,train
C/C(C(=O)O)=C(/Cl)C(=O)O,0,ames,train,train
C/C(C=O)=C(/Cl)C(=O)O,1,ames,train,train
C/C(C=O)=C/c1ccccc1,0,ames,train,train
C/C(Cl)=C(/C)Cl,1,ames,train,train
C/C(Cl)=C\C=O,1,ames,train,test
C/C=C(/C)C#N,0,ames,train,train
C/C=C(/C)C(=O)O[C@H]1CCN2CC=C(COC(=O)[C@@](O)([C@H](C)OC)C(C)(C)O)[C@H]12,1,ames,train,train
C/C=C(C(=C/C)/c1ccc(O)cc1)\c1ccc(O)cc1,0,ames,test,train
C/C=C(\C)C(=O)OC1CCN2CC=C(CO)C12,0,ames,test,train
C/C=C(\C)CCl,1,ames,train,train
C/C=C(\C=C(C)\C=C(C)\C=C\C=C(/C)C(=O)[C@@]12O[C@@H]1[C@](O)(CCO)NC2=O)C(=O)OC,1,ames,train,train
C/C=C(\Cl)C1=CC(=O)C23CC2C(C)(C)OC3(O)C1=O,1,ames,test,train
C/C=C(\Cl)C=O,1,ames,train,train
C/C=C/C,0,ames,train,test
C/C=C/C(=O)OC1CC2OC3C=C(C)C(=O)CC3(C)C1(C)C21CO1,0,ames,train,train
C/C=C/C(=O)Oc1c(C(C)CCCCCC)cc([N+](=O)[O-])cc1[N+](=O)[O-],1,ames,train,train
C/C=C/C1=CC(=O)C23CC2C(C)(C)OC3(O)C1=O,1,ames,test,train
C/C=C/C1OC(=O)C=CC1O,0,ames,train,train
C/C=C/C=C/CCCCCCCO,0,ames,train,train
C/C=C/C=O,1,ames,train,train
C/C=C/CC,0,ames,train,train
C/C=C/CC#N,0,ames,train,test
C/C=C/Cl,1,ames,train,train
C/C=C/c1cc(OC)c(OC)cc1OC,1,ames,train,train
C/C=C/c1cc(OC)ccc1OC,0,ames,train,train
C/C=C/c1cc2c(c(=O)o1)C(=O)C(O)C(C)O2,0,ames,train,train
C/C=C/c1ccc(O)c(OC)c1,0,ames,train,train
C/C=C/c1ccc(OC)cc1,0,ames,train,train
C/C=C/c1ccc(OC)cc1OC,0,ames,train,train
C/C=C/c1ccc2c(c1)OCO2,0,ames,train,train
C/C=C/c1cccc(OC)c1OC,1,ames,train,train
C/C=C1/CC(C)C(C)(OC(C)=O)C(=O)OCC2=CCN(C)CCC(OC1=O)C2=O,1,ames,train,train
C/C=C1/CC(C)C(O)(CO)C(=O)OCC2=CCN3CCC(OC1=O)C23,1,ames,train,train
C/C=C1/C[C@@H](C)[C@@](C)(O)C(=O)OC/C2=C/CN(C)CC[C@@H](OC1=O)C2=O,1,ames,test,train
C/C=C1/C[C@H](C)[C@@](O)(CO)C(=O)OCC2=CCN3CC[C@@H](OC1=O)[C@H]23,1,ames,train,train
C/C=C1/C[C@H](C)[C@](O)(CO)C(=O)OCC2=CC[N@@+]3([O-])CC[C@@H](OC1=O)[C@@H]23,0,ames,test,train
C/C=C1\CC(C)C(C)(O)C(=O)OCC2=CCN3CCC(OC1=O)C23,0,ames,train,train
C/C=C1\CC(C)C(C)(O)C(=O)OCC2=CC[N+]3(C)CCC(OC1=O)C23O,1,ames,train,train
C/C=C1\C[C@@H]2C=C[C@H]1C2,0,ames,train,train
C/C=C\C=C/C(=O)O,0,ames,train,test
C/C=C\C=C/C=O,1,ames,train,train
C/C=C\C=O,1,ames,train,train
C/C=C\c1ccc(O)c(OC)c1,0,ames,train,train
C/C=N/N(C)C=O,0,ames,train,train
C/C=N\O,1,ames,train,train
C1=C2CCCC(=CC3OC13)O2,0,ames,test,train
C1=C2c3ccccc3CCC2CCC1,1,ames,train,train
C1=CC23CCCC2(C=C1)O3,1,ames,train,train
C1=CC2C3C=CC(C3)C2C1,0,ames,test,test
C1=CC2CCCCC2c2ccccc21,1,ames,train,train
C1=CC2OC2C=C1,1,ames,test,test
C1=CC2OC2C=CO1,0,ames,train,train
C1=CC2OC2c2c1cc1ccc3cccc4ccc2c1c34,1,ames,test,train
C1=CC2OC2c2cc3ccc4cccc5ccc(c21)c3c45,1,ames,test,train
C1=CC2OC2c2ccc3c4c5c(cccc5cc3c21)C=C4,1,ames,train,train
C1=CC2OC2c2cccnc21,0,ames,test,train
C1=CC2OC2c2ncccc21,1,ames,train,test
C1=CC2c3ccccc3OC2O1,1,ames,train,train
C1=CCCCC1,0,ames,train,test
C1=COc2c(c3cc4ccccc4cc3c3ccccc23)C=C1,1,ames,train,train
C1=COc2c(c3ccccc3c3cc4ccccc4cc23)C=C1,1,ames,train,train
C1=C[C@@H]2O[C@@H]2C=C1,1,ames,train,train
C1=C[C@@H]2O[C@@H]2c2ncccc21,1,ames,test,train
C1=C[C@@H]2c3ccccc3O[C@@H]2O1,1,ames,train,train
C1=C[C@H]2O[C@H]2c2c1cc1ccc3cccc4ccc2c1c34,1,ames,train,train
C1=C[C@H]2O[C@H]2c2cc3ccc4cccc5ccc(c21)c3c45,1,ames,train,train
C1=C[C@H]2O[C@H]2c2ccc3c4c5c(cccc5cc3c21)C=C4,1,ames,train,train
C1=C[C@H]2[C@@H](C1)[C@@H]1C=C[C@H]2C1,0,ames,train,train
C1=C\CCC2OC2CC/C=C/CC/1,0,ames,train,test
C1=Cc2c(cc3ccc4cccc5ccc2c3c45)CC1,1,ames,train,train
C1=Cc2c(ccc3c2ccc2ccccc23)C1,1,ames,train,test
C1=Cc2c(ccc3ccc4ccccc4c23)C1,1,ames,test,train
C1=Cc2c(ccc3nc4ccc5ccccc5c4cc23)CC1,1,ames,train,train
C1=Cc2c3c1cccc3cc1ccc3ccccc3c21,1,ames,test,train
C1=Cc2c3cc4ccccc4cc3cc3cccc1c23,1,ames,train,train
C1=Cc2c3ccc4cccc5ccc(c6cccc1c26)c3c45,1,ames,train,test
C1=Cc2c3ccc4ccccc4c3cc3cccc1c23,1,ames,train,train
C1=Cc2c3ccccc3cc3cc4ccccc4c1c23,1,ames,train,train
C1=Cc2c3ccccc3cc3cccc1c23,1,ames,train,train
C1=Cc2cc3c4ccccc4ccc3c3cccc1c23,1,ames,train,test
C1=Cc2cc3cccc4c5ccccc5c5ccc1c2c5c34,1,ames,train,train
C1=Cc2cc3cccc4ccc5ccc1c2c5c43,1,ames,train,train
C1=Cc2cc3ccccc3c3cccc1c23,1,ames,train,train
C1=Cc2ccc3c4c(ccc1c24)-c1ccccc1-3,1,ames,train,train
C1=Cc2ccc3nc4ccc5ccccc5c4cc3c2CC1,1,ames,train,train
C1=c2ccccc2=C2Cc3ccccc3C3=C4OC4=C1C32,1,ames,train,train
C1CC2(CCO1)CO2,1,ames,train,train
C1CC2OC2C1OC1CCC2OC12,0,ames,test,train
C1CC2OC2CC1C1CO1,1,ames,train,train
C1CC2OC2CC1COCC1CCC2OC2C1,1,ames,train,test
C1CC2OC2CCC2OC12,0,ames,train,train
C1CCC(C(C[C@H]2CCCCN2)C2CCCCC2)CC1,0,ames,test,train
C1CCC(NC2CCCCC2)CC1,0,ames,train,train
C1CCC2(CC1)CO2,0,ames,train,train
C1CCC2CC3(CCC2C1)CO3,0,ames,train,train
C1CCC2CCCCC2C1,0,ames,train,train
C1CCC2OC2C1,1,ames,train,train
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,0,ames,train,train
C1CCC2OCCOCCOC3CCCCC3OCCOCCOCCOC2C1,0,ames,train,train
C1CCC2OCCOCCOCCOC3CCCCC3OCCOCCOCCOC2C1,0,ames,train,train
C1CCC2OCCOCCOCCOCCOC3CCCCC3OCCOCCOCCOCCOC2C1,0,ames,test,test
C1CCCC1,0,ames,train,test
C1CCCC2OC2CC1,0,ames,test,train
C1CCCCC1,0,ames,train,train
C1CCCCCC2OC2CCCC1,0,ames,test,test
C1CCCNCC1,0,ames,train,test
C1CCNC1,0,ames,train,train
C1CCOC1,0,ames,train,test
C1CC[C@H]2CCCC[C@@H]2C1,0,ames,train,train
C1CC[C@H]2O[C@H]2C1,1,ames,train,train
C1CN(SSN2CCOCC2)CCO1,0,ames,train,test
C1CN1,1,ames,train,train
C1CN1c1nc(N2CC2)nc(N2CC2)n1,1,ames,test,train
C1CN2CCN1CC2,0,ames,train,test
C1CNCCN1,0,ames,train,train
C1CO1,1,ames,train,train
C1COC1,1,ames,test,train
C1COCC2(C1)CO2,1,ames,train,train
C1COCCN1,0,ames,train,train
C1COCCO1,0,ames,train,train
C1COCCOCCOCCO1,0,ames,train,train
C1COCCOCCOCCOCCO1,0,ames,test,train
C1COCCOCCOCCOCCOCCO1,0,ames,test,train
C1COCCOCCOCCOCCOCCOCCO1,0,ames,train,train
C1COCO1,0,ames,train,train
C1COCOC1,1,ames,train,train
C1CS1,1,ames,train,train
C1CSCCO1,0,ames,train,train
C1CSCCS1,1,ames,train,train
C1CSCN1,1,ames,train,train
C1CSCSC1,1,ames,train,train
C1C[C@@H]2O[C@@H]2C[C@@H]1[C@H]1CO1,1,ames,train,train
C1C[C@H](O[C@H]2CC[C@@H]3O[C@@H]32)[C@H]2O[C@@H]12,0,ames,test,train
C1N2CN3CN1CN(C2)C3,1,ames,train,test
C1OC1C1CO1,1,ames,test,test
C1OCOCO1,0,ames,train,train
C1O[C@H]1[C@H]1CO1,1,ames,test,train
C=C,0,ames,train,train
C=C(Br)C(=O)O,0,ames,train,train
C=C(Br)C(C)=O,1,ames,train,train
C=C(Br)C=O,1,ames,train,test
C=C(Br)CBr,1,ames,train,test
C=C(Br)CCl,1,ames,train,test
C=C(C#N)C(=O)OC,1,ames,train,train
C=C(C#N)C(=O)OCC,0,ames,train,train
C=C(C#N)C(=O)OCC(C)C,0,ames,train,train
C=C(C)C,0,ames,train,train
C=C(C)C#N,0,ames,train,train
C=C(C)C(=O)/C(=C/C(=O)O)OC,1,ames,train,train
C=C(C)C(=O)N[N+](C)(C)CC(C)O,0,ames,train,train
C=C(C)C(=O)N[N+](C)(C)C[C@@H](C)O,0,ames,train,test
C=C(C)C(=O)O,0,ames,train,train
C=C(C)C(=O)OC,0,ames,train,train
C=C(C)C(=O)OC(C)(C)C,0,ames,train,train
C=C(C)C(=O)OC(C)C,0,ames,train,train
C=C(C)C(=O)OCC,0,ames,train,train
C=C(C)C(=O)OCC(Br)CBr,1,ames,train,test
C=C(C)C(=O)OCC(C)(C)C,0,ames,train,train
C=C(C)C(=O)OCC(C)(C)COC(=O)C(=C)C,0,ames,train,train
C=C(C)C(=O)OCC(C)C,0,ames,train,train
C=C(C)C(=O)OCC(C)O,0,ames,train,train
C=C(C)C(=O)OCC(CC)(COC(=O)C(=C)C)COC(=O)C(=C)C,1,ames,train,train
C=C(C)C(=O)OCC(O)COc1ccc(C(C)(C)c2ccc(OCC(O)COC(=O)C(=C)C)cc2)cc1,0,ames,train,train
C=C(C)C(=O)OCC1CO1,1,ames,train,train
C=C(C)C(=O)OCCC,0,ames,train,train
C=C(C)C(=O)OCCCC,0,ames,train,train
C=C(C)C(=O)OCCCCC,0,ames,train,test
C=C(C)C(=O)OCCCCCC,0,ames,train,test
C=C(C)C(=O)OCCCCCCCC,0,ames,train,train
C=C(C)C(=O)OCCCCCCCC(C)C,0,ames,train,test
C=C(C)C(=O)OCCCCCCCCCC,0,ames,train,train
C=C(C)C(=O)OCCCCCCOC(=O)C(=C)C,0,ames,train,test
C=C(C)C(=O)OCCCCCOC(=O)C(=C)C,0,ames,train,train
C=C(C)C(=O)OCCCCOC(=O)C(=C)C,0,ames,train,train
C=C(C)C(=O)OCCN(C)C,1,ames,train,train
C=C(C)C(=O)OCCO,0,ames,train,train
C=C(C)C(=O)OCCOC(=O)C(=C)C,0,ames,train,test
C=C(C)C(=O)OCCOC(=O)NCCC(C)CC(C)(C)CNC(=O)OCCOC(=O)C(=C)C,0,ames,train,train
C=C(C)C(=O)OCCOC(=O)NNC(=O)OCCOC(=O)C(=C)C,0,ames,train,train
C=C(C)C(=O)OCCOCCOC(=O)C(=C)C,0,ames,train,train
C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C,0,ames,train,train
C=C(C)C(=O)OC[C@H](Br)CBr,1,ames,train,train
C=C(C)C(=O)OC[C@H]1CO1,1,ames,train,train
C=C(C)C(C)=O,0,ames,train,train
C=C(C)C(C)Cl,1,ames,train,test
C=C(C)C1C=C2C(COC(=O)CCCCCCCCCCCCCCCCC)=CC=C2C(C)=CC1,1,ames,test,train
C=C(C)C1CC=C(C)C(=O)C1,0,ames,train,train
C=C(C)C1CC=C(C)C(O)C1,0,ames,train,train
C=C(C)C1CC=C(C)C(OC(C)=O)C1,0,ames,train,train
C=C(C)C1CC=C(C)CC1,0,ames,train,test
C=C(C)C1CC=C(C=O)CC1,0,ames,train,train
C=C(C)C1CCC(=C)C2C3=C(CC(C)(O)C3=O)C(=O)C(C)=CC12,0,ames,train,train
C=C(C)C1CCC(=C)C2C3=C(CC(C)C3=O)C(=O)C(C)=CC12,0,ames,train,test
C=C(C)C1CCC2(C)OC2C1,0,ames,train,train
C=C(C)C1CO1,0,ames,train,train
C=C(C)C1Cc2c(cc(O)c3c(=O)c4ccccc4n(C)c23)O1,1,ames,test,train
C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1,0,ames,test,train
C=C(C)C=O,1,ames,train,train
C=C(C)CCl,1,ames,train,train
C=C(C)OC(C)=O,0,ames,train,train
C=C(C)[C@@H]1CC=C(C)C(=O)C1,0,ames,train,train
C=C(C)[C@@H]1CC=C(C)CC1,0,ames,train,train
C=C(C)[C@@H]1CC=C(C)[C@@H](O)C1,0,ames,train,train
C=C(C)[C@@H]1CC[C@]2(NCCN3CCS(=O)(=O)CC3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC=C(c6ccc(C(=O)O)cc6)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,0,ames,train,train
C=C(C)[C@@H]1Cc2c(ccc3c2O[C@H]2COc4cc(OC)c(OC)cc4[C@@H]2C3=O)O1,0,ames,train,test
C=C(C)[C@H]1C=C2C(COC(=O)CCCCCCCCCCCCCCCCC)=CC=C2C(C)=CC1,1,ames,test,train
C=C(C)[C@H]1CC=C(C)CC1,0,ames,train,test
C=C(C)[C@H]1CC=C(C)[C@@H](OC(C)=O)C1,0,ames,train,train
C=C(C)[C@H]1Cc2c(cc(O)c3c(=O)c4ccccc4n(C)c23)O1,1,ames,test,test
C=C(C)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@@H]2C3=O)O1,0,ames,test,train
C=C(C)c1cc(O)c(C)cc1O,0,ames,train,train
C=C(C)c1ccc(C)c2ccc(C=O)c-2c1,1,ames,test,test
C=C(C)c1ccc(C)c2ccc(CO)c-2c1,1,ames,test,test
C=C(C)c1ccccc1,0,ames,train,train
C=C(C=O)CC,1,ames,train,train
C=C(C=O)CCC,1,ames,train,train
C=C(C=O)CCCC,1,ames,train,train
C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,0,ames,train,train
C=C(Cl)C#N,0,ames,train,train
C=C(Cl)C(=C)Cl,1,ames,train,train
C=C(Cl)C(=O)OC,1,ames,train,train
C=C(Cl)C(Cl)CCl,1,ames,train,test
C=C(Cl)C=O,1,ames,train,train
C=C(Cl)CCl,1,ames,train,train
C=C(Cl)CSC(=S)N(CC)CC,1,ames,train,train
C=C(Cl)Cl,1,ames,train,train
C=C(F)COc1ccc(Cl)cc1[C@H]1C[C@@H]1CN,0,ames,train,test
C=C(F)F,1,ames,train,train
C=C/C1=C/C(C)C(C)(OC(C)=O)C(=O)OCC2=CC[N+]3(C)CCC(OC1=O)C23O,1,ames,train,train
C=C/C=C\C,0,ames,train,test
C=C1/C(=C/C=C2\CCCC3(C)C2CCC3C(C)/C=C/C(O)C2CC2)CC(O)CC1O,0,ames,test,train
C=C1/C(=C/C=C2\CCCC3(C)C2CCC3C(C)CCC(O)C(C)C)CC(O)CC1O,0,ames,test,train
C=C1C(=O)C23CCC4C(C)(C(=O)O)CCCC4(C)C2CCC1(O)C3,1,ames,train,train
C=C1C(=O)OC2C1CCC(C)C1=CCC(=O)C12C,0,ames,train,test
C=C1C(=O)OC2C1CCC(C)C1C=CC(=O)C12C,0,ames,test,test
C=C1C(=O)OC2CC(C)C3C=CC(=O)C3(C)C(O)C12,0,ames,train,train
C=C1C(=O)OC2CC(C)C3CC(O)OC(O)C3(C)CC12,1,ames,train,test
C=C1C(=O)OC2CC(C)C3CC(OCC)OC(OCC)C3(C)CC12,1,ames,train,test
C=C1C(=O)OC2CC3(C)C(CCC(C)=O)C3CC12,0,ames,train,train
C=C1C(=O)OC2CCN3CC=C(COC(=O)C(C)(O)C(C)C1C)C23,0,ames,train,train
C=C1C(=O)O[C@@H]2C[C@@H](C)[C@@H]3C=CC(=O)[C@]3(C)[C@@H](O)[C@H]12,0,ames,train,test
C=C1C(=O)O[C@@H]2C[C@H](C)[C@H]3C[C@@H](O)O[C@@H](O)[C@]3(C)C[C@H]12,1,ames,test,train
C=C1C(=O)O[C@@H]2C[C@H](C)[C@H]3C[C@@H](OCC)O[C@@H](OCC)[C@]3(C)C[C@H]12,1,ames,test,train
C=C1C(CCl)(CCl)C2(Cl)C(Cl)C(Cl)C1(Cl)C2(Cl)Cl,1,ames,test,train
C=C1C(O)C23CCC4C(C)(C(=O)O)CCCC4(C)C2CCC1(O)C3,0,ames,train,train
C=C1C/C(=C/C)C(=O)O[C@@H]2CCN3CC=C(COC(=O)[C@@]1(O)CO)[C@H]23,1,ames,test,train
C=C1C/C(=C/C)C(=O)O[C@H]2CCN3CC=C(COC(=O)[C@@]1(O)CO)[C@H]23,1,ames,train,train
C=C1C/C(=C/C)C(=O)O[C@H]2CCN3CC=C(COC(=O)[C@]1(C)O)[C@H]23,1,ames,train,train
C=C1C2CCC(C2)C1(C)C,0,ames,test,train
C=C1C2CCC3C4(C)CCCC(C)(C(=O)O)C4CCC3(C2)C1O,0,ames,train,train
C=C1CC(=CC)C(=O)OC2CCN3CC=C(COC(=O)C1(C)O)C23,1,ames,train,train
C=C1CC(=CC)C(=O)OC2CCN3CC=C(COC(=O)C1(O)CO)C23,1,ames,train,train
C=C1CC(=O)O1,0,ames,train,train
C=C1CC/C=C(/C)CC[C@@H]2[C@H]1CC2(C)C,0,ames,train,test
C=C1CC23CC1(O)CCC2C12C=CC(O)C(C)(C(=O)O1)C2C3C(=O)O,0,ames,train,train
C=C1CC23CCC4C(C)(C(=O)O)CCCC4(C)C2CCC1(O)C3,1,ames,train,train
C=C1CC23CCC4C(C)(C(=O)O)CCCC4(C)C2CCC1(OC1OC(CO)C(O)C(O)C1O)C3,1,ames,train,test
C=C1CC23CCC4C(C)(C(=O)O)CCCC4(C)C2CCC1C3,0,ames,train,test
C=C1CC23CCC4C(C)(C(=O)OC5OC(CO)C(O)C(O)C5O)CCCC4(C)C2CCC1(OC1OC(CO)C(O)C(O)C1OC1OC(C)C(O)C(O)C1O)C3,0,ames,train,test
C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)C,0,ames,train,train
C=C1CCC2C(c3c(C)c(O)c4c(c31)C(=O)C(C)C4)C2(C)C,0,ames,test,train
C=C1CCC2CC1C2(C)C,0,ames,train,train
C=C1CCC=C(C)CCC2C1CC2(C)C,0,ames,test,train
C=C1CC[C@H](O)C/C1=C/C=C1/CCC[C@]2(C)[C@@H]1CC[C@H]2[C@H](C)CCCC(C)C,0,ames,train,train
C=C1C[C@@]23CCC4[C@@](C)(CCC[C@@]4(C)C(=O)O)C2CCC1(OC(C)=O)C3,0,ames,train,train
C=C1C[C@@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)O)[C@@H]2CC[C@]1(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C3,0,ames,test,train
C=C1C[C@]23C[C@@]1(O)CC[C@@H]2[C@@]12C=C[C@H](O)[C@@](C)(C(=O)O1)[C@H]2[C@@H]3C(=O)O,0,ames,train,test
