Drug_ID	Drug	Y
"ciprocinonide"	"CC1(C)O[C@H]2C[C@H]3[C@H]4C[C@H](F)C5=CC(=O)C=C[C@@]5(C)[C@@]4(F)[C@H](O)C[C@@]3(C)[C@]2(C(=O)COC(=O)C2CC2)O1"	1
"citatepine"	"CN1CCC2=C(CC1)c1cc(C#N)ccc1Sc1ccccc12"	1
"clebopride"	"COc1cc(N)c(Cl)cc1C(=O)NC1CCN(Cc2ccccc2)CC1"	1
"clidafidine"	"Clc1cccc(Cl)c1/N=C1/NCCO1"	1
"clobazam"	"CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21"	1
"clobetasone"	"C[C@H]1C[C@H]2[C@H]3CCC4=CC(=O)C=C[C@@]4(C)[C@@]3(F)C(=O)C[C@@]2(C)[C@@]1(O)C(=O)CCl"	1
"clobetasone-butyrate"	"CCCC(=O)O[C@@]1(C(=O)CCl)[C@H](C)C[C@H]2[C@H]3CCC4=CC(=O)C=C[C@@]4(C)[C@@]3(F)C(=O)C[C@]21C"	1
"clocapramine"	"NC(=O)C1(N2CCCCC2)CCN(CCCN2c3ccccc3CCc3ccc(Cl)cc32)CC1"	1
"clocortolone"	"C[C@H]1C[C@H]2[C@H]3C[C@H](F)C4=CC(=O)C=C[C@@]4(C)[C@@]3(Cl)[C@H](O)C[C@@]2(C)[C@H]1C(=O)CO"	1
"clocortolone-acetate"	"CC(=O)OCC(=O)[C@H]1[C@@H](C)C[C@H]2[C@H]3C[C@H](F)C4=CC(=O)C=C[C@@]4(C)[C@@]3(Cl)[C@H](O)C[C@@]12C"	1
"clocortolone-pivalate"	"C[C@H]1C[C@H]2[C@H]3C[C@H](F)C4=CC(=O)C=C[C@@]4(C)[C@@]3(Cl)[C@H](O)C[C@@]2(C)[C@H]1C(=O)COC(=O)C(C)(C)C"	1
"clodazon"	"CN(C)CCCn1c(=O)n(-c2ccccc2)c2cc(Cl)ccc21"	1
"clofenciclan"	"CCN(CC)CCOC1(c2ccc(Cl)cc2)CCCCC1"	1
"clofluperol"	"O=C(CCCN1CCC(O)(c2ccc(Cl)c(C(F)(F)F)c2)CC1)c1ccc(F)cc1"	1
"clomethiazole"	"Cc1ncsc1CCCl"	1
"clopenthixol (zuclopenthixol)"	"OCCN1CCN(CC/C=C2/c3ccccc3Sc3ccc(Cl)cc32)CC1"	1
"cloperidone"	"O=c1[nH]c2ccccc2c(=O)n1CCCN1CCN(c2cccc(Cl)c2)CC1"	1
"clopimozide"	"O=c1[nH]c2cc(Cl)ccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1"	1
"cloprednol"	"C[C@@]12C=CC(=O)C=C1C(Cl)=C[C@@H]1[C@H]2[C@@H](O)C[C@@]2(C)[C@@H]1CC[C@@]2(O)C(=O)CO"	1
"clorethate (cloretate)"	"O=C(OCC(Cl)(Cl)Cl)OCC(Cl)(Cl)Cl"	1
"clorgiline"	"C#CCN(C)CCCOc1ccc(Cl)cc1Cl"	1
"cloroperone"	"O=C(CCCN1CCC(C(=O)c2ccc(Cl)cc2)CC1)c1ccc(F)cc1"	1
"clorotepine"	"CN1CCN([C@H]2Cc3ccccc3Sc3ccc(Cl)cc32)CC1"	1
"clotiazepam"	"CCc1cc2c(s1)N(C)C(=O)CN=C2c1ccccc1Cl"	1
"cloticasone (cloticasone-propionate)"	"CCC(=O)O[C@@]1(C(=O)SCCl)[C@H](C)C[C@H]2[C@H]3C[C@H](F)C4=CC(=O)C=C[C@@]4(C)[C@@]3(F)[C@H](O)C[C@]21C"	1
"clotixamide (clotixamide)"	"CNC(=O)CCN1CCN(CC/C=C2/c3ccccc3Sc3ccc(Cl)cc32)CC1"	1
"clozapine"	"CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1"	1
"cogazocine"	"CC[C@@]12CCN(CC3CCC3)[C@@H](Cc3ccc(O)cc31)C2(C)C"	1
"conorphone (conorfone)"	"CC[C@H]1CC(=O)[C@H]2Oc3c(OC)ccc4c3[C@@]23CCN(CC2CC2)[C@H](C4)[C@H]13"	1
"cormetasone"	"C[C@H]1C[C@H]2[C@H]3CC(F)(F)C4=CC(=O)C=C[C@@]4(C)[C@@]3(F)[C@H](O)C[C@@]2(C)[C@@]1(O)C(=O)CO"	1
"cortexolone (cortodoxone cortifen)"	"C[C@@]12CCC(=O)C=C1CC[C@@H]1[C@@H]3CC[C@@](O)(C(=O)CO)[C@@]3(C)CC[C@H]12"	1
"cortisone-acetate"	"CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@H]3CCC4=CC(=O)CC[C@@]4(C)[C@H]3C(=O)C[C@]21C"	1
"cortisuzol"	"CC1=C[C@H]2[C@H]([C@H](O)C[C@]3(C)[C@H]2C[C@H](C)[C@]3(O)C(=O)COC(=O)c2cccc(S(=O)(=O)O)c2)[C@]2(C)Cc3cnn(-c4ccccc4)c3C=C12"	1
"cortivazol"	"CC(=O)OCC(=O)[C@@]1(O)[C@@H](C)C[C@H]2[C@H]3C=C(C)C4=Cc5c(cnn5-c5ccccc5)C[C@@]4(C)[C@H]3[C@H](O)C[C@]21C"	1
"cotinine"	"CN1C(=O)CC[C@H]1c1cccnc1"	1
"cotriptyline"	"CN(C)CC(=O)C=C1c2ccccc2CCc2ccccc21"	1
"crilvastatin"	"C[C@H]1C[C@H](OC(=O)[C@H]2CCC(=O)N2)CC(C)(C)C1"	1
"crotetamide"	"CC=CC(=O)N(CC)[C@H](CC)C(=O)N(C)C"	1
"cyclarbamate"	"O=C(Nc1ccccc1)OCC1(COC(=O)Nc2ccccc2)CCCC1"	1
"cyclazocine"	"C[C@H]1[C@H]2Cc3ccc(O)cc3[C@@]1(C)CCN2CC1CC1"	1
"cyclindole (ciclindole)"	"CN(C)[C@H]1CCc2[nH]c3ccccc3c2C1"	1
"cyclobarbital"	"CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O"	1
"cyclobenzaprine"	"CN(C)CCC=C1c2ccccc2C=Cc2ccccc21"	1
"cyclophenazine (ciclofenazine)"	"FC(F)(F)c1ccc2c(c1)N(CCCN1CCN(C3CC3)CC1)c1ccccc1S2"	1
"cyclopregnol"	"CC(=O)[C@H]1CC[C@H]2[C@H]3C[C@H](O)[C@@]45C[C@H]4CC[C@@]5(C)[C@H]3CC[C@@]12C"	1
"cycotiamine"	"CC(=C1CCOC(=O)S1)N(C=O)Cc1cnc(C)nc1N"	1
"cyheptamide"	"NC(=O)C1c2ccccc2CCc2ccccc21"	1
"cyprenorphine"	"CO[C@@]12C=C[C@@]3(C[C@H]1C(C)(C)O)[C@H]1Cc4ccc(O)c5c4[C@]3(CCN1CC1CC1)[C@@H]2O5"	1
"cyprodenate"	"CN(C)CCOC(=O)CCC1CCCCC1"	1
"cyprolidol"	"OC(c1ccccc1)(c1ccccc1)[C@H]1C[C@H]1c1ccncc1"	1
"cyproximide (ciproximide)"	"O=C1NC(=O)[C@]2(c3ccc(Cl)cc3)C[C@@H]12"	1
"dacemazine"	"CN(C)CC(=O)N1c2ccccc2Sc2ccccc21"	1
"dapsone"	"Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1"	1
"dazadrol"	"O[C@@](C1=NCCN1)(c1ccc(Cl)cc1)c1ccccn1"	1
"deanol"	"CN(C)CCO"	1
"decimemide"	"CCCCCCCCCCOc1c(OC)cc(C(N)=O)cc1OC"	1
"delfaprazine"	"Cc1ccc(Cc2ccccc2)c(N2CCNCC2)c1"	1
"demoxepam"	"O=C1C[N+]([O-])=C(c2ccccc2)c2cc(Cl)ccc2N1"	1
"denbufylline"	"CCCCn1c(=O)c2c(ncn2CC(C)=O)n(CCCC)c1=O"	1
"deprodone"	"CC(=O)[C@@]1(O)CC[C@H]2[C@H]3CCC4=CC(=O)C=C[C@@]4(C)[C@H]3[C@H](O)C[C@]21C"	1
"desciclovir"	"Nc1ncc2ncn(COCCO)c2n1"	1
"descinolone (descinolone-acetonide)"	"CC(=O)[C@@]12OC(C)(C)O[C@H]1C[C@H]1[C@H]3CCC4=CC(=O)C=C[C@@]4(C)[C@@]3(F)[C@H](O)C[C@]12C"	1
