Molecule ChEMBL ID,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Document ChEMBL ID,Source Description,Document Journal,Document Year
CHEMBL499,CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1,Permeability,'=',199.0,nM hr-1 cm**-2,CHEMBL633579,Mean apparent permeability through fuzzy rat skin,A,BAO_0000218,organism-based format,CHEMBL1124025,Scientific Literature,J Med Chem,1988.0
CHEMBL120231,CS(=O)(=O)O.O=c1[nH]n(C(c2ccncc2)C2CC2)c(=O)c2c(O)c3ccc(Cl)cc3nc12,Permeability,'=',6.3e-06,,CHEMBL655618,Cellular permeability in Caco-2 cells.,F,BAO_0000219,cell-based format,CHEMBL1136832,Scientific Literature,Bioorg Med Chem Lett,2003.0
CHEMBL2369736,CC[C@H](C)[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(C)=O)C(c1ccccc1)c1ccccc1)C(=O)N(C)[C@H](C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O)[C@@H](C)CC,Permeability,'=',2.0,10e4*cm min-1,CHEMBL653931,Permeability in Caco-2 Cell monolayers for the compound,F,BAO_0000219,cell-based format,CHEMBL1130387,Scientific Literature,J Med Chem,1997.0
CHEMBL3431539,CN1CCN(C(=O)COc2ccccc2)[C@@H](c2nc(-c3cccc(C(F)(F)F)c3)n[nH]2)C1,Permeability,'=',23.1,nm s-1,CHEMBL3431937,SUPPLEMENTARY: PAMPA permeability assay,P,BAO_0000100,small-molecule physicochemical format,CHEMBL3431459,Deposited Supplementary Bioactivity Data,,
CHEMBL3431540,O=C1Cc2cc(-c3noc([C@H]4CCCCN4C(=O)COc4ccccc4)n3)ccc2N1,Permeability,'=',26.05,nm s-1,CHEMBL3431937,SUPPLEMENTARY: PAMPA permeability assay,P,BAO_0000100,small-molecule physicochemical format,CHEMBL3431459,Deposited Supplementary Bioactivity Data,,
CHEMBL3431461,COc1ccc(Cl)cc1S(=O)(=O)c1c[nH]c2ccc(C(=O)Nc3nc(CC(=O)O)cs3)cc12,Permeability,'=',0.0,nm s-1,CHEMBL3431937,SUPPLEMENTARY: PAMPA permeability assay,P,BAO_0000100,small-molecule physicochemical format,CHEMBL3431459,Deposited Supplementary Bioactivity Data,,
CHEMBL3431654,O=C(COc1ccccc1)N1CCCC[C@@H]1c1nc(-c2ccc3nccn3c2)no1,Permeability,'=',63.2,nm s-1,CHEMBL3431937,SUPPLEMENTARY: PAMPA permeability assay,P,BAO_0000100,small-molecule physicochemical format,CHEMBL3431459,Deposited Supplementary Bioactivity Data,,
CHEMBL3431677,Cc1cccc(S(=O)(=O)N2CCOc3ccc(C(=O)Nc4nc(CC(=O)O)cs4)cc32)c1,Permeability,'=',30.8,nm s-1,CHEMBL3431937,SUPPLEMENTARY: PAMPA permeability assay,P,BAO_0000100,small-molecule physicochemical format,CHEMBL3431459,Deposited Supplementary Bioactivity Data,,
CHEMBL3431683,Nc1ccc(-c2n[nH]c([C@H]3CCCCN3C(=O)COc3ccccc3)n2)cn1,Permeability,'=',39.7,nm s-1,CHEMBL3431937,SUPPLEMENTARY: PAMPA permeability assay,P,BAO_0000100,small-molecule physicochemical format,CHEMBL3431459,Deposited Supplementary Bioactivity Data,,
CHEMBL3431685,Cn1cc(S(=O)(=O)c2cccc(Cl)c2)c2cc(C(=O)Nc3nc(CC(=O)O)cs3)ccc21,Permeability,'=',9.5,nm s-1,CHEMBL3431937,SUPPLEMENTARY: PAMPA permeability assay,P,BAO_0000100,small-molecule physicochemical format,CHEMBL3431459,Deposited Supplementary Bioactivity Data,,
CHEMBL3431701,O=C(COc1ccccc1)N1CCCC[C@@H]1c1nc(-c2cccc(F)c2)n[nH]1,Permeability,'=',14.5,nm s-1,CHEMBL3431937,SUPPLEMENTARY: PAMPA permeability assay,P,BAO_0000100,small-molecule physicochemical format,CHEMBL3431459,Deposited Supplementary Bioactivity Data,,
CHEMBL3431740,COc1ccc(Cl)cc1CN1C(=O)OCc2ccc(C(=O)Nc3nc(CC(=O)O)cs3)cc21,Permeability,'=',17.0,nm s-1,CHEMBL3431937,SUPPLEMENTARY: PAMPA permeability assay,P,BAO_0000100,small-molecule physicochemical format,CHEMBL3431459,Deposited Supplementary Bioactivity Data,,
CHEMBL3431756,O=C(O)c1ccc(NC(=O)c2ccc3c(c2)N(Cc2cccc(Cl)c2)C(=O)CS3(=O)=O)cc1,Permeability,'=',10.5,nm s-1,CHEMBL3431937,SUPPLEMENTARY: PAMPA permeability assay,P,BAO_0000100,small-molecule physicochemical format,CHEMBL3431459,Deposited Supplementary Bioactivity Data,,
CHEMBL3431768,CC(=O)Nc1ccc(-c2noc([C@H]3CCCCN3C(=O)C#Cc3ccccc3)n2)cc1C(F)(F)F,Permeability,'=',15.0,nm s-1,CHEMBL3431937,SUPPLEMENTARY: PAMPA permeability assay,P,BAO_0000100,small-molecule physicochemical format,CHEMBL3431459,Deposited Supplementary Bioactivity Data,,
CHEMBL10759,CCN(CC)CCN(Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C(=O)Cn1c(SCc2ccc(F)cc2)nc(=O)c(C)c1C,Permeability,'=',0.03,cm hr-1,CHEMBL633581,Permeability in plasma,A,BAO_0000366,cell-free format,CHEMBL1136645,Scientific Literature,Bioorg Med Chem Lett,2003.0
CHEMBL3431910,Cc1ncc(-c2noc([C@H]3CCCCN3C(=O)COc3ccccc3)n2)c(=O)[nH]1,Permeability,'=',30.3,nm s-1,CHEMBL3431937,SUPPLEMENTARY: PAMPA permeability assay,P,BAO_0000100,small-molecule physicochemical format,CHEMBL3431459,Deposited Supplementary Bioactivity Data,,
CHEMBL3431914,COc1ccc(Cl)cc1S(=O)(=O)N1CCOc2c(Cl)cc(C(=O)Nc3ccc(C(=O)O)cc3)cc21,Permeability,'=',21.9,nm s-1,CHEMBL3431937,SUPPLEMENTARY: PAMPA permeability assay,P,BAO_0000100,small-molecule physicochemical format,CHEMBL3431459,Deposited Supplementary Bioactivity Data,,
CHEMBL3431918,COc1ccc(Cl)cc1S(=O)(=O)N1CCOc2c1cc(C(=O)Nc1ccc(C(=O)O)cc1)cc2C(F)(F)F,Permeability,'=',26.5,nm s-1,CHEMBL3431937,SUPPLEMENTARY: PAMPA permeability assay,P,BAO_0000100,small-molecule physicochemical format,CHEMBL3431459,Deposited Supplementary Bioactivity Data,,
CHEMBL3431465,CCn1c(C)nc(Cl)c1-c1noc([C@H]2CCCCN2C(=O)COc2ccccc2)n1,Permeability,'=',39.8,nm s-1,CHEMBL3431937,SUPPLEMENTARY: PAMPA permeability assay,P,BAO_0000100,small-molecule physicochemical format,CHEMBL3431459,Deposited Supplementary Bioactivity Data,,
CHEMBL3431470,COc1ccc(Cl)cc1S(=O)(=O)N1COc2ccc(C(=O)Nc3nc(CC(=O)O)cs3)cc21,Permeability,'=',29.3,nm s-1,CHEMBL3431937,SUPPLEMENTARY: PAMPA permeability assay,P,BAO_0000100,small-molecule physicochemical format,CHEMBL3431459,Deposited Supplementary Bioactivity Data,,
CHEMBL3431480,Nc1ncc(Cl)c(-c2nc([C@H]3CCCCN3C(=O)COc3ccccc3)no2)n1,Permeability,'=',35.9,nm s-1,CHEMBL3431937,SUPPLEMENTARY: PAMPA permeability assay,P,BAO_0000100,small-molecule physicochemical format,CHEMBL3431459,Deposited Supplementary Bioactivity Data,,
CHEMBL3431481,O=C(COc1ccccc1)N1CCCC[C@@H]1c1noc(-c2ccc(-n3cncn3)cc2)n1,Permeability,'=',22.5,nm s-1,CHEMBL3431937,SUPPLEMENTARY: PAMPA permeability assay,P,BAO_0000100,small-molecule physicochemical format,CHEMBL3431459,Deposited Supplementary Bioactivity Data,,
CHEMBL3431488,O=C(COc1ccccc1)N1CCCC[C@@H]1c1noc(-c2ccc3ncsc3c2)n1,Permeability,'=',24.0,nm s-1,CHEMBL3431937,SUPPLEMENTARY: PAMPA permeability assay,P,BAO_0000100,small-molecule physicochemical format,CHEMBL3431459,Deposited Supplementary Bioactivity Data,,
CHEMBL3431492,O=C(COc1ccccc1)N1CCCC[C@@H]1c1noc(-c2ccc3cccnc3n2)n1,Permeability,'=',54.25,nm s-1,CHEMBL3431937,SUPPLEMENTARY: PAMPA permeability assay,P,BAO_0000100,small-molecule physicochemical format,CHEMBL3431459,Deposited Supplementary Bioactivity Data,,
CHEMBL3431502,Nc1ccc(-c2noc([C@H]3CCCCN3C(=O)COc3ccccc3)n2)cn1,Permeability,'=',44.4,nm s-1,CHEMBL3431937,SUPPLEMENTARY: PAMPA permeability assay,P,BAO_0000100,small-molecule physicochemical format,CHEMBL3431459,Deposited Supplementary Bioactivity Data,,
CHEMBL3431625,COc1ccc(Cl)cc1CN1C(=O)COc2ccc(C(=O)Nc3nc(CC(=O)O)cs3)cc21,Permeability,'=',11.3,nm s-1,CHEMBL3431937,SUPPLEMENTARY: PAMPA permeability assay,P,BAO_0000100,small-molecule physicochemical format,CHEMBL3431459,Deposited Supplementary Bioactivity Data,,
CHEMBL3431631,O=C1COc2ccc(-c3nc([C@H]4CCCCN4C(=O)COc4ccccc4)no3)cc2N1,Permeability,'=',37.4,nm s-1,CHEMBL3431937,SUPPLEMENTARY: PAMPA permeability assay,P,BAO_0000100,small-molecule physicochemical format,CHEMBL3431459,Deposited Supplementary Bioactivity Data,,
CHEMBL3431639,O=C(COc1ccncc1)N1CCCC[C@@H]1c1nnc(-c2cccc(C(F)(F)F)c2)[nH]1,Permeability,'=',17.5,nm s-1,CHEMBL3431937,SUPPLEMENTARY: PAMPA permeability assay,P,BAO_0000100,small-molecule physicochemical format,CHEMBL3431459,Deposited Supplementary Bioactivity Data,,
CHEMBL3431645,CC(=O)Nc1cc(-c2nc([C@H]3CCCCN3C(=O)COc3ccccc3)no2)ccn1,Permeability,'=',54.0,nm s-1,CHEMBL3431937,SUPPLEMENTARY: PAMPA permeability assay,P,BAO_0000100,small-molecule physicochemical format,CHEMBL3431459,Deposited Supplementary Bioactivity Data,,
CHEMBL3431651,O=C(COc1ccccc1)N1CCCC[C@@H]1c1noc(-c2cc(Cl)nnc2O)n1,Permeability,'=',62.1,nm s-1,CHEMBL3431937,SUPPLEMENTARY: PAMPA permeability assay,P,BAO_0000100,small-molecule physicochemical format,CHEMBL3431459,Deposited Supplementary Bioactivity Data,,
CHEMBL3431660,O=C1CNc2ccc(-c3nc([C@H]4CCCCN4C(=O)COc4ccccc4)no3)cc2N1,Permeability,'=',18.3,nm s-1,CHEMBL3431937,SUPPLEMENTARY: PAMPA permeability assay,P,BAO_0000100,small-molecule physicochemical format,CHEMBL3431459,Deposited Supplementary Bioactivity Data,,
CHEMBL3431662,COc1ccc(Cl)cc1CN1C(=O)CS(=O)(=O)c2ccc(C(=O)Nc3nc(CC(=O)O)cs3)cc21,Permeability,'=',8.5,nm s-1,CHEMBL3431937,SUPPLEMENTARY: PAMPA permeability assay,P,BAO_0000100,small-molecule physicochemical format,CHEMBL3431459,Deposited Supplementary Bioactivity Data,,
CHEMBL3431665,Nc1cccc(-c2nc([C@H]3CCCCN3C(=O)COc3ccccc3)no2)n1,Permeability,'=',54.5,nm s-1,CHEMBL3431937,SUPPLEMENTARY: PAMPA permeability assay,P,BAO_0000100,small-molecule physicochemical format,CHEMBL3431459,Deposited Supplementary Bioactivity Data,,
CHEMBL3431672,CC(=O)Nc1cc(F)cc(-c2n[nH]c([C@H]3CCCCN3C(=O)COc3ccccc3)n2)c1,Permeability,'=',16.9,nm s-1,CHEMBL3431937,SUPPLEMENTARY: PAMPA permeability assay,P,BAO_0000100,small-molecule physicochemical format,CHEMBL3431459,Deposited Supplementary Bioactivity Data,,
CHEMBL3431686,Cc1cc(C)cc(S(=O)(=O)n2ccc3ccc(C(=O)Nc4ccc(CC(=O)O)cc4)cc32)c1,Permeability,'=',18.9,nm s-1,CHEMBL3431937,SUPPLEMENTARY: PAMPA permeability assay,P,BAO_0000100,small-molecule physicochemical format,CHEMBL3431459,Deposited Supplementary Bioactivity Data,,
CHEMBL3431687,O=C(O)Cc1ccc(NC(=O)c2ccc3ccn(S(=O)(=O)c4cccc(Cl)c4)c3c2)cc1,Permeability,'=',22.4,nm s-1,CHEMBL3431937,SUPPLEMENTARY: PAMPA permeability assay,P,BAO_0000100,small-molecule physicochemical format,CHEMBL3431459,Deposited Supplementary Bioactivity Data,,
