index,original sentence,Concentration/Dosage Levels,Temperature Range,Time Duration,Metabolic Activation Presence,Cell/Tissue Type or Organism Used,Ames experiment
12,Mutagenicity in Salmonella typhimurium TA98 in presence of liver S9 fraction by AMES test,,,,liver S9 fraction,Salmonella typhimurium TA98,TRUE
13,Antiviral activity against Vaccinia virus WR in BSC1 cells assessed as retention of antiviral potency by measuring exogenous double stranded DNA trapping,,,,,BSC1 cells,FALSE
14,Genotoxicity in Salmonella typhimurium TA98 by Ames test in presence of S9 fractions,,,,S9 fractions,Salmonella typhimurium TA98,TRUE
15,Genotoxicity in Salmonella typhimurium TAMix by Ames test in presence of S9 fractions,,,,S9 fractions,Salmonella typhimurium TAMix,TRUE
16,Mutagenicity in Salmonella typhimurium TA98 by AMES test,,,,,Salmonella typhimurium TA98,TRUE
17,Mutagenicity in Salmonella typhimurium TA100 by AMES test,,,,,Salmonella typhimurium TA100,TRUE
18,Antibacterial activity against drug-resistant Pseudomonas aeruginosa clinical isolate assessed as inhibition zone diameter after 24 hrs by antibacterial susceptibility test,,,24 hrs,,Pseudomonas aeruginosa,FALSE
19,Antibacterial activity against drug-resistant Acinetobacter calcoaceticus clinical isolate assessed as inhibition zone diameter after 24 hrs by antibacterial susceptibility test,,,24 hrs,,Acinetobacter calcoaceticus,FALSE
20,Antibacterial activity against drug-resistant Serratia marcescens clinical isolate assessed as inhibition zone diameter after 24 hrs by antibacterial susceptibility test,,,24 hrs,,Serratia marcescens,FALSE
21,Antibacterial activity against drug-resistant Enterococcus faecalis clinical isolate assessed as inhibition zone diameter after 24 hrs by antibacterial susceptibility test,,,24 hrs,,Enterococcus faecalis,FALSE
22,Antibacterial activity against drug-resistant Escherichia coli clinical isolate assessed as inhibition zone diameter after 24 hrs by antibacterial susceptibility test,,,24 hrs,,Escherichia coli,FALSE
23,Antibacterial activity against drug-resistant Proteus mirabilis clinical isolate assessed as inhibition zone diameter after 24 hrs by antibacterial susceptibility test,,,24 hrs,,Proteus mirabilis,FALSE
24,Antibacterial activity against drug-resistant Klebsiella pneumoniae clinical isolate assessed as inhibition zone diameter after 24 hrs by antibacterial susceptibility test,,,24 hrs,,Klebsiella pneumoniae,FALSE
25,Antibacterial activity against drug-resistant Enterobacter cloacae clinical isolate assessed as inhibition zone diameter after 24 hrs by antibacterial susceptibility test,,,24 hrs,,Enterobacter cloacae,FALSE
26,Genotoxicity in Salmonella typhimurium TA98 by Ames test,,,,,Salmonella typhimurium TA98,TRUE
27,Cytotoxicity against human Huh5-2 cells carrying HCV genotype 1b I389luc-ubi-neo/NS3-3'/5.1 replicon assessed as cell morphological changes after 72 hrs by microscopic analysis,,,72 hrs,,human Huh5-2 cells,FALSE
28,Genotoxicity in Salmonella typhimurium TAMix by Ames test in absence of S9 fractions,,,,absence of S9 fractions,Salmonella typhimurium TAMix,TRUE
29,Genotoxicity in Salmonella typhimurium TA98 by Ames test in absence of S9 fractions,,,,absence of S9 fractions,Salmonella typhimurium TA98,TRUE
30,Genotoxicity in Salmonella Typhimurium by Ames test,,,,,Salmonella Typhimurium,TRUE
31,Mutagenic activity in Salmonella Typhimurium TA98 using Ames test; Activity is log of revertants / nmol; a= inactive,log of revertants / nmol,,,,Salmonella Typhimurium TA98,TRUE
32,Cytotoxicity against Parkinson's disease patient derived human ONS cells assessed as effect on cell morphology parameters at 10 uM after 24 hrs by DAPI staining based fluorescence assay,10 uM,,24 hrs,,Parkinson's disease patient derived human ONS cells,FALSE
33,Cytotoxicity against Parkinson's disease patient derived human ONS cells assessed as effect on nucleus morphology parameters at 10 uM after 24 hrs by DAPI staining based fluorescence assay,10 uM,,24 hrs,,Parkinson's disease patient derived human ONS cells,FALSE
34,Inhibition of yeast histone acetyltransferase Gcn5-Ada2-Ada3 complex using tetramer and [3H]-acetyl-CoA assessed as acetate incorporation after 30 mins by liquid scintillation counting in presence of 1 mM DTT,1 mM DTT,,30 mins,,yeast histone acetyltransferase Gcn5-Ada2-Ada3 complex,FALSE
35,Inhibition of recombinant histone acetyltransferase p300 (unknown origin) using dH3-H4 tetramer and [3H]-acetyl-CoA assessed as acetate incorporation after 30 mins by liquid scintillation counting in presence of 1 mM DTT,1 mM DTT,,30 mins,,recombinant histone acetyltransferase p300,FALSE
36,Antibacterial activity against Escherichia coli ATCC 11229 assessed as diameter of the inhibition zone at 1 uM/disk after 4 hrs by disk diffusion method,1 uM/disk,,4 hrs,,Escherichia coli ATCC 11229,FALSE
37,Substrate activity at N-terminal His6-tagged recombinant Paramecium bursaria chlorella virus 1 CPH expressed in Escherichia coli Rosetta 2 (DE3) cells assessed as substrate hydroxylation at 100 uM incubated for 16 hrs in presence of 2OG by MALDI TOF MS analysis,100 uM,,16 hrs,2OG,Escherichia coli Rosetta 2 (DE3) cells,FALSE
38,Mutagenic activity in Salmonella Typhimurium TA98 assessed as number of revertants after 48 hrs by Ames test,,,48 hrs,,Salmonella Typhimurium TA98,TRUE
39,Mutagenic activity in Salmonella Typhimurium TA100 assessed as number of revertants after 48 hrs by Ames test,,,48 hrs,,Salmonella Typhimurium TA100,TRUE
40,Antifungal activity against Candida maltosa SBUG 700 assessed as diameter of the inhibition zone at 1 uM/disk by disk diffusion method,1 uM/disk,,,,Candida maltosa SBUG 700,FALSE
