Molecule ChEMBL ID,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Document ChEMBL ID,Source Description,Document Journal,Document Year,Comment,Concentration/Dosage Levels,Temperature Range,Time Duration,Metabolic Activation Presence,Cell/Tissue Type or Organism Used,Ames experiment
CHEMBL141,Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1,Activity,,,,CHEMBL952481,Antiviral activity against HBV in HBV-Met cells assessed as inhibition of viral pre genomic RNA replication,F,BAO_0000218,organism-based format,CHEMBL1156464,Scientific Literature,Proc Natl Acad Sci U S A,2007.0,Not Active,,,,,,
CHEMBL184735,CC(C)(CO)CCCCOCCCCC(C)(C)CO,Activity,,,,CHEMBL870626,"Mutagenicity in Salmonella typhi TA98, TA100,TA1535, TA1537 with and without metabolic activation",T,BAO_0000218,organism-based format,CHEMBL1148579,Scientific Literature,J Med Chem,2006.0,Not Active,,,,,,
CHEMBL1222316,CCCCNc1nc(NCCOCCOCCNC(=O)c2ccccc2)nc(NCc2ccccn2)n1,Activity,,,,CHEMBL1224985,Induction of rabbit GAPDH tetramer segregation into monomers at 10 uM after 30 mins by SDS-PAGE,B,BAO_0000357,single protein format,CHEMBL1221194,Scientific Literature,Nat Chem Biol,2007.0,Not Active,10 uM,,after 30 mins,,rabbit GAPDH,False
CHEMBL279261,OC1(c2ccc(-c3ccccc3)cc2)CN2CCC1CC2,Activity,,,,CHEMBL959528,"Inhibition of sterol biosynthesis in Leishmania mexicana amazonensis promastigotes assessed as reduction in endogenous cholesta-5,7,24-trien-3beta-ol level at 3 uM after 96 hrs by gas-liquid chromatography",F,BAO_0000218,organism-based format,CHEMBL1137637,Scientific Literature,Antimicrob Agents Chemother,2007.0,Not Determined,3 uM,,after 96 hrs,,Leishmania mexicana amazonensis promastigotes,False
CHEMBL549810,C=CCOC(=O)C1=C(C)NC2=C(C(=O)C(C)(C)CC2)C1c1cc(C(F)(F)F)cc(Cl)c1F,Activity,,,,CHEMBL1030438,Antagonist activity at voltage dependent L-type calcium channel in nitric oxide synthase inhibitor L-NAME hydrochloride pretreated New Zealand white rabbit sigmoid colon circular smooth muscle strip assessed as effect on relaxation response,F,BAO_0000221,tissue-based format,CHEMBL1158354,Scientific Literature,Eur J Med Chem,2009.0,Not Evaluated,,,,,New Zealand white rabbit sigmoid colon circular smooth muscle strip,False
CHEMBL259665,CCOC(=O)c1ccc(C2=CN3CCC2CC3)cc1,Activity,,,,CHEMBL962691,"Inhibition of sterol biosynthesis in Leishmania mexicana amazonensis promastigotes assessed as reduction in endogenous cholesta-7,24-dien-3beta-ol level at 1 uM after 96 hrs by gas-liquid chromatography",F,BAO_0000218,organism-based format,CHEMBL1137637,Scientific Literature,Antimicrob Agents Chemother,2007.0,Not Determined,1 uM,,after 96 hrs,,Leishmania mexicana amazonensis promastigotes,False
CHEMBL2261695,CCOC(=O)CSC1=NC(c2ccccc2OC)C(C(=O)OCC)=C(C)N1,Activity,,,,CHEMBL3056829,"Antiparasitic activity Toxoplasma gondii RH infected Swiss albino mouse assessed as extramedullary hematopoiesis in host spleen at 0.25 mg, po administered 48 hr post-infection measured after 3 days by haematoxylin and eosin staining relative to control",F,BAO_0000218,organism-based format,CHEMBL3045961,Scientific Literature,Med Chem Res,2008.0,Not Active,0.25 mg,,"administered 48 hr post-infection, measured after 3 days",,Toxoplasma gondii RH infected Swiss albino mouse,False
CHEMBL2261433,CC(=O)C1=C(C)N=C(SCCC(=O)O)NC1c1cccc(O)c1,Activity,,,,CHEMBL3056829,"Antiparasitic activity Toxoplasma gondii RH infected Swiss albino mouse assessed as extramedullary hematopoiesis in host spleen at 0.25 mg, po administered 48 hr post-infection measured after 3 days by haematoxylin and eosin staining relative to control",F,BAO_0000218,organism-based format,CHEMBL3045961,Scientific Literature,Med Chem Res,2008.0,Not Active,0.25 mg,,"administered 48 hr post-infection, measured after 3 days",,Toxoplasma gondii RH infected Swiss albino mouse,False
CHEMBL2260647,COc1ccc2cc3c(/N=C/OC[C@@H](O)[C@H](O)[C@@H](O)C=O)n[nH]c3nc2c1,Activity,,,,CHEMBL3058231,Genotoxicity in Homo sapiens (human) MCF10A cells assessed as reduction of BP-DNA adduct formation at 100 uM after 24 hr by 32P-postlabeling technique,T,BAO_0000219,cell-based format,CHEMBL3046726,Scientific Literature,Med Chem Res,2008.0,Non-toxic,100 uM,,after 24 hr,,Homo sapiens MCF10A cells,False
CHEMBL2260646,Cc1ccc2cc3c(/N=C/OC[C@@H](O)[C@@H](O)[C@H](O)C=O)n[nH]c3nc2c1,Activity,,,,CHEMBL3058231,Genotoxicity in Homo sapiens (human) MCF10A cells assessed as reduction of BP-DNA adduct formation at 100 uM after 24 hr by 32P-postlabeling technique,T,BAO_0000219,cell-based format,CHEMBL3046726,Scientific Literature,Med Chem Res,2008.0,Non-toxic,100 uM,,after 24 hr,,Homo sapiens MCF10A cells,False
CHEMBL508049,CC(C)[C@@H]1NC(=O)CNC(=O)[C@@H]2CSC(=N2)[C@H](C(C)(C)O)OC(=O)C(C)(C)[C@H](CCCC(C)(Cl)Cl)OC(=O)c2csc1n2,Activity,,,,CHEMBL957777,Effect on actin cytoskeleton in rat kangaroo PtK2 cells assessed as thickening in microfilament at 1.0 uM after 24 hrs by immunofluorescence analysis relative to untreated control,F,BAO_0000219,cell-based format,CHEMBL1150591,Scientific Literature,J Nat Prod,2002.0,Active,,,,,,
CHEMBL585,Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,Activity,'>',40.0,um,CHEMBL1738021,"PUBCHEM_BIOASSAY: Late stage results from the probe development effort to identify inhibitors of the Janus kinase 2 mutant JAK2V617F. (Class of assay: screening) [Related pubchem assays (depositor defined):AID1446, AID1486, AID1520, AID1521, AID1691, AID1699, AID1797] Panel member name: irf1 Inhibition (Ba/F3 cells)",U,BAO_0000219,cell-based format,CHEMBL1201862,PubChem BioAssays,,,inactive,,,,,Ba/F3 cells,False
CHEMBL429926,CCCCCCCCCCCCCC(=O)N[C@H](C)[C@@H](O)c1ccccc1,Activity,,,,CHEMBL929628,Decrease in endogenous sphingosine level in human MCF7 cells upto 50 uM after 24 hrs,F,BAO_0000219,cell-based format,CHEMBL1143123,Scientific Literature,Bioorg Med Chem,2008.0,Active,,,,,,
CHEMBL411072,C[C@@H](NC(=O)CCCCCCCCCCCCCCC[n+]1ccccc1)[C@@H](O)c1ccccc1.[Br-],Activity,,,,CHEMBL929692,Increase in endogenous C14-ceramide level in human MCF7 cells after 24 hrs,F,BAO_0000219,cell-based format,CHEMBL1143123,Scientific Literature,Bioorg Med Chem,2008.0,Dose-dependent effect,,,,,,
CHEMBL273102,CCCCCCCCCCCCNC(=O)N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1,Activity,,,,CHEMBL929699,Increase in endogenous C16-ceramide level in human MCF7 cells at >25 uM after 24 hrs,F,BAO_0000219,cell-based format,CHEMBL1143123,Scientific Literature,Bioorg Med Chem,2008.0,Active,,,,,,
CHEMBL409541,CCCCCCCCCCCCCCN[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1.Cl,Activity,,,,CHEMBL930610,Decrease in endogenous sphingosine level in human MCF7 cells at 1 uM after 24 hrs,F,BAO_0000219,cell-based format,CHEMBL1143123,Scientific Literature,Bioorg Med Chem,2008.0,Active,,,,,,
CHEMBL272434,O=C(CCCCCCCCCCCCCCC[n+]1ccccc1)N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1.[Br-],Activity,,,,CHEMBL929721,Increase in endogenous sphingosine-1-phosphate level in human MCF7 cells after 5 to 10 hrs,F,BAO_0000219,cell-based format,CHEMBL1143123,Scientific Literature,Bioorg Med Chem,2008.0,Active,,,,,,
CHEMBL271145,CCCCCCCCCCCCCCN[C@H](C)[C@@H](O)c1ccccc1.Cl,Activity,,,,CHEMBL929761,Increase in endogenous C18-ceramide level in human MCF7 cells at 10 uM after 5 mins,F,BAO_0000219,cell-based format,CHEMBL1143123,Scientific Literature,Bioorg Med Chem,2008.0,Active,,,,,,
CHEMBL271145,CCCCCCCCCCCCCCN[C@H](C)[C@@H](O)c1ccccc1.Cl,Activity,,,,CHEMBL929763,Increase in endogenous C16-ceramide level in human MCF7 cells at 10 uM after 5 mins,F,BAO_0000219,cell-based format,CHEMBL1143123,Scientific Literature,Bioorg Med Chem,2008.0,Active,,,,,,
CHEMBL425055,CSC(=O)c1cccc2nnsc12,Activity,,,,CHEMBL3058556,Antifungal activity against Botryotinia fuckeliana infected grape assessed as decrease in lesion diameter at 3 mg/ml applied by dipping 24 hr prior to infection measured after 3 days at 4 degC relative to untreated-control,F,BAO_0000218,organism-based format,CHEMBL3045978,Scientific Literature,Pest Manag Sci,2010.0,Active,,,,,,
CHEMBL425055,CSC(=O)c1cccc2nnsc12,Activity,,,,CHEMBL3058557,Antifungal activity against Botryotinia fuckeliana infected grape assessed as decrease in lesion diameter at 3 mg/ml applied by dipping 24 hr prior to infection measured after 4 days at 4 degC relative to untreated-control,F,BAO_0000218,organism-based format,CHEMBL3045978,Scientific Literature,Pest Manag Sci,2010.0,Active,,,,,,
CHEMBL425055,CSC(=O)c1cccc2nnsc12,Activity,,,,CHEMBL3059066,Antifungal activity against Botryotinia fuckeliana infected grape assessed as decrease in lesion diameter at 3 mg/ml applied by dipping 24 hr prior to infection measured after 3 days at 24 degC relative to untreated-control,F,BAO_0000218,organism-based format,CHEMBL3045978,Scientific Literature,Pest Manag Sci,2010.0,Active,,,,,,
CHEMBL1632295,COC(=O)N/N=C/c1ccc2nonc2c1,Activity,,,,CHEMBL3082533,Stimulation of plant growth parameters in Triticum aestivum (wheat) assessed as increase in radicular weight at 50 mol/ha,F,BAO_0000218,organism-based format,CHEMBL3044699,Scientific Literature,J Agric Food Chem,2000.0,Active,50 mol/ha,,,,Triticum aestivum (wheat),False
CHEMBL2269588,NC(=S)N/N=C/c1c(-c2ccccc2)no[n+]1[O-],Activity,,,,CHEMBL3082534,Stimulation of plant growth parameters in Triticum aestivum (wheat) assessed as increase in aerial weight at 50 mol/ha,F,BAO_0000218,organism-based format,CHEMBL3044699,Scientific Literature,J Agric Food Chem,2000.0,Active,50 mol/ha,,,,Triticum aestivum (wheat),False
CHEMBL369573,Nc1nc(-c2ccccc2)c2c(n1)-c1ccccc1C2=O,Activity,,,,CHEMBL1113725,Mutagenic activity in Salmonella Typhimurium by Ames assay,T,BAO_0000019,assay format,CHEMBL1157891,Scientific Literature,Bioorg Med Chem Lett,2010.0,Non-toxic,,,,,Salmonella Typhimurium,True
CHEMBL1096998,Nc1nc(-c2ccc(Cl)cc2)c2c(n1)-c1ccccc1C2=O,Activity,,,,CHEMBL1113725,Mutagenic activity in Salmonella Typhimurium by Ames assay,T,BAO_0000019,assay format,CHEMBL1157891,Scientific Literature,Bioorg Med Chem Lett,2010.0,Non-toxic,,,,,Salmonella Typhimurium,True
CHEMBL401604,O=[N+]([O-])c1ccc(Nc2c([N+](=O)[O-])ccc3c2=NC2(CCCCC2)N=3)cc1,Activity,,,,CHEMBL931500,Inhibition of rate of migration of MDCK cells expressing endogenous levels of ARNO,F,BAO_0000219,cell-based format,CHEMBL1142234,Scientific Literature,Proc Natl Acad Sci U S A,2007.0,Active,,,,,,
CHEMBL401604,O=[N+]([O-])c1ccc(Nc2c([N+](=O)[O-])ccc3c2=NC2(CCCCC2)N=3)cc1,Activity,,,,CHEMBL931506,Inhibition of endogenous Arf activation in human HeLa cells,B,BAO_0000219,cell-based format,CHEMBL1142234,Scientific Literature,Proc Natl Acad Sci U S A,2007.0,Active,,,,,,
CHEMBL458102,O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Sc1ccc(Cl)cc1Cl,Activity,,,,CHEMBL1285731,Genotoxicity in Salmonella Typhimurium by Ames test,T,BAO_0000019,assay format,CHEMBL1275271,Scientific Literature,Eur J Med Chem,2010.0,Toxic,,,,,Salmonella Typhimurium,True
CHEMBL518534,COc1ccc(Sc2c([N+](=O)[O-])cc(C#N)cc2[N+](=O)[O-])cc1,Activity,,,,CHEMBL1285731,Genotoxicity in Salmonella Typhimurium by Ames test,T,BAO_0000019,assay format,CHEMBL1275271,Scientific Literature,Eur J Med Chem,2010.0,Toxic,,,,,Salmonella Typhimurium,True
CHEMBL1276609,N#Cc1cc([N+](=O)[O-])c(S(=O)(=O)Nc2cccc(F)c2)c([N+](=O)[O-])c1,Activity,,,,CHEMBL1285731,Genotoxicity in Salmonella Typhimurium by Ames test,T,BAO_0000019,assay format,CHEMBL1275271,Scientific Literature,Eur J Med Chem,2010.0,Toxic,,,,,Salmonella Typhimurium,True
CHEMBL1213031,Cc1cc(/C=C/c2cccc(C(=O)Oc3ccc(F)cc3)c2)cc(C)c1O,Activity,,,,CHEMBL1216904,Binding affinity to TTR K15A mutant tetramer in human plasma assessed as covalent chemoselective amide bond formation with residue-15 of TTR subunit at 7.2 uM after 18 hrs by RP-HPLC analysis,B,BAO_0000366,cell-free format,CHEMBL1212806,Scientific Literature,Nat Chem Biol,2010.0,Not Active,7.2 uM,,after 18 hrs,,TTR K15A mutant tetramer in human plasma,False
CHEMBL289785,Cc1cccc(NN2C(S)=NC(C)C2c2ccccc2)c1,Activity,,,,CHEMBL798332,Tested for activity against Maloney murine leukemia virus reverse transcriptase using endogenous RNA as the template at 1000 uM; NA means inactive,B,BAO_0000357,single protein format,CHEMBL1144865,Scientific Literature,J Med Chem,2003.0,Not Active,,,,,,
CHEMBL1213333,NS(=O)(=O)c1ccc(C(=O)NCCCCCNC(=O)c2cccc(S(=O)(=O)OCCOCCOCCNC(=O)CCCC[C@@H]3SC[C@@H]4NC(=O)N[C@@H]43)c2)cc1,Activity,,,,CHEMBL1220455,Binding affinity to endogenously expressed carbonic anhydrase2 in Slc:ICR mouse using anti-mouse CA2 antibody by Western blot analysis,B,BAO_0000357,single protein format,CHEMBL1212715,Scientific Literature,Nat Chem Biol,2009.0,Active,,,,,Cunninghamella bertholletiae infected neutropenic OF1 mouse,False
CHEMBL8,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,Activity,,,,CHEMBL916984,"Survival in BALB/c mouse infected with Bacillus anthracis Ames at 30 mg/kg, ip every 12 hrs for 14 days",F,BAO_0000218,organism-based format,CHEMBL1147119,Scientific Literature,Antimicrob Agents Chemother,2007.0,Active,,,,,,
CHEMBL1088375,CCCN(CCCNc1ccnc2cc(Cl)ccc12)Cc1ccccn1,Activity,,,,CHEMBL1117330,Mutagenic activity in Salmonella Typhimurium TA100 assessed as number of revertants after 48 hrs by Ames test,T,BAO_0000019,assay format,CHEMBL1157913,Scientific Literature,J Med Chem,2010.0,Non-toxic,,,48 hrs,,Salmonella Typhimurium TA100,True
CHEMBL486017,C[C@@H]1O[C@@H](O[C@H]2C(=O)c3c(O)cc(O)cc3O[C@@H]2c2ccc(O)c(O)c2)[C@H](O)[C@H](O)[C@H]1O,Activity,,,,CHEMBL1003428,Enhancement of norepinephrine-induced lipolysis in cell-free system consisting endogenous lipid droplets from Wistar rat fat cells assessed as free fatty acid release per mL of packed fat cells after 1 hr in presence of hormone-sensitive lipase,F,BAO_0000019,assay format,CHEMBL1150932,Scientific Literature,J Nat Prod,1998.0,Active,,,after 1 hr,,Pleuronectes americanus NHE1 TM4 mutant,False
CHEMBL574144,CC(NC1=C(F)C(=O)c2c(F)c(F)c(F)c(F)c2C1=O)SSC(C)NC1=C(F)C(=O)c2c(F)c(F)c(F)c(F)c2C1=O,Activity,,,,CHEMBL1036902,Antimutagenic activity in Salmonella Typhimurium TA102 assessed as inhibition of H2O2-induced mutagenesis at 0.05 to 0.25 ug/ml after 48 hrs by Ames test,F,BAO_0000218,organism-based format,CHEMBL1154684,Scientific Literature,Eur J Med Chem,2010.0,Active,0.05 to 0.25 ug/ml,,after 48 hrs,,Salmonella Typhimurium TA102,False
CHEMBL78188,O=C(O)Cc1ccccc1Nc1ccccc1,Activity,,,,CHEMBL1044216,Binding affinity to D22 ssDNA aptamer,B,BAO_0000225,nucleic acid format,CHEMBL1152509,Scientific Literature,Bioorg Med Chem,2009.0,Active,,,,,,
CHEMBL479316,C[C@H]1C=C(C=O)C(C=O)=C[C@@H]2CC(C)(C)C[C@@H]21,Activity,,,,CHEMBL1030054,Mutagenic activity in Salmonella TA 98 by microsome assay in presence of rat liver S9 fraction,T,BAO_0000218,organism-based format,CHEMBL1151648,Scientific Literature,J Nat Prod,1985.0,Not Active,,,,presence of rat liver S9 fraction,Salmonella TA 98,True
CHEMBL572324,N#Cc1cc(Cl)cc(Oc2cc(OCc3n[nH]c4nc(N)ccc34)cc(F)c2Cl)c1,Activity,,,,CHEMBL1038944,Genotoxicity in Salmonella Typhimurium strain FU100 assessed as increase in mutants by forward mutation assay,T,BAO_0000019,assay format,CHEMBL1156144,Scientific Literature,J Med Chem,2009.0,Not Active,,,,,,
CHEMBL7976,O=C(/C=C/c1ccccc1)c1ccccc1,Activity,,,,CHEMBL990771,Antifungal activity against Hansenula polymorpha 2a with cys1 genotype with cellular density of 10'9 cells/ml at 40 uM by agar dilution method,F,BAO_0000218,organism-based format,CHEMBL1158182,Scientific Literature,Eur J Med Chem,2008.0,Not Active,,,,,,
CHEMBL494931,O=C(O)Cn1c2ccc(Cl)cc2c2nc3ccccc3nc21,Activity,,,,CHEMBL1024889,Antiviral activity against Vaccinia virus WR in BSC1 cells assessed as retention of antiviral potency by measuring exogenous double stranded DNA trapping,F,BAO_0000218,organism-based format,CHEMBL1140145,Scientific Literature,J Med Chem,2008.0,Active,,,,,BSC1 cells,False
CHEMBL492887,Cc1cc(OC(=O)c2ccco2)nc(SCc2c(Cl)cccc2Cl)n1,Activity,,,,CHEMBL1024889,Antiviral activity against Vaccinia virus WR in BSC1 cells assessed as retention of antiviral potency by measuring exogenous double stranded DNA trapping,F,BAO_0000218,organism-based format,CHEMBL1140145,Scientific Literature,J Med Chem,2008.0,Active,,,,,BSC1 cells,False
CHEMBL492467,Cc1csc2c(N3CCN(C(=O)NC(C)(C)C)CC3)ncnc12,Activity,,,,CHEMBL1024889,Antiviral activity against Vaccinia virus WR in BSC1 cells assessed as retention of antiviral potency by measuring exogenous double stranded DNA trapping,F,BAO_0000218,organism-based format,CHEMBL1140145,Scientific Literature,J Med Chem,2008.0,Active,,,,,BSC1 cells,False
CHEMBL507828,CCN(CC)Cn1nc2c3c(cccc3c1=O)-c1ccccc1-2,Activity,,,,CHEMBL1024889,Antiviral activity against Vaccinia virus WR in BSC1 cells assessed as retention of antiviral potency by measuring exogenous double stranded DNA trapping,F,BAO_0000218,organism-based format,CHEMBL1140145,Scientific Literature,J Med Chem,2008.0,Not Active,,,,,BSC1 cells,False
CHEMBL503982,CC/C=C/C=C/C=C/C=C/C=O,Activity,,,,CHEMBL1023204,Mutagenic activity in aldehyde-sensitive Salmonella Typhimurium TA104 assessed as number of revertant colonies at 2500 ng/plate after 48 hrs by Ames assay,T,BAO_0000218,organism-based format,CHEMBL1137793,Scientific Literature,J Nat Prod,1987.0,Not Determined,,,,,,
CHEMBL503982,CC/C=C/C=C/C=C/C=C/C=O,Activity,,,,CHEMBL1023207,Mutagenic activity in aldehyde-sensitive Salmonella Typhimurium TA104 assessed as number of revertant colonies at 313 ng/plate after 48 hrs by Ames assay,T,BAO_0000218,organism-based format,CHEMBL1137793,Scientific Literature,J Nat Prod,1987.0,Not Determined,,,,,,
CHEMBL454514,CC/C=C/C=C/C=C/C=C/C=C/OC[C@@H](O)CO,Activity,,,,CHEMBL1034216,Mutagenic activity in Salmonella Typhimurium TA98 assessed as number of revertant colonies at 100000 ng/plate after 48 hrs by Ames assay,T,BAO_0000218,organism-based format,CHEMBL1137793,Scientific Literature,J Nat Prod,1987.0,Not Determined,100000 ng/plate,,after 48 hrs,,Salmonella Typhimurium TA98,True
CHEMBL450641,CC/C=C/C=C/C=C/C=C/OCC(O)CO,Activity,,,,CHEMBL1023171,Mutagenic activity in Salmonella Typhimurium TA98 assessed as number of revertant colonies at 156 ng/plate after 48 hrs by Ames assay,T,BAO_0000218,organism-based format,CHEMBL1137793,Scientific Literature,J Nat Prod,1987.0,Not Determined,156 ng/plate,,after 48 hrs,,Salmonella Typhimurium TA98,True
CHEMBL450641,CC/C=C/C=C/C=C/C=C/OCC(O)CO,Activity,,,,CHEMBL1023172,Mutagenic activity in Salmonella Typhimurium TA98 assessed as number of revertant colonies at 78 ng/plate after 48 hrs by Ames assay,T,BAO_0000218,organism-based format,CHEMBL1137793,Scientific Literature,J Nat Prod,1987.0,Not Determined,,,,,,
CHEMBL225703,COc1cc(-c2cc(=O)c3c(OC)c(OC)c(OC)c(OC)c3o2)ccc1O,Activity,,,,CHEMBL1001933,Antimutagenic activity in Salmonella Typhimurium TA1535 carrying pSK1002 containing umuC'-lacZ fused gene assessed as suppression of furyfuramide-induced SOS response to alteration in DNA synthesis measured by beta-galactosidase activity by Umu test,F,BAO_0000218,organism-based format,CHEMBL1148948,Scientific Literature,J Nat Prod,2004.0,Active,,,,,,
CHEMBL225703,COc1cc(-c2cc(=O)c3c(OC)c(OC)c(OC)c(OC)c3o2)ccc1O,Activity,,,,CHEMBL1001932,Antimutagenic activity in Salmonella Typhimurium TA1535 carrying pSK1002 containing umuC'-lacZ fused gene assessed as suppression of 0.1 j/M2 UV light-induced SOS response to alteration in DNA synthesis measured by beta-galactosidase activity by Umu test,F,BAO_0000218,organism-based format,CHEMBL1148948,Scientific Literature,J Nat Prod,2004.0,Active,,,,,Salmonella Typhimurium TA1535,False
CHEMBL76447,COc1ccc(-c2cc(=O)c3c(OC)c(OC)c(OC)c(OC)c3o2)cc1OC,Activity,,,,CHEMBL1001930,Antimutagenic activity in Salmonella Typhimurium TA1535 carrying pSK1002 containing umuC'-lacZ fused gene assessed as suppression of Trp-P-1-induced SOS response to alteration in DNA synthesis measured by beta-galactosidase activity by Umu test,F,BAO_0000218,organism-based format,CHEMBL1148948,Scientific Literature,J Nat Prod,2004.0,Active,,,,,Salmonella Typhimurium TA1535 carrying pSK1002,False
CHEMBL406819,O=[N+]([O-])/N=C1\NCCN1Cc1ccc(Cl)nc1,Activity,,,,CHEMBL3057364,Mutagenicity in Salmonella enterica subsp. enterica serovar Typhimurium,T,BAO_0000218,organism-based format,CHEMBL3046770,Scientific Literature,Biosci Biotechnol Biochem,1992.0,Non-toxic,,,,,Salmonella enterica subsp. enterica serovar Typhimurium,False
CHEMBL1089865,Cc1ccc(C(=O)NC2CC2)cc1-c1cc2cnn(-c3c(F)cccc3F)c2n(C)c1=O,Activity,,,,CHEMBL1104519,Mutagenic activity in Salmonella Typhimurium by Ames test,T,BAO_0000019,assay format,CHEMBL1156338,Scientific Literature,J Med Chem,2010.0,Non-toxic,,,,,Salmonella Typhimurium,True
