Smiles_unify,Smiles,value,source,ph,property
C[n+]1ccn(CCCN(Cc2ccccc2)S(=O)(=O)C(F)(F)F)c1/C=N/O,C[n+]1ccn(CCCN(Cc2ccccc2)S(=O)(=O)C(F)(F)F)c1/C=N/O.[Cl-],0.06,CHEMBL638183,7.4,logd
CC(=O)N1C2C=C(CN3CCC(Nc4ccc5cc(C(F)(F)F)ccc5n4)CC3)CC1CCC2,CC(=O)N1C2C=C(CN3CCC(Nc4ccc5cc(C(F)(F)F)ccc5n4)CC3)CC1CCC2,3.3,CHEMBL948054,7.4,logd
CC(=O)N1C2C=C(CN3CCC(Nc4ccc5ccccc5n4)CC3)CC1CCC2,CC(=O)N1C2C=C(CN3CCC(Nc4ccc5ccccc5n4)CC3)CC1CCC2,2.2,CHEMBL948054,7.4,logd
CC(C(=O)Nc1n[nH]c2cc(Cl)c(-c3ccccc3)cc12)N1CCCCC1,CC(C(=O)Nc1n[nH]c2cc(Cl)c(-c3ccccc3)cc12)N1CCCCC1,3.53,CHEMBL1111577,7.4,logd
CCCC(=O)Nc1n[nH]c2cc(-c3ccc(O)cc3)ccc12,CCCC(=O)Nc1n[nH]c2cc(-c3ccc(O)cc3)ccc12,3.7,CHEMBL1111577,7.4,logd
CCCC(=O)Nc1n[nH]c2cc(-c3ccc(O)cc3)c(Br)cc12,CCCC(=O)Nc1n[nH]c2cc(-c3ccc(O)cc3)c(Br)cc12,4.4,CHEMBL1111577,7.4,logd
CNCCC(=O)Nc1cccc(-c2cc(-c3ccc(F)cc3O)nc(NC(=O)c3ccco3)c2C#N)c1,CNCCC(=O)Nc1cccc(-c2cc(-c3ccc(F)cc3O)nc(NC(=O)c3ccco3)c2C#N)c1,2.13,CHEMBL1176772,7.4,logd
N#Cc1c(-c2cccc(NC(=O)C[C@@H]3CCCN3)c2)cc(-c2ccc(F)cc2O)nc1NC(=O)c1ccco1,N#Cc1c(-c2cccc(NC(=O)C[C@@H]3CCCN3)c2)cc(-c2ccc(F)cc2O)nc1NC(=O)c1ccco1,2.29,CHEMBL1176772,7.4,logd
NC12CCCC1Cc1ccccc12,NC12CCCC1Cc1ccccc12,-0.28,CHEMBL635474,7.4,logd
CC(C)N(Cc1ccccc1)C(=O)CN1C(=O)C(Nc2cccc(C(=O)O)c2)c2nnc(-c3ccccc3)n2-c2ccccc21,CC(C)N(Cc1ccccc1)C(=O)CN1C(=O)C(Nc2cccc(C(=O)O)c2)c2nnc(-c3ccccc3)n2-c2ccccc21,0.44,CHEMBL1273766,7.4,logd
CC(C)N(Cc1ccccc1)C(=O)CN1C(=O)C(Nc2ccccc2)c2nnc(-c3ccccc3)n2-c2ccccc21,CC(C)N(Cc1ccccc1)C(=O)CN1C(=O)C(Nc2ccccc2)c2nnc(-c3ccccc3)n2-c2ccccc21,2.82,CHEMBL1273766,7.4,logd
O=C([C@H](O)CS(=O)(=O)c1ccc2cc(Cl)ccc2c1)N1CCC(N2C[C@@H]3CCCN3C2=O)CC1,O=C([C@H](O)CS(=O)(=O)c1ccc2cc(Cl)ccc2c1)N1CCC(N2C[C@@H]3CCCN3C2=O)CC1,2.16,CHEMBL1111065,7.4,logd
CC(C)C[C@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1cn(C)cn1)NC(=O)[C@@H](CC(=O)N1CCOCC1)Cc1ccccc1,CC(C)C[C@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1cn(C)cn1)NC(=O)[C@@H](CC(=O)N1CCOCC1)Cc1ccccc1,3.71,CHEMBL858443,7.4,logd
COc1ccc(NC(=O)[C@H]2CN(S(C)(=O)=O)C[C@@H]2C(=O)Nc2ccc(-n3ccccc3=O)cc2F)cc1Cl,COc1ccc(NC(=O)[C@H]2CN(S(C)(=O)=O)C[C@@H]2C(=O)Nc2ccc(-n3ccccc3=O)cc2F)cc1Cl,1.9,CHEMBL1227181,7.4,logd
O=C(Nc1ccc(Cl)cc1)[C@H]1CN(CCO)C[C@@H]1C(=O)Nc1ccc(-n2ccccc2=O)cc1F,O=C(Nc1ccc(Cl)cc1)[C@H]1CN(CCO)C[C@@H]1C(=O)Nc1ccc(-n2ccccc2=O)cc1F,1.8,CHEMBL1227181,7.4,logd
Cc1cccc(N2CCN(CCCCCCN3CCN(c4ccccc4)CC3)CC2)c1,Cc1cccc(N2CCN(CCCCCCN3CCN(c4ccccc4)CC3)CC2)c1,3.53,CHEMBL1176246,7.4,logd
Cc1cccc(N2CCN(CCCCCCN3CCN(c4cccc(C)n4)CC3)CC2)c1,Cc1cccc(N2CCN(CCCCCCN3CCN(c4cccc(C)n4)CC3)CC2)c1,2.46,CHEMBL1176246,7.4,logd
CC[C@@H](C)NC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1cc2c3c(cn(CC)c3c1)CCS(=O)(=O)N2C,CC[C@@H](C)NC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1cc2c3c(cn(CC)c3c1)CCS(=O)(=O)N2C,1.08,CHEMBL730209,7.4,logd
COc1ccccc1Oc1ccccc1CN1CCC2(CC1)CCN(C(=O)c1cc[n+]([O-])cc1)CC2,COc1ccccc1Oc1ccccc1CN1CCC2(CC1)CCN(C(=O)c1cc[n+]([O-])cc1)CC2,0.5,CHEMBL1045842,7.4,logd
CC(=O)Nc1cc(-c2cncc(O)c2)nc(-n2nc(C)cc2C)n1,CC(=O)Nc1cc(-c2cncc(O)c2)nc(-n2nc(C)cc2C)n1,2.4,CHEMBL950441,7.4,logd
Cn1c2c(c(=O)n1Cc1ccccc1)CCNCC2,Cn1c2c(c(=O)n1Cc1ccccc1)CCNCC2,0.0,CHEMBL1041019,7.4,logd
CNC(=O)c1ccc(O[C@@H](C)C(=O)N2CCN(C(=O)c3ccccc3)C[C@H]2C)c(OC)c1,CNC(=O)c1ccc(O[C@@H](C)C(=O)N2CCN(C(=O)c3ccccc3)C[C@H]2C)c(OC)c1,1.0,CHEMBL1040983,7.4,logd
C[n+]1ccn(CCBr)c1/C=N/O,C[n+]1ccn(CCBr)c1/C=N/O.[Cl-],-2.44,CHEMBL638184,7.4,logd
Cc1[nH]c2ccc(Cl)cc2c(=O)c1Br,Cc1[nH]c2ccc(Cl)cc2c(=O)c1Br,2.02,CHEMBL1261029,7.4,logd
c1ccccc1,c1ccccc1,2.13,CHEMBL635962,7.4,logd
Cc1ccc(-c2c(C)c(CNC3CCCC3)nn2-c2ncccc2C(F)(F)F)cn1,Cc1ccc(-c2c(C)c(CNC3CCCC3)nn2-c2ncccc2C(F)(F)F)cn1,1.9,CHEMBL1007471,7.4,logd
Cc1ncc(-c2c(C)c(CNC3CCCC3)nn2-c2ncccc2Cl)cc1F,Cc1ncc(-c2c(C)c(CNC3CCCC3)nn2-c2ncccc2Cl)cc1F,2.1,CHEMBL1007471,7.4,logd
Cc1ncc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)n1C(C)C,Cc1ncc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)n1C(C)C,2.9,CHEMBL984729,7.4,logd
CCc1c(O)c(=O)ccn1CCCC(=O)O,CCc1c(O)c(=O)ccn1CCCC(=O)O,-1.38,CHEMBL638473,7.4,logd
N#Cc1ccccc1[C@@H]1Cc2nccn2C1,N#Cc1ccccc1[C@@H]1Cc2nccn2C1,1.3,CHEMBL970457,7.4,logd
c1ccc([C@H]2Cc3nccn3C2)c(-c2ncco2)c1,c1ccc([C@H]2Cc3nccn3C2)c(-c2ncco2)c1,2.2,CHEMBL970457,7.4,logd
CCC(c1ccncc1)n1[nH]c(=O)c2[nH]c3cc(Cl)ccc3c(=O)c2c1=O,CCC(c1ccncc1)n1[nH]c(=O)c2[nH]c3cc(Cl)ccc3c(=O)c2c1=O.CS(=O)(=O)O,0.6,CHEMBL889444,7.4,logd
CC(CS(C)(=O)=O)OCn1cc[n+](C)c1/C=N/O,CC(CS(C)(=O)=O)OCn1cc[n+](C)c1/C=N/O.[Cl-],-2.66,CHEMBL638183,7.4,logd
CC(CCC[N+](=O)[O-])OCn1cc[n+](C)c1/C=N/O,CC(CCC[N+](=O)[O-])OCn1cc[n+](C)c1/C=N/O.[Cl-],-2.11,CHEMBL638183,7.4,logd
O=C(NCCn1c(O)nc2ccccc21)OCc1cc2c(cc1Cl)OCO2,O=C(NCCn1c(O)nc2ccccc21)OCc1cc2c(cc1Cl)OCO2,3.2,CHEMBL646641,7.4,logd
COC(Cn1ccc(=O)c(O)c1C)OC,COC(Cn1ccc(=O)c(O)c1C)OC,-0.46,CHEMBL638473,7.4,logd
Cc1c(O)c(=O)ccn1C(CO)CO,Cc1c(O)c(=O)ccn1C(CO)CO,-3.3,CHEMBL636435,7.4,logd
CC(C)NCC(O)COc1cccc2ccccc12,CC(C)NCC(O)COc1cccc2ccccc12.Cl,1.4,CHEMBL638075,7.4,logd
O=c1c2c([nH]c3c(F)ccc(F)c13)CCCC2,O=c1c2c([nH]c3c(F)ccc(F)c13)CCCC2,1.3,CHEMBL1804800,7.4,logd
CNCCCN1c2ccccc2CCc2ccccc21,CNCCCN1c2ccccc2CCc2ccccc21.Cl,1.5,CHEMBL638075,7.4,logd
Brc1cccc(Br)c1N(CC1CC1)C1=NCCN1,Brc1cccc(Br)c1N(CC1CC1)C1=NCCN1,-1.12,CHEMBL640145,7.4,logd
Cc1ccc(C(=O)N(CC(=O)Nc2ncc(-c3ccc(N)cc3)s2)Cc2ccccc2)cn1,Cc1ccc(C(=O)N(CC(=O)Nc2ncc(-c3ccc(N)cc3)s2)Cc2ccccc2)cn1,3.4,CHEMBL2399059,7.4,logd
Cc1cc(Nc2ccc(C(C)C)cc2)n2ncnc2n1,Cc1cc(Nc2ccc(C(C)C)cc2)n2ncnc2n1,3.0,CHEMBL1785548,7.4,logd
Cc1cc(Nc2ccc3c(c2)OCO3)n2ncnc2n1,Cc1cc(Nc2ccc3c(c2)OCO3)n2ncnc2n1,1.6,CHEMBL1785548,7.4,logd
COc1ccc(C[C@H](NC(=O)N2CCN(C)CC2)C(=O)N[C@@H](Cc2cscn2)C(=O)N[C@@H](CC2CCCCC2)[C@@H](O)[C@@H](O)CC(C)C)cc1,COc1ccc(C[C@H](NC(=O)N2CCN(C)CC2)C(=O)N[C@@H](Cc2cscn2)C(=O)N[C@@H](CC2CCCCC2)[C@@H](O)[C@@H](O)CC(C)C)cc1,3.38,CHEMBL858443,7.4,logd
O=C(Nc1c[nH]nc1-c1nc2ccc(CN3CCOCC3)cc2[nH]1)NC1CC1,O=C(Nc1c[nH]nc1-c1nc2ccc(CN3CCOCC3)cc2[nH]1)NC1CC1,2.1,CHEMBL1009921,7.4,logd
CC(C)(C)c1ccc2[nH]c3c(c(=O)c2c1)CCCC3,CC(C)(C)c1ccc2[nH]c3c(c(=O)c2c1)CCCC3,2.8,CHEMBL1804800,7.4,logd
CC(=O)N(Cc1c[nH]cn1)c1ccc(-c2nc3ccccc3s2)cc1,CC(=O)N(Cc1c[nH]cn1)c1ccc(-c2nc3ccccc3s2)cc1,2.1,CHEMBL2448786,7.4,logd
CCN(Cc1c[nH]cn1)c1ccc(-c2ccc(F)cc2)cc1F,CCN(Cc1c[nH]cn1)c1ccc(-c2ccc(F)cc2)cc1F,3.4,CHEMBL2448786,7.4,logd
NCc1csc(NC(=O)c2ccon2)n1,NCc1csc(NC(=O)c2ccon2)n1,-0.1,CHEMBL1919567,7.4,logd
Cn1nc(C(C)(C)C)cc1C(=O)Nc1nc(CN)cs1,Cn1nc(C(C)(C)C)cc1C(=O)Nc1nc(CN)cs1,1.6,CHEMBL1919567,7.4,logd
COc1ccc(-c2cccn3nc(Nc4ccc(C(=O)O)cc4)nc23)cc1,COc1ccc(-c2cccn3nc(Nc4ccc(C(=O)O)cc4)nc23)cc1,1.01,CHEMBL2415825,7.4,logd
CCc1c(O)c(=O)ccn1CCO,CCc1c(O)c(=O)ccn1CCO,-0.66,CHEMBL638473,7.4,logd
Cc1c(O)c(=O)ccn1CCCC(=O)O,Cc1c(O)c(=O)ccn1CCCC(=O)O,-3.7,CHEMBL636435,7.4,logd
CNC[C@@H]1CC[C@@]2(NC)c3ccccc3C[C@H]2C1,CNC[C@@H]1CC[C@@]2(NC)c3ccccc3C[C@H]2C1,-2.65,CHEMBL635474,7.4,logd
Cc1cc(COc2cc(F)c(F)c(F)c2)nc(-c2ccccn2)n1,Cc1cc(COc2cc(F)c(F)c(F)c2)nc(-c2ccccn2)n1,3.4,CHEMBL3744106,7.4,logd
COC1(COc2cc(COc3ccc(F)c(F)c3F)nc(-c3ccccn3)n2)COC1,COC1(COc2cc(COc3ccc(F)c(F)c3F)nc(-c3ccccn3)n2)COC1,3.5,CHEMBL3744106,7.4,logd
CC(Oc1cccc(C(=O)N(C)C)c1)C(=O)N1CCN(C(=O)c2ccccc2)C[C@H]1C,CC(Oc1cccc(C(=O)N(C)C)c1)C(=O)N1CCN(C(=O)c2ccccc2)C[C@H]1C,1.0,CHEMBL1040983,7.4,logd
Cc1cc(Nc2ccc(C(F)(F)F)cc2)n2ncnc2n1,Cc1cc(Nc2ccc(C(F)(F)F)cc2)n2ncnc2n1,2.5,CHEMBL1785548,7.4,logd
CCN(CC)CC(=O)NC1CCc2ccccc21,CCN(CC)CC(=O)NC1CCc2ccccc21.Cl,1.881,CHEMBL876503,7.4,logd
NCC(=O)NC[C@H]1CC[C@]2(CC1)OO[C@]1(O2)C2CC3CC(C2)CC1C3,CS(=O)(=O)O.NCC(=O)NC[C@H]1CC[C@]2(CC1)OO[C@]1(O2)C2CC3CC(C2)CC1C3,3.4,CHEMBL1050358,7.4,logd
CN1CCN(C(=O)NC[C@H]2CC[C@]3(CC2)OO[C@]2(O3)C3CC4CC(C3)CC2C4)CC1,CN1CCN(C(=O)NC[C@H]2CC[C@]3(CC2)OO[C@]2(O3)C3CC4CC(C3)CC2C4)CC1,4.5,CHEMBL1050358,7.4,logd
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)CC3OC1CC(N2CCOCC2)C(O)C(C)O1,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)CC3OC1CC(N2CCOCC2)C(O)C(C)O1.Cl,2.31,CHEMBL858438,7.4,logd
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,3.167,CHEMBL634288,7.4,logd
COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341,0.23,CHEMBL631377,7.4,logd
COc1cc2c(cc1OC)CN(CCCNC(=O)c1cc(C)ccc1OC)CC2,COc1cc2c(cc1OC)CN(CCCNC(=O)c1cc(C)ccc1OC)CC2.Cl,2.7,CHEMBL1831597,7.4,logd
Cc1cccc2[nH]c3c(c(=O)c12)CCCC3,Cc1cccc2[nH]c3c(c(=O)c12)CCCC3,2.1,CHEMBL1804800,7.4,logd
Cc1ccc2c(=O)c3c([nH]c2c1)CCC(C)(C)C3,Cc1ccc2c(=O)c3c([nH]c2c1)CCC(C)(C)C3,2.4,CHEMBL1804800,7.4,logd
CCCC(CC1(C(=O)NC2(CO)Cc3ccccc3C2)CCCC1)C(=O)O,CCCC(CC1(C(=O)NC2(CO)Cc3ccccc3C2)CCCC1)C(=O)O,1.1,CHEMBL862882,7.4,logd
Oc1nc2c(O)ccc(CCNCCCOCCSCCc3ccccc3)c2s1,Oc1nc2c(O)ccc(CCNCCCOCCSCCc3ccccc3)c2s1,1.73,CHEMBL635924,7.4,logd
C[C@@H](Cc1ccccc1)OCCCS(=O)(=O)CCNCCc1ccc(O)c2nc(O)sc12,C[C@@H](Cc1ccccc1)OCCCS(=O)(=O)CCNCCc1ccc(O)c2nc(O)sc12,1.81,CHEMBL635924,7.4,logd
O=S(=O)(c1cc(Cl)c(F)c(Cl)c1)N1[C@H](CO)CC[C@@H]1c1ccc(F)cc1,O=S(=O)(c1cc(Cl)c(F)c(Cl)c1)N1[C@H](CO)CC[C@@H]1c1ccc(F)cc1,3.8,CHEMBL3757220,7.4,logd
Cc1cc(S(=O)(=O)N2[C@H](CO)CC[C@@H]2c2ccc(F)cc2)cc(Cl)c1F,Cc1cc(S(=O)(=O)N2[C@H](CO)CC[C@@H]2c2ccc(F)cc2)cc(Cl)c1F,3.6,CHEMBL3757220,7.4,logd
CCc1nc(N)nc(N)c1-c1ccc(Cl)c(Cl)c1,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(Cl)c1,2.93,CHEMBL635477,7.4,logd
Cc1nc2cc3ccccc3cc2c(=O)o1,Cc1nc2cc3ccccc3cc2c(=O)o1,2.8,CHEMBL638078,7.4,logd
O=C(NCCCl)N(C1CCCCC1)C1CC1,O=C(NCCCl)N(C1CCCCC1)C1CC1,3.2,CHEMBL628291,7.4,logd
N#Cc1ccc(C(=O)c2c[nH]c3ncc(-c4cnn(C5CCNCC5)c4)cc23)c(Cl)c1,N#Cc1ccc(C(=O)c2c[nH]c3ncc(-c4cnn(C5CCNCC5)c4)cc23)c(Cl)c1,1.2,CHEMBL3598615,7.4,logd
C[C@@H]1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@H](C)N1,C[C@@H]1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@H](C)N1,-0.02,CHEMBL827011,7.4,logd
O=C(O)CCCOc1cccc(CCCCCCOc2cc(-c3ccccc3)cc(-c3ccccc3)c2)c1CCC(=O)O,O=C(O)CCCOc1cccc(CCCCCCOc2cc(-c3ccccc3)cc(-c3ccccc3)c2)c1CCC(=O)O,0.7,CHEMBL1107476,7.4,logd
Cc1cn([C@H]2CCCN(Cc3ccc(C(=O)O)c(Oc4cccc(F)c4)c3)C2)c(=O)[nH]c1=O,Cc1cn([C@H]2CCCN(Cc3ccc(C(=O)O)c(Oc4cccc(F)c4)c3)C2)c(=O)[nH]c1=O,-1.0,CHEMBL2188813,7.4,logd
CCO/N=C1/C=C(C#Cc2ccccn2)CCC1F,CCO/N=C1/C=C(C#Cc2ccccn2)CCC1F,2.1,CHEMBL2166828,7.4,logd
C[C@@H]1CN(c2cc(=O)c3cc(C(=O)N4CCOCC4)cc(CN4CCOc5c(F)cccc54)c3o2)CCO1,C[C@@H]1CN(c2cc(=O)c3cc(C(=O)N4CCOCC4)cc(CN4CCOc5c(F)cccc54)c3o2)CCO1,1.8,CHEMBL3802890,7.4,logd
C[C@@H]1CN(c2cc(=O)c3cc(C(=O)N4CCOCC4)cc(CN4CCOc5ccc(F)cc54)c3o2)CCO1,C[C@@H]1CN(c2cc(=O)c3cc(C(=O)N4CCOCC4)cc(CN4CCOc5ccc(F)cc54)c3o2)CCO1,2.0,CHEMBL3802890,7.4,logd
N#Cc1c(=O)c2sc3cc(F)ccc3c2n2c1[nH]c1ccccc12,N#Cc1c(=O)c2sc3cc(F)ccc3c2n2c1[nH]c1ccccc12,3.2,CHEMBL3878277,7.4,logd
N#Cc1c(Cl)c2ccc(F)cc2n2c1nc1ccccc12,N#Cc1c(Cl)c2ccc(F)cc2n2c1nc1ccccc12,6.05,CHEMBL3878277,7.4,logd
C[C@@H](O)[C@@H]1NC(=O)[C@H](CCCCN)NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H](NC(=O)[C@@H](Cc2ccccc2)NC(=O)CCCCCn2cc(CO)nn2)CSSC[C@@H](C(=O)N[C@H](CO)[C@@H](C)O)NC1=O,C[C@@H](O)[C@@H]1NC(=O)[C@H](CCCCN)NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H](NC(=O)[C@@H](Cc2ccccc2)NC(=O)CCCCCn2cc(CO)nn2)CSSC[C@@H](C(=O)N[C@H](CO)[C@@H](C)O)NC1=O,-3.59,CHEMBL1115662,7.4,logd
CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,-2.52,CHEMBL635477,7.4,logd
c1ccc(N2CCN(CCCCCCN3CCN(c4ccccn4)CC3)CC2)nc1,c1ccc(N2CCN(CCCCCCN3CCN(c4ccccn4)CC3)CC2)nc1,1.33,CHEMBL1176246,7.4,logd
CCCCCCCO[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O,CCCCCCCO[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O,1.65,CHEMBL1805240,7.4,logd
Nc1nc(O)c2nc(N)n(Cc3ccccc3)c2n1,Nc1nc(O)c2nc(N)n(Cc3ccccc3)c2n1,0.58,CHEMBL633736,7.4,logd
CC(C)NCC(O)COc1cccc2cccc(O)c12,CC(C)NCC(O)COc1cccc2cccc(O)c12,1.4,CHEMBL635959,7.4,logd
COc1cc2[nH]c(C)cc(=O)c2cc1Cl,COc1cc2[nH]c(C)cc(=O)c2cc1Cl,1.95,CHEMBL1261029,7.4,logd
Cc1[nH]c2c(Cl)cccc2c(=O)c1-c1ccccc1,Cc1[nH]c2c(Cl)cccc2c(=O)c1-c1ccccc1,2.6,CHEMBL1261029,7.4,logd
C[n+]1ccn(CCCNS(=O)(=O)c2ccccc2)c1/C=N/O,C[n+]1ccn(CCCNS(=O)(=O)c2ccccc2)c1/C=N/O.[Cl-],-1.89,CHEMBL638183,7.4,logd
CCNc1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNCc2cccc(C(F)(F)F)c2)c(F)c(N2CCCC2=O)c1,CCNc1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNCc2cccc(C(F)(F)F)c2)c(F)c(N2CCCC2=O)c1,2.98,CHEMBL1036833,7.4,logd
COC12[C@@H]3N[C@@H]3CN1C1=C(C(=O)C(Nc3ccc(S(N)(=O)=O)cc3)=C(C)C1=O)[C@@H]2COC(N)=O,COC12[C@@H]3N[C@@H]3CN1C1=C(C(=O)C(Nc3ccc(S(N)(=O)=O)cc3)=C(C)C1=O)[C@@H]2COC(N)=O,-0.52,CHEMBL632433,7.4,logd
C[n+]1ccn(CCNS(=O)(=O)C(F)(F)F)c1/C=N/O,C[n+]1ccn(CCNS(=O)(=O)C(F)(F)F)c1/C=N/O.[Cl-],-1.2,CHEMBL638183,7.4,logd
