Smiles_unify,Smiles,value,source,property,cell_type,s9
CCCC[C@@H](CC)COC(=O)c1ccc(N(C)C)c([N+](=O)[O-])c1,CCCC[C@@H](CC)COC(=O)c1ccc(N(C)C)c([N+](=O)[O-])c1,1,Benchmark,ames,,-1
NC(CCC(=O)NC(CSC(=O)NCCCl)C(=O)NCC(=O)O)C(=O)O,NC(CCC(=O)NC(CSC(=O)NCCCl)C(=O)NCC(=O)O)C(=O)O,1,Benchmark,ames,,-1
O=[N+]([O-])c1ccccc1SS/C(Cl)=C(\Cl)C(Cl)=C(Cl)Cl,O=[N+]([O-])c1ccccc1SS/C(Cl)=C(\Cl)C(Cl)=C(Cl)Cl,1,Benchmark,ames,,-1
Nc1ccc2ccc3ccccc3c2c1,Nc1ccc2ccc3ccccc3c2c1,1,Benchmark,ames,,-1
O=C1N(CO)[C@H](O)[C@@H](O)N1CO,O=C1N(CO)[C@H](O)[C@@H](O)N1CO,1,Benchmark,ames,,-1
Oc1ccc2c3ccccc3c3cc4ccccc4cc3c2c1,Oc1ccc2c3ccccc3c3cc4ccccc4cc3c2c1,1,Benchmark,ames,,-1
O=[N+]([O-])c1ccc2ccc3ccc([N+](=O)[O-])c4ccc1c2c34,O=[N+]([O-])c1ccc2ccc3ccc([N+](=O)[O-])c4ccc1c2c34,1,Benchmark,ames,,-1
Nc1cccc2nc3ccccc3c(N)c12,Nc1cccc2nc3ccccc3c(N)c12,1,Benchmark,ames,,-1
C[n+]1c2ccccc2nc2ccccc21,C[n+]1c2ccccc2nc2ccccc21,1,Benchmark,ames,,-1
CC(C)(N=O)[N+](=O)[O-],CC(C)(N=O)[N+](=O)[O-],1,Benchmark,ames,,-1
CCOP(=O)(OCC)[C@@H](C)NC(=O)N(CCCl)N=O,CCOP(=O)(OCC)[C@@H](C)NC(=O)N(CCCl)N=O,1,Benchmark,ames,,-1
O=C(O)c1ccc(/C=N/n2nnc3c4ccccc4nc-3c2O)cc1,O=C(O)c1ccc(/C=N/n2nnc3c4ccccc4nc-3c2O)cc1,1,Benchmark,ames,,-1
Nc1cccc(-c2ccccc2)c1,Nc1cccc(-c2ccccc2)c1,1,Benchmark,ames,,-1
O=[N+]([O-])c1ccc2c(c1)Cc1ccccc1-2,O=[N+]([O-])c1ccc2c(c1)Cc1ccccc1-2,1,Benchmark,ames,,-1
COc1cc2c(cc1OC)CN(N=O)CC2,COc1cc2c(cc1OC)CN(N=O)CC2,1,Benchmark,ames,,-1
O=c1c2c(O)cccc2oc2c3c(cc(O)c12)O[C@@H]1OC=C[C@@H]31,O=c1c2c(O)cccc2oc2c3c(cc(O)c12)O[C@@H]1OC=C[C@@H]31,1,Benchmark,ames,,-1
Cc1c(/C=N/OCc2cccc([N+](=O)[O-])c2)c2cc([N+](=O)[O-])ccc2n1Cc1ccccc1,Cc1c(/C=N/OCc2cccc([N+](=O)[O-])c2)c2cc([N+](=O)[O-])ccc2n1Cc1ccccc1,1,Benchmark,ames,,-1
CC(C)OS(C)(=O)=O,CC(C)OS(C)(=O)=O,1,Benchmark,ames,,-1
O=C1c2ccc3ccccc3c2-c2c1ccc1ccccc21,O=C1c2ccc3ccccc3c2-c2c1ccc1ccccc21,1,Benchmark,ames,,-1
O=S(c1cc(Cl)cc(Cl)c1O)c1cc(Cl)cc(Cl)c1O,O=S(c1cc(Cl)cc(Cl)c1O)c1cc(Cl)cc(Cl)c1O,1,Benchmark,ames,,-1
c1ccc2c3c4c(cc5ccccc5c4cc2c1)[C@@H]1O[C@H]31,c1ccc2c3c4c(cc5ccccc5c4cc2c1)[C@@H]1O[C@H]31,1,Benchmark,ames,,-1
O=[N+]([O-])c1cc2ccc3cc4ccccc4c4ccc(c1)c2c34,O=[N+]([O-])c1cc2ccc3cc4ccccc4c4ccc(c1)c2c34,1,Benchmark,ames,,-1
C=C/C1=C/C(C)C(C)(OC(C)=O)C(=O)OCC2=CC[N+]3(C)CCC(OC1=O)C23O,C=C/C1=C/C(C)C(C)(OC(C)=O)C(=O)OCC2=CC[N+]3(C)CCC(OC1=O)C23O,1,Benchmark,ames,,-1
CCN(CC)c1ccc2nc3ccc(N(CC)CC)cc3[o+]c2c1,CCN(CC)c1ccc2nc3ccc(N(CC)CC)cc3[o+]c2c1,1,Benchmark,ames,,-1
COc1ccc(N(CCCl)CCCl)c2cc([N+](=O)[O-])oc12,COc1ccc(N(CCCl)CCCl)c2cc([N+](=O)[O-])oc12,1,Benchmark,ames,,-1
O=Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],O=Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],1,Benchmark,ames,,-1
ClC(COCC(Cl)C(Cl)(Cl)Cl)C(Cl)(Cl)Cl,ClC(COCC(Cl)C(Cl)(Cl)Cl)C(Cl)(Cl)Cl,1,Benchmark,ames,,-1
CCN(CC)CCn1nc2c3c(c(CO)ccc31)Sc1cc(Cl)ccc1-2,CCN(CC)CCn1nc2c3c(c(CO)ccc31)Sc1cc(Cl)ccc1-2,1,Benchmark,ames,,-1
CC(=O)OCc1c2cccc3ccc4cc5cccc6ccc1c(c65)c4c32,CC(=O)OCc1c2cccc3ccc4cc5cccc6ccc1c(c65)c4c32,1,Benchmark,ames,,-1
OC1C=Cc2c(c3cc4ccccc4cc3c3ccccc23)C1O,OC1C=Cc2c(c3cc4ccccc4cc3c3ccccc23)C1O,1,Benchmark,ames,,-1
Nc1cccc([N+](=O)[O-])c1,Nc1cccc([N+](=O)[O-])c1,1,Benchmark,ames,,-1
Cn1cnc2ccc([N+](=O)[O-])cc21,Cn1cnc2ccc([N+](=O)[O-])cc21,1,Benchmark,ames,,-1
O=[N+]([O-])C1=Cc2c3c1cccc3cc1ccc3ccccc3c21,O=[N+]([O-])C1=Cc2c3c1cccc3cc1ccc3ccccc3c21,1,Benchmark,ames,,-1
Nc1ccc2nc3ccccc3c(N)c2c1,Nc1ccc2nc3ccccc3c(N)c2c1,1,Benchmark,ames,,-1
O=[N+]([O-])c1ccc2[nH]cnc2c1,O=[N+]([O-])c1ccc2[nH]cnc2c1,1,Benchmark,ames,,-1
O=Cc1ccccc1[N+](=O)[O-],O=Cc1ccccc1[N+](=O)[O-],1,Benchmark,ames,,-1
N#Cc1cccc2c([N+](=O)[O-])cccc12,N#Cc1cccc2c([N+](=O)[O-])cccc12,1,Benchmark,ames,,-1
c1ccc(-c2ccc(CC3CO3)cc2)cc1,c1ccc(-c2ccc(CC3CO3)cc2)cc1,1,Benchmark,ames,,-1
ClCCNCCCNc1c2ccccc2nc2c1ccc1cccnc12,ClCCNCCCNc1c2ccccc2nc2c1ccc1cccnc12,1,Benchmark,ames,,-1
COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccc(N=[N+]=[N-])cc2nc2c(C)cccc12,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccc(N=[N+]=[N-])cc2nc2c(C)cccc12,1,Benchmark,ames,,-1
CC1(c2ccccc2)CO1,CC1(c2ccccc2)CO1,1,Benchmark,ames,,-1
C[N+](C)(C)CC1CO1,C[N+](C)(C)CC1CO1,1,Benchmark,ames,,-1
O=c1ccc2cc3c4c(c2o1)CCCN4CCC3,O=c1ccc2cc3c4c(c2o1)CCCN4CCC3,1,Benchmark,ames,,-1
ClCc1cc2c3c(cccc3c1)-c1ccccc1-2,ClCc1cc2c3c(cccc3c1)-c1ccccc1-2,1,Benchmark,ames,,-1
Nc1ccc2cc(S(=O)(=O)O)cc(O)c2c1N=Nc1ccc(-c2ccc(N=Nc3c(N)ccc4cc(S(=O)(=O)O)cc(O)c34)cc2)cc1,Nc1ccc2cc(S(=O)(=O)O)cc(O)c2c1N=Nc1ccc(-c2ccc(N=Nc3c(N)ccc4cc(S(=O)(=O)O)cc(O)c34)cc2)cc1,1,Benchmark,ames,,-1
CC[n+]1c(-c2ccccc2)c2cc(N)ccc2c2ccc(N)cc21,CC[n+]1c(-c2ccccc2)c2cc(N)ccc2c2ccc(N)cc21,1,Benchmark,ames,,-1
O=[N+]([O-])c1cc2cccc([N+](=O)[O-])c2c2ccccc12,O=[N+]([O-])c1cc2cccc([N+](=O)[O-])c2c2ccccc12,1,Benchmark,ames,,-1
O=S(=O)(O)Oc1ccc2ccc3cc4ccccc4c4ccc1c2c34,O=S(=O)(O)Oc1ccc2ccc3cc4ccccc4c4ccc1c2c34,1,Benchmark,ames,,-1
Nc1ccc2snc(Cl)c2c1,Nc1ccc2snc(Cl)c2c1,1,Benchmark,ames,,-1
Cc1ccc([N+]#N)cc1,Cc1ccc([N+]#N)cc1,1,Benchmark,ames,,-1
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3O,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3O,1,Benchmark,ames,,-1
O=C(O)CI,O=C(O)CI,1,Benchmark,ames,,-1
Nc1ccc(O)c2c1C(=O)c1c(O)ccc(N)c1C2=O,Nc1ccc(O)c2c1C(=O)c1c(O)ccc(N)c1C2=O,1,Benchmark,ames,,-1
CC(=O)ON(C(C)=O)c1ccc(Sc2ccccc2)cc1,CC(=O)ON(C(C)=O)c1ccc(Sc2ccccc2)cc1,1,Benchmark,ames,,-1
O=[N+]([O-])c1ccccc1SSC(Cl)=C(Cl)Cl,O=[N+]([O-])c1ccccc1SSC(Cl)=C(Cl)Cl,1,Benchmark,ames,,-1
BrCCCCBr,BrCCCCBr,1,Benchmark,ames,,-1
CCC12OC1O2,CCC12OC1O2,1,Benchmark,ames,,-1
Cc1c([N+](=O)[O-])c2ccccc2c2ccc3ccccc3c12,Cc1c([N+](=O)[O-])c2ccccc2c2ccc3ccccc3c12,1,Benchmark,ames,,-1
CCc1cccc(CC)c1N=O,CCc1cccc(CC)c1N=O,1,Benchmark,ames,,-1
CCCCCCCCCC(=O)/N=c1\sn(C(=O)CCCCCCCCC)c2ccc([N+](=O)[O-])cc12,CCCCCCCCCC(=O)/N=c1\sn(C(=O)CCCCCCCCC)c2ccc([N+](=O)[O-])cc12,1,Benchmark,ames,,-1
NC(CCC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)O,NC(CCC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)O,1,Benchmark,ames,,-1
C1=C[C@@H]2O[C@@H]2c2ncccc21,C1=C[C@@H]2O[C@@H]2c2ncccc21,1,Benchmark,ames,,-1
COc1cc(OC)c2nc3occc3c(OC)c2c1,COc1cc(OC)c2nc3occc3c(OC)c2c1,1,Benchmark,ames,,-1
Cc1ccc2[nH]c3c(C)ccc(C)c3c2c1,Cc1ccc2[nH]c3c(C)ccc(C)c3c2c1,1,Benchmark,ames,,-1
CC(N)(CN=[N+]=[N-])C(=O)O,CC(N)(CN=[N+]=[N-])C(=O)O,1,Benchmark,ames,,-1
C1=C[C@@H]2O[C@@H]2C=C1,C1=C[C@@H]2O[C@@H]2C=C1,1,Benchmark,ames,,-1
O=C1OCC(C(Br)Br)=C1Cl,O=C1OCC(C(Br)Br)=C1Cl,1,Benchmark,ames,,-1
CCCC/C=C/C=C/C=C/C=C/C=C/OCC(O)CO,CCCC/C=C/C=C/C=C/C=C/C=C/OCC(O)CO,1,Benchmark,ames,,-1
Cc1cc2ccccc2c2cc([N+](=O)[O-])c3ccccc3c12,Cc1cc2ccccc2c2cc([N+](=O)[O-])c3ccccc3c12,1,Benchmark,ames,,-1
COc1cccc(CN2C3c4ccccc4-c4ccccc4C32)c1,COc1cccc(CN2C3c4ccccc4-c4ccccc4C32)c1,1,Benchmark,ames,,-1
C/C=C\C=C/C=O,C/C=C\C=C/C=O,1,Benchmark,ames,,-1
CC(=O)O[C@@H]1Cc2c3ccc4ccccc4c3cc3ccc(C)c1c23,CC(=O)O[C@@H]1Cc2c3ccc4ccccc4c3cc3ccc(C)c1c23,1,Benchmark,ames,,-1
CC(=O)OCc1cc(C(C)=O)ccc1OC(C)=O,CC(=O)OCc1cc(C(C)=O)ccc1OC(C)=O,1,Benchmark,ames,,-1
NC(=O)N(CCC(=O)O)N=O,NC(=O)N(CCC(=O)O)N=O,1,Benchmark,ames,,-1
N#Cc1ccc(/C=C/c2ccc(N)cc2)cc1,N#Cc1ccc(/C=C/c2ccc(N)cc2)cc1,1,Benchmark,ames,,-1
CN1CC(O)c2cc3c(c4c2C1Cc1ccccc1-4)OCO3,CN1CC(O)c2cc3c(c4c2C1Cc1ccccc1-4)OCO3,1,Benchmark,ames,,-1
CCCCON(OC(C)=O)C(=O)c1ccc(C)cc1,CCCCON(OC(C)=O)C(=O)c1ccc(C)cc1,1,Benchmark,ames,,-1
Cc1cccn2c1nc1ccc(NO)nc12,Cc1cccn2c1nc1ccc(NO)nc12,1,Benchmark,ames,,-1
Nc1ccc2c(c1)-c1cccc3cccc-2c13,Nc1ccc2c(c1)-c1cccc3cccc-2c13,1,Benchmark,ames,,-1
c1cnc2c(c1)ccc1c2ccc2cccnc21,c1cnc2c(c1)ccc1c2ccc2cccnc21,1,Benchmark,ames,,-1
CCCN(C(=O)CCCl)c1snc2ccccc12,CCCN(C(=O)CCCl)c1snc2ccccc12,1,Benchmark,ames,,-1
Nc1ncc([N+](=O)[O-])s1,Nc1ncc([N+](=O)[O-])s1,1,Benchmark,ames,,-1
ClC(Cl)(Cl)Br,ClC(Cl)(Cl)Br,1,Benchmark,ames,,-1
O=[N+]([O-])c1cccc(-c2ccc([N+](=O)[O-])cc2[N+](=O)[O-])c1,O=[N+]([O-])c1cccc(-c2ccc([N+](=O)[O-])cc2[N+](=O)[O-])c1,1,Benchmark,ames,,-1
CN(C)CCNC(=O)c1cccc2nc3ccccc3nc12,CN(C)CCNC(=O)c1cccc2nc3ccccc3nc12,1,Benchmark,ames,,-1
C/C(Cl)=C\C=O,C/C(Cl)=C\C=O,1,Benchmark,ames,,-1
CN(C)CCNC(=O)c1cccc2ncc(-c3ccccc3)nc12,CN(C)CCNC(=O)c1cccc2ncc(-c3ccccc3)nc12,1,Benchmark,ames,,-1
O=Cc1ccc([N+](=O)[O-])o1,O=Cc1ccc([N+](=O)[O-])o1,1,Benchmark,ames,,-1
CC12CCC=C(C=O)C1(C=O)C2,CC12CCC=C(C=O)C1(C=O)C2,1,Benchmark,ames,,-1
OC1C=Cc2c(ccc3c2sc2ccccc23)C1O,OC1C=Cc2c(ccc3c2sc2ccccc23)C1O,1,Benchmark,ames,,-1
COc1c(O)c2c(c3oc(=O)c4c(c13)CCC4=O)C1C=COC1O2,COc1c(O)c2c(c3oc(=O)c4c(c13)CCC4=O)C1C=COC1O2,1,Benchmark,ames,,-1
Fc1ccc2cc3c(cc2c1)-c1cccc2cccc-3c12,Fc1ccc2cc3c(cc2c1)-c1cccc2cccc-3c12,1,Benchmark,ames,,-1
COP(=O)(OC)[C@H](O)C(Cl)(Cl)Cl,COP(=O)(OC)[C@H](O)C(Cl)(Cl)Cl,1,Benchmark,ames,,-1
O=C1OCCN1/N=C/c1ccc([N+](=O)[O-])o1,O=C1OCCN1/N=C/c1ccc([N+](=O)[O-])o1,1,Benchmark,ames,,-1
Nc1cc(Cl)cc(C(=O)O)c1Cl,Nc1cc(Cl)cc(C(=O)O)c1Cl,1,Benchmark,ames,,-1
O=C(Cl)c1c(Cl)cccc1Cl,O=C(Cl)c1c(Cl)cccc1Cl,1,Benchmark,ames,,-1
O=[N+]([O-])c1ccc(Oc2c(Cl)cc(Cl)cc2Cl)cc1,O=[N+]([O-])c1ccc(Oc2c(Cl)cc(Cl)cc2Cl)cc1,1,Benchmark,ames,,-1
CC(=O)C1c2cccc(O)c2C(=O)c2c(O)cccc21,CC(=O)C1c2cccc(O)c2C(=O)c2c(O)cccc21,1,Benchmark,ames,,-1
Clc1ccccn1,Clc1ccccn1,1,Benchmark,ames,,-1
CC(=O)O[C@@H](C)CN(C[C@H](C)OC(C)=O)N=O,CC(=O)O[C@@H](C)CN(C[C@H](C)OC(C)=O)N=O,1,Benchmark,ames,,-1
O=[N+]([O-])c1ccc2ccc3ccc([N+](=O)[O-])c4c5c(c1c2c34)CCCC5,O=[N+]([O-])c1ccc2ccc3ccc([N+](=O)[O-])c4c5c(c1c2c34)CCCC5,1,Benchmark,ames,,-1
ClCc1cnc(Cl)nc1Cl,ClCc1cnc(Cl)nc1Cl,1,Benchmark,ames,,-1
CCC1=C(O)C(=O)c2c(O)c(O)c(O)c(O)c2C1=O,CCC1=C(O)C(=O)c2c(O)c(O)c(O)c(O)c2C1=O,1,Benchmark,ames,,-1
CCOP(=S)(OCC)S[C@@H]1OCCO[C@H]1SP(=S)(OCC)OCC,CCOP(=S)(OCC)S[C@@H]1OCCO[C@H]1SP(=S)(OCC)OCC,1,Benchmark,ames,,-1
O=[N+]([O-])c1cc(Cl)ccc1Cl,O=[N+]([O-])c1cc(Cl)ccc1Cl,1,Benchmark,ames,,-1
Fc1ccc2ncccc2c1,Fc1ccc2ncccc2c1,1,Benchmark,ames,,-1
C=Cc1ccc([N+](=O)[O-])cc1,C=Cc1ccc([N+](=O)[O-])cc1,1,Benchmark,ames,,-1
c1scc2c1-c1cscc1C1OC21,c1scc2c1-c1cscc1C1OC21,1,Benchmark,ames,,-1
CC(=O)c1cccn1[N+](=O)[O-],CC(=O)c1cccn1[N+](=O)[O-],1,Benchmark,ames,,-1
N#Cc1ccc(C(=O)ON(OCc2ccccc2)C(=O)c2ccccc2)cc1,N#Cc1ccc(C(=O)ON(OCc2ccccc2)C(=O)c2ccccc2)cc1,1,Benchmark,ames,,-1
CCc1nc2ccc(NC)c(C)c2nc1CC,CCc1nc2ccc(NC)c(C)c2nc1CC,1,Benchmark,ames,,-1
c1cc2c3c(cccc3c1)[C@@H]1N[C@H]21,c1cc2c3c(cccc3c1)[C@@H]1N[C@H]21,1,Benchmark,ames,,-1
O=C1c2cc([N+](=O)[O-])ccc2-c2c1cc([N+](=O)[O-])cc2[N+](=O)[O-],O=C1c2cc([N+](=O)[O-])ccc2-c2c1cc([N+](=O)[O-])cc2[N+](=O)[O-],1,Benchmark,ames,,-1
CBr,CBr,1,Benchmark,ames,,-1
O=C1c2ccccc2-c2cc([N+](=O)[O-])ccc21,O=C1c2ccccc2-c2cc([N+](=O)[O-])ccc21,1,Benchmark,ames,,-1
C1=C[C@H]2O[C@H]2c2ccc3c4c5c(cccc5cc3c21)C=C4,C1=C[C@H]2O[C@H]2c2ccc3c4c5c(cccc5cc3c21)C=C4,1,Benchmark,ames,,-1
COc1cccc2c1cc1c3c(cc4c(c32)OCO4)C(=O)N1,COc1cccc2c1cc1c3c(cc4c(c32)OCO4)C(=O)N1,1,Benchmark,ames,,-1
Nc1ccc2cccc3c2c1-c1ccccc1-3,Nc1ccc2cccc3c2c1-c1ccccc1-3,1,Benchmark,ames,,-1
O[C@@H]1C=Cc2ccc3c(ccc4ccccc43)c2[C@H]1O,O[C@@H]1C=Cc2ccc3c(ccc4ccccc43)c2[C@H]1O,1,Benchmark,ames,,-1
BrCC(Br)(Br)Br,BrCC(Br)(Br)Br,1,Benchmark,ames,,-1
Cc1cc2ncccc2c2nc(N=[N+]=[N-])n(C)c12,Cc1cc2ncccc2c2nc(N=[N+]=[N-])n(C)c12,1,Benchmark,ames,,-1
Nc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,Nc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,1,Benchmark,ames,,-1
Cc1cccc(C(=O)O)c1[N+](=O)[O-],Cc1cccc(C(=O)O)c1[N+](=O)[O-],1,Benchmark,ames,,-1
NCCN,NCCN,1,Benchmark,ames,,-1
O=c1c2c(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc(O)cc2oc2c(O)ccc(O)c12,O=c1c2c(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc(O)cc2oc2c(O)ccc(O)c12,1,Benchmark,ames,,-1
O=[N+]([O-])c1nc2ccccc2[nH]1,O=[N+]([O-])c1nc2ccccc2[nH]1,1,Benchmark,ames,,-1
O=[N+]([O-])c1ccc2c(c1)cc([N+](=O)[O-])c1ccc([N+](=O)[O-])cc12,O=[N+]([O-])c1ccc2c(c1)cc([N+](=O)[O-])c1ccc([N+](=O)[O-])cc12,1,Benchmark,ames,,-1
CC1=C(O)C(=O)CO1,CC1=C(O)C(=O)CO1,1,Benchmark,ames,,-1
O=[N+]([O-])c1ccc(CNCCO)o1,O=[N+]([O-])c1ccc(CNCCO)o1,1,Benchmark,ames,,-1
COc1cc(C(O)c2ncc([N+](=O)[O-])n2C)c(O)c(C(C)(C)C)c1,COc1cc(C(O)c2ncc([N+](=O)[O-])n2C)c(O)c(C(C)(C)C)c1,1,Benchmark,ames,,-1
CCOC(=O)c1[nH]c2ccccc2c1/N=C/c1cc(OC)c(OC)c(OC)c1,CCOC(=O)c1[nH]c2ccccc2c1/N=C/c1cc(OC)c(OC)c(OC)c1,1,Benchmark,ames,,-1
CC(=O)c1ccc([N+](=O)[O-])s1,CC(=O)c1ccc([N+](=O)[O-])s1,1,Benchmark,ames,,-1
CC1c2ccccc2-c2ccccc21,CC1c2ccccc2-c2ccccc21,1,Benchmark,ames,,-1
