Smiles_unify,Smiles,value_nM,value_nM_log,ref,source,Temperature,pH,property
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](NC(=O)[C@H](CC(C)C)NC(=O)C(CCCN2CCN(C)CC2)NC(=O)[C@H](CCc2ccccc2)NC(=O)CNC(=O)[C@H](CC(C)C)NC(=O)[C@@H]2CCCN2C(C)=O)[C@H](O)[C@H](C)O1,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](NC(=O)[C@H](CC(C)C)NC(=O)C(CCCN2CCN(C)CC2)NC(=O)[C@H](CCc2ccccc2)NC(=O)CNC(=O)[C@H](CC(C)C)NC(=O)[C@@H]2CCCN2C(C)=O)[C@H](O)[C@H](C)O1,98212.24572927444,4.9922,CHEMBL1156831,ChEMBL,other,7.4,solubility
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCc2ccc(O)cc2)NC(=O)[C@H](CCc2ccccc2)NC(=O)CNC(=O)[C@H](CC(C)C)NC(=O)[C@@H]2CCCN2C(C)=O)[C@H](O)[C@H](C)O1,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCc2ccc(O)cc2)NC(=O)[C@H](CCc2ccccc2)NC(=O)CNC(=O)[C@H](CC(C)C)NC(=O)[C@@H]2CCCN2C(C)=O)[C@H](O)[C@H](C)O1,767.1123451183734,2.8849,CHEMBL1156831,ChEMBL,other,7.4,solubility
COc1cc2[nH]c(C)c(-c3ccccc3)c(=O)c2cc1Cl,COc1cc2[nH]c(C)c(-c3ccccc3)c(=O)c2cc1Cl,5000.0,3.699,CHEMBL1255199,ChEMBL,other,7.4,solubility
COc1cc2[nH]c(C)cc(=O)c2cc1Cl,COc1cc2[nH]c(C)cc(=O)c2cc1Cl,2000.0,3.301,CHEMBL1255199,ChEMBL,other,7.4,solubility
C=C(CCCCC)c1c(C)[nH]c2cc(OC)c(Cl)cc2c1=O,C=C(CCCCC)c1c(C)[nH]c2cc(OC)c(Cl)cc2c1=O,2000.0,3.301,CHEMBL1255199,ChEMBL,other,7.4,solubility
O=[N+]([O-])c1cn2c(n1)OC[C@@H](OCc1ccc(-c3ccc(C(F)(F)F)nc3)nc1)C2,O=[N+]([O-])c1cn2c(n1)OC[C@@H](OCc1ccc(-c3ccc(C(F)(F)F)nc3)nc1)C2,16623.138243483496,4.2207,CHEMBL1629541,ChEMBL,other,7.0,solubility
Cc1ncc(-c2nc(Nc3ccc(N4CCOCC4)cc3)ncc2F)n1C(C)C,Cc1ncc(-c2nc(Nc3ccc(N4CCOCC4)cc3)ncc2F)n1C(C)C,120000.0,5.0792,CHEMBL1155842,ChEMBL,other,7.4,solubility
CC1(C)CCc2c([nH]c3cccc(Cl)c3c2=O)C1,CC1(C)CCc2c([nH]c3cccc(Cl)c3c2=O)C1,6000.0,3.7782,CHEMBL1799910,ChEMBL,other,7.4,solubility
Cc1cc2[nH]c3c(c(=O)c2cc1C)CCCC3,Cc1cc2[nH]c3c(c(=O)c2cc1C)CCCC3,41000.0,4.6128,CHEMBL1799910,ChEMBL,other,7.4,solubility
COc1cc(OC)c2c(=O)c3c([nH]c2c1)CCCC3,COc1cc(OC)c2c(=O)c3c([nH]c2c1)CCCC3,188000.0,5.2742,CHEMBL1799910,ChEMBL,other,7.4,solubility
Cc1ccc2c(=O)c3c([nH]c2c1)CC(C)(C)CC3,Cc1ccc2c(=O)c3c([nH]c2c1)CC(C)(C)CC3,17000.0,4.2304,CHEMBL1799910,ChEMBL,other,7.4,solubility
O=c1c2c([nH]c3c(C(F)(F)F)cccc13)CCCC2,O=c1c2c([nH]c3c(C(F)(F)F)cccc13)CCCC2,116000.0,5.0645,CHEMBL1799910,ChEMBL,other,7.4,solubility
CN(C)C(=O)n1cc(C(=O)c2ccn3c2CS[C@@H]3c2cccnc2)c2ccc(-c3nccs3)cc21,CN(C)C(=O)n1cc(C(=O)c2ccn3c2CS[C@@H]3c2cccnc2)c2ccc(-c3nccs3)cc21,12021.309769219111,4.08,CHEMBL1128094,ChEMBL,20 degC,7.0,solubility
Cc1c(Cl)nc(C2CC2)nc1Cl,Cc1c(Cl)nc(C2CC2)nc1Cl,150000.0,5.1761,CHEMBL3745609,ChEMBL,other,7.0,solubility
O=c1c2c([nH]c3cc(C(F)(F)F)ccc13)CCCCC2,O=c1c2c([nH]c3cc(C(F)(F)F)ccc13)CCCCC2,17000.0,4.2304,CHEMBL1799910,ChEMBL,other,7.4,solubility
Cc1ccc2[nH]c3c(c(=O)c2c1)CC(C)(C)CC3,Cc1ccc2[nH]c3c(c(=O)c2c1)CC(C)(C)CC3,52000.0,4.716,CHEMBL1799910,ChEMBL,other,7.4,solubility
CC1(C)CCc2[nH]c3cc(Cl)ccc3c(=O)c2C1,CC1(C)CCc2[nH]c3cc(Cl)ccc3c(=O)c2C1,1000.0,3.0,CHEMBL1799910,ChEMBL,other,7.4,solubility
O=C(Nc1ccc(C(=O)NCCN2CCCCC2)cc1)Nc1ccc(-c2nc(O[C@H]3CCOC3)nc(N3CCOCC3)n2)cc1,O=C(Nc1ccc(C(=O)NCCN2CCCCC2)cc1)Nc1ccc(-c2nc(O[C@H]3CCOC3)nc(N3CCOCC3)n2)cc1,1622.5543718756144,3.2102,CHEMBL1806467,ChEMBL,other,7.4,solubility
O=[N+]([O-])c1cn2c(n1)OC[C@@H](OCc1ccc(-c3ccc(C(F)(F)F)cn3)cc1)C2,O=[N+]([O-])c1cn2c(n1)OC[C@@H](OCc1ccc(-c3ccc(C(F)(F)F)cn3)cc1)C2,999.7511580805705,2.9999,CHEMBL1629541,ChEMBL,20 degC,7.4,solubility
OC(c1cccnc1)(c1cccnc1)C(c1ccccc1)N1CCOCC1,OC(c1cccnc1)(c1cccnc1)C(c1ccccc1)N1CCOCC1,119054.53193121678,5.0757,CHEMBL1156169,ChEMBL,other,7.2,solubility
COc1ccc(NS(=O)(=O)c2ccc3c(c2)c2ccc(O)cc2n3C)c(OC)n1,COc1ccc(NS(=O)(=O)c2ccc3c(c2)c2ccc(O)cc2n3C)c(OC)n1,2033.3835995290217,3.3082,CHEMBL3872256,ChEMBL,other,7.4,solubility
Cc1[nH]c2ccc(Cl)cc2c(=O)c1Br,Cc1[nH]c2ccc(Cl)cc2c(=O)c1Br,5000.0,3.699,CHEMBL1255199,ChEMBL,other,7.4,solubility
CN1CCN(c2ccc(N/C=C3\C(=O)NC(=O)c4ccc(I)cc43)cc2)CC1,CN1CCN(c2ccc(N/C=C3\C(=O)NC(=O)c4ccc(I)cc43)cc2)CC1,2048.8825517094347,3.3115,CHEMBL1150411,ChEMBL,other,7.4,solubility
C[C@@H]1CN(c2ccc(N/C=C3\C(=O)NC(=O)c4ccc(I)cc43)cc2)C[C@H](C)N1C,C[C@@H]1CN(c2ccc(N/C=C3\C(=O)NC(=O)c4ccc(I)cc43)cc2)C[C@H](C)N1C,7750.402563058871,3.8893,CHEMBL1150411,ChEMBL,other,7.4,solubility
CCNC(=O)Nc1nc2cc(-c3cc(C)n(C)c(=O)c3)c(OCC3CCOC3)nc2s1,CCNC(=O)Nc1nc2cc(-c3cc(C)n(C)c(=O)c3)c(OCC3CCOC3)nc2s1,5000.0,3.699,CHEMBL3259758,ChEMBL,other,7.4,solubility
CCNC(=O)Nc1nc2cc(-c3ccn(CCN4CCOCC4)c(=O)c3)c(OCC3CCOC3)nc2s1,CCNC(=O)Nc1nc2cc(-c3ccn(CCN4CCOCC4)c(=O)c3)c(OCC3CCOC3)nc2s1,6118000.0,6.7866,CHEMBL3259758,ChEMBL,other,7.4,solubility
Cc1ccc2[nH]c3c(c(=O)c2c1)CCCC3,Cc1ccc2[nH]c3c(c(=O)c2c1)CCCC3,44000.0,4.6435,CHEMBL1799910,ChEMBL,other,7.4,solubility
O=[N+]([O-])c1cn2c(n1)OC[C@@H](OCc1ccnc(-c3ccc(F)cc3)c1)C2,O=[N+]([O-])c1cn2c(n1)OC[C@@H](OCc1ccnc(-c3ccc(F)cc3)c1)C2,83759.39549721137,4.923,CHEMBL1629541,ChEMBL,other,7.0,solubility
O=[N+]([O-])c1cn2c(n1)OC[C@@H](OCc1cc(-c3ccc(OC(F)F)cc3)ccn1)C2,O=[N+]([O-])c1cn2c(n1)OC[C@@H](OCc1cc(-c3ccc(OC(F)F)cc3)ccn1)C2,205688.05142827012,5.3132,CHEMBL1629541,ChEMBL,other,7.0,solubility
N#Cc1ccc(-c2ccc(CO[C@@H]3COc4nc([N+](=O)[O-])cn4C3)nc2)cc1,N#Cc1ccc(-c2ccc(CO[C@@H]3COc4nc([N+](=O)[O-])cn4C3)nc2)cc1,119327.81719047647,5.0767,CHEMBL1629541,ChEMBL,other,7.0,solubility
O=[N+]([O-])c1cn2c(n1)OC[C@@H](OCc1ccc(-c3ccc(OC(F)(F)F)c(F)c3)cn1)C2,O=[N+]([O-])c1cn2c(n1)OC[C@@H](OCc1ccc(-c3ccc(OC(F)(F)F)c(F)c3)cn1)C2,66066.193612732,4.82,CHEMBL1629541,ChEMBL,other,7.0,solubility
O=C(O)CCc1cccc2c1B(O)OC2,O=C(O)CCc1cccc2c1B(O)OC2,3639450.963081693,6.561,CHEMBL1641498,ChEMBL,other,7.0,solubility
O=C(N[C@@H]1CC[C@H](O)C1)c1noc(-c2ccc(F)cc2)c1Cl,O=C(N[C@@H]1CC[C@H](O)C1)c1noc(-c2ccc(F)cc2)c1Cl,58629.724915702696,4.7681,CHEMBL1667818,ChEMBL,other,7.4,solubility
Cc1nn(C)c2ncc(C(=O)NC(=O)Nc3ccc(F)c(C(F)(F)F)c3)cc12,Cc1nn(C)c2ncc(C(=O)NC(=O)Nc3ccc(F)c(C(F)(F)F)c3)cc12,12655.00682733042,4.1023,CHEMBL1687928,ChEMBL,other,7.4,solubility
CC(=O)c1ccc(NC(=O)Nc2cc(C)nc3ccccc23)cc1,CC(=O)c1ccc(NC(=O)Nc2cc(C)nc3ccccc23)cc1,3800.0,3.5798,CHEMBL1687688,ChEMBL,other,7.4,solubility
CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,6100.0,3.7853,CHEMBL3351419,ChEMBL,other,7.4,solubility
CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(CNCCCn5ccnc5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(CNCCCn5ccnc5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,395491.3396222454,5.5971,CHEMBL3352679,ChEMBL,25 degC,7.0,solubility
O=[N+]([O-])c1cn2c(n1)OC[C@@H](OCc1ncc(-c3ccc(F)cc3)cn1)C2,O=[N+]([O-])c1cn2c(n1)OC[C@@H](OCc1ncc(-c3ccc(F)cc3)cn1)C2,134733.49017728842,5.1295,CHEMBL1629541,ChEMBL,other,7.0,solubility
O=[N+]([O-])c1cn2c(n1)OC[C@@H](OCc1ncc(-c3ccc(OC(F)F)cc3)cn1)C2,O=[N+]([O-])c1cn2c(n1)OC[C@@H](OCc1ncc(-c3ccc(OC(F)F)cc3)cn1)C2,18611.126768622897,4.2698,CHEMBL1629541,ChEMBL,other,7.0,solubility
C[C@@H]1CN(c2nnc(C(F)(F)F)o2)CCN1c1ncc(OCc2ccc(C#N)cc2C#N)cn1,C[C@@H]1CN(c2nnc(C(F)(F)F)o2)CCN1c1ncc(OCc2ccc(C#N)cc2C#N)cn1,1900.0,3.2788,CHEMBL3351317,ChEMBL,25 degC,7.4,solubility
O=[N+]([O-])c1cn2c(n1)OC[C@@H](OCc1ccc(-c3cncc(F)c3)cn1)C2,O=[N+]([O-])c1cn2c(n1)OC[C@@H](OCc1ccc(-c3cncc(F)c3)cn1)C2,350307.07446094987,5.5444,CHEMBL1629541,ChEMBL,other,7.0,solubility
O=[N+]([O-])c1cn2c(n1)OC[C@@H](OCc1ccc(-c3cccc(F)n3)cc1)C2,O=[N+]([O-])c1cn2c(n1)OC[C@@H](OCc1ccc(-c3cccc(F)n3)cc1)C2,11618.238730258348,4.0651,CHEMBL1629541,ChEMBL,other,7.0,solubility
COc1ccc2[nH]c(=O)n(C[C@H]3CC[C@H](C(=O)N4CCN(C(=O)C5CC5)CC4)CC3)c(=O)c2c1,COc1ccc2[nH]c(=O)n(C[C@H]3CC[C@H](C(=O)N4CCN(C(=O)C5CC5)CC4)CC3)c(=O)c2c1,223000.0,5.3483,CHEMBL3421631,ChEMBL,other,7.4,solubility
Cc1cccc2c(=O)c3c([nH]c12)CCC(C)(C)C3,Cc1cccc2c(=O)c3c([nH]c12)CCC(C)(C)C3,38000.0,4.5798,CHEMBL1799910,ChEMBL,other,7.4,solubility
COc1ccc(-c2ccc(CO[C@@H]3COc4nc([N+](=O)[O-])cn4C3)cc2)nc1,COc1ccc(-c2ccc(CO[C@@H]3COc4nc([N+](=O)[O-])cn4C3)cc2)nc1,6542.315229368102,3.8157,CHEMBL1629541,ChEMBL,other,7.0,solubility
O=[N+]([O-])c1cn2c(n1)OC[C@@H](OCc1ccc(-c3ccc(OC(F)(F)F)cc3F)cn1)C2,O=[N+]([O-])c1cn2c(n1)OC[C@@H](OCc1ccc(-c3ccc(OC(F)(F)F)cc3F)cn1)C2,3083.089035260826,3.489,CHEMBL1629541,ChEMBL,other,7.0,solubility
O=[N+]([O-])c1cn2c(n1)OC[C@@H](OCc1ccc(-c3ccc(F)cc3)nc1)C2,O=[N+]([O-])c1cn2c(n1)OC[C@@H](OCc1ccc(-c3ccc(F)cc3)nc1)C2,10267.280738367843,4.0115,CHEMBL1629541,ChEMBL,other,7.0,solubility
Cc1cc(NC(=O)Nc2cccc(F)c2)c2ccccc2n1,Cc1cc(NC(=O)Nc2cccc(F)c2)c2ccccc2n1,100.0,2.0,CHEMBL1687688,ChEMBL,other,7.4,solubility
Cc1cc(NC(=O)Nc2ccc(SC(F)(F)F)cc2)c2ccccc2n1,Cc1cc(NC(=O)Nc2ccc(SC(F)(F)F)cc2)c2ccccc2n1,200.0,2.301,CHEMBL1687688,ChEMBL,other,7.4,solubility
Cc1cc(NC(=O)Nc2ccc(O)cc2)c2ccccc2n1,Cc1cc(NC(=O)Nc2ccc(O)cc2)c2ccccc2n1,100.0,2.0,CHEMBL1687688,ChEMBL,other,7.4,solubility
Cc1cc(NC(=O)Nc2ccc(F)cc2C(=O)O)c2ccccc2n1,Cc1cc(NC(=O)Nc2ccc(F)cc2C(=O)O)c2ccccc2n1,44300.0,4.6464,CHEMBL1687688,ChEMBL,other,7.4,solubility
Cc1cc(NC(=O)Nc2cnc3ccccc3c2)c2ccccc2n1,Cc1cc(NC(=O)Nc2cnc3ccccc3c2)c2ccccc2n1,400.0,2.6021,CHEMBL1687688,ChEMBL,other,7.4,solubility
Cc1cc(NC(=O)Nc2cccc3nsnc23)c2ccccc2n1,Cc1cc(NC(=O)Nc2cccc3nsnc23)c2ccccc2n1,300.0,2.4771,CHEMBL1687688,ChEMBL,other,7.4,solubility
Cc1cccc2c(=O)n(C[C@H]3CC[C@H](C(=O)N4CCN(C(=O)C(C)C)CC4)CC3)c(=O)[nH]c12,Cc1cccc2c(=O)n(C[C@H]3CC[C@H](C(=O)N4CCN(C(=O)C(C)C)CC4)CC3)c(=O)[nH]c12,39000.0,4.5911,CHEMBL3421631,ChEMBL,other,7.4,solubility
O=C1/C(=N/c2cccc(C(F)(F)F)c2)c2ccccc2N1c1cccc(OCCN2CCCCC2)c1,O=C1/C(=N/c2cccc(C(F)(F)F)c2)c2ccccc2N1c1cccc(OCCN2CCCCC2)c1,14193.090992692496,4.1521,CHEMBL1146013,ChEMBL,other,7.4,solubility
O=c1c(O)c(Cc2ccccc2)c1=O,O=c1c(O)c(Cc2ccccc2)c1=O,165790.0,5.2196,CHEMBL3797172,ChEMBL,other,7.4,solubility
Cc1c(CN(CCc2ccc([N+](=O)[O-])cc2)C2CCN(C(=O)c3ccccn3)CC2)c(=O)n(-c2ccc(F)cc2)n1C,Cc1c(CN(CCc2ccc([N+](=O)[O-])cc2)C2CCN(C(=O)c3ccccn3)CC2)c(=O)n(-c2ccc(F)cc2)n1C,2201816.6562530817,6.3428,CHEMBL1140015,ChEMBL,other,7.4,solubility
COc1ccc(NS(=O)(=O)c2ccc3c(c2)c2ccc(CO)cc2n3C)c(OC)n1,COc1ccc(NS(=O)(=O)c2ccc3c(c2)c2ccc(CO)cc2n3C)c(OC)n1,327.7765900487633,2.5156,CHEMBL3872256,ChEMBL,other,7.4,solubility
COc1ccc(NS(=O)(=O)c2ccc3c(c2)c2ccccc2n3C)c(OC)n1,COc1ccc(NS(=O)(=O)c2ccc3c(c2)c2ccccc2n3C)c(OC)n1,251.81963160475047,2.4011,CHEMBL3872256,ChEMBL,other,7.4,solubility
Cc1cnc(-c2ccc(C)c(NC(=O)c3ccc(OCc4ccccn4)cc3)c2)[nH]1,Cc1cnc(-c2ccc(C)c(NC(=O)c3ccc(OCc4ccccn4)cc3)c2)[nH]1,19000.0,4.2788,CHEMBL2057166,ChEMBL,other,7.4,solubility
Cc1ccc(-c2ncc[nH]2)cc1NC(=O)c1ccc(OCc2ccccn2)cc1,Cc1ccc(-c2ncc[nH]2)cc1NC(=O)c1ccc(OCc2ccccn2)cc1,25000.0,4.3979,CHEMBL2057166,ChEMBL,other,7.4,solubility
N#CC1(NC(=O)[C@@H]2CCCC[C@H]2C(=O)N2CCN(c3nccs3)CC2)CC1,N#CC1(NC(=O)[C@@H]2CCCC[C@H]2C(=O)N2CCN(c3nccs3)CC2)CC1,3100000.0,6.4914,CHEMBL2069241,ChEMBL,other,7.4,solubility
CC(C)(C)c1csc(N2CCN(C(=O)[C@@H]3CCCC[C@H]3C(=O)NC3(C#N)CC3)CC2)n1,CC(C)(C)c1csc(N2CCN(C(=O)[C@@H]3CCCC[C@H]3C(=O)NC3(C#N)CC3)CC2)n1,280000.0,5.4472,CHEMBL2069241,ChEMBL,other,7.4,solubility
O=[N+]([O-])c1cn2c(n1)OC[C@@H](OCc1ccc(-c3ccc(OC(F)(F)F)cc3)cc1)C2,O=[N+]([O-])c1cn2c(n1)OC[C@@H](OCc1ccc(-c3ccc(OC(F)(F)F)cc3)cc1)C2,2757.960013854233,3.4406,CHEMBL1833943,ChEMBL,other,7.0,solubility
O=[N+]([O-])c1cn2c(n1)OC[C@@H](OCC#Cc1ccc(C(F)(F)F)cn1)C2,O=[N+]([O-])c1cn2c(n1)OC[C@@H](OCC#Cc1ccc(C(F)(F)F)cn1)C2,22821.54500444896,4.3583,CHEMBL1833943,ChEMBL,other,7.0,solubility
O=[N+]([O-])c1cn2c(n1)OC[C@@H](OCc1ccc(C(F)(F)F)cn1)C2,O=[N+]([O-])c1cn2c(n1)OC[C@@H](OCc1ccc(C(F)(F)F)cn1)C2,546395.2973429982,5.7375,CHEMBL1833943,ChEMBL,other,7.0,solubility
Clc1ccccc1CC(c1ccccc1)N1CCNCC1,Cl.Clc1ccccc1CC(c1ccccc1)N1CCNCC1,3331785.981378566,6.5227,CHEMBL1145304,ChEMBL,other,7.4,solubility
Cc1c(CN(C)C(=O)/C=C/c2cnc3c(c2)CNCCN3)oc2ccccc12,Cc1c(CN(C)C(=O)/C=C/c2cnc3c(c2)CNCCN3)oc2ccccc12,1169621.9637488194,6.068,CHEMBL1155987,ChEMBL,other,7.4,solubility
N#Cc1cc2c(Oc3ccc(F)cc3OCCn3ccc(=O)[nH]c3=O)cc(F)cn2c1,N#Cc1cc2c(Oc3ccc(F)cc3OCCn3ccc(=O)[nH]c3=O)cc(F)cn2c1,103277.94010477376,5.014,CHEMBL4387780,ChEMBL,other,7.0,solubility
O=[N+]([O-])c1cn2c(n1)OC[C@@H](OCc1ccc(-c3ccc(OC(F)(F)F)c(F)c3)cn1)C2,O=[N+]([O-])c1cn2c(n1)OC[C@@H](OCc1ccc(-c3ccc(OC(F)(F)F)c(F)c3)cn1)C2,3303.3096806365998,3.5189,CHEMBL1629541,ChEMBL,20 degC,7.4,solubility
C[C@H]1Cn2c(nnc2C(C)(F)F)CN1C(=O)c1cccc(C(F)(F)c2n[nH]c(=O)c3ccccc23)c1,C[C@H]1Cn2c(nnc2C(C)(F)F)CN1C(=O)c1cccc(C(F)(F)c2n[nH]c(=O)c3ccccc23)c1,238000.0,5.3766,CHEMBL3739394,ChEMBL,other,7.4,solubility
C[C@H]1c2nnc(C(F)(F)F)n2CCN1C(=O)c1cccc(Cc2n[nH]c(=O)c3ccccc23)c1,C[C@H]1c2nnc(C(F)(F)F)n2CCN1C(=O)c1cccc(Cc2n[nH]c(=O)c3ccccc23)c1,612000.0,5.7868,CHEMBL3739394,ChEMBL,other,7.4,solubility
NC(=O)c1cnc(-c2ccc(C3(N)CCC3)cc2)c(-c2ccccc2)c1,NC(=O)c1cnc(-c2ccc(C3(N)CCC3)cc2)c(-c2ccccc2)c1,270000.0,5.4314,CHEMBL2034885,ChEMBL,other,7.4,solubility
NC1(c2ccc(-c3ncc4ccncc4c3-c3ccccc3)cc2)CCC1,NC1(c2ccc(-c3ncc4ccncc4c3-c3ccccc3)cc2)CCC1,1400000.0,6.1461,CHEMBL2034885,ChEMBL,other,7.4,solubility
C[C@H]1COCCN1c1cc(CS(C)(=O)=O)nc(-c2ccc3[nH]ccc3c2)n1,C[C@H]1COCCN1c1cc(CS(C)(=O)=O)nc(-c2ccc3[nH]ccc3c2)n1,192000.0,5.2833,CHEMBL2029234,ChEMBL,other,7.4,solubility
Cc1ccc(NC(=S)N[C@@H](CC(C)C)C(=O)N[C@H]2CCOC2O)cc1,Cc1ccc(NC(=S)N[C@@H](CC(C)C)C(=O)N[C@H]2CCOC2O)cc1,3012235.321506342,6.4789,CHEMBL1138043,ChEMBL,25 degreeC,7.0,solubility
CC1(COc2cnc(C(F)(F)F)cn2)Cn2cc([N+](=O)[O-])nc2O1,CC1(COc2cnc(C(F)(F)F)cn2)Cn2cc([N+](=O)[O-])nc2O1,78245.33651420279,4.8935,CHEMBL3784956,ChEMBL,20 degC,7.0,solubility
O=S1(=O)CCN(c2cnc(-c3ccc(C(F)(F)F)cc3)c(-c3ccncc3Cl)n2)CC1,O=S1(=O)CCN(c2cnc(-c3ccc(C(F)(F)F)cc3)c(-c3ccncc3Cl)n2)CC1,49138.636125575526,4.6914,CHEMBL1150322,ChEMBL,other,7.4,solubility
C[C@@H]1CN(c2ccc(N/C=C3\C(=O)NC(=O)c4ccc(I)cc43)cc2)[C@@H](C)CN1C,C[C@@H]1CN(c2ccc(N/C=C3\C(=O)NC(=O)c4ccc(I)cc43)cc2)[C@@H](C)CN1C,7750.402563058871,3.8893,CHEMBL1150411,ChEMBL,other,7.4,solubility
CC(C)N1CCC(S(=O)(=O)c2ccc(CNC(=O)c3cc4ccncc4o3)cc2)CC1,CC(C)N1CCC(S(=O)(=O)c2ccc(CNC(=O)c3cc4ccncc4o3)cc2)CC1,183000.0,5.2625,CHEMBL3393056,ChEMBL,other,7.4,solubility
O=C(NCc1ccc(S(=O)(=O)C2CCN(C3CCOCC3)CC2)cc1)c1cc2cnccc2[nH]1,O=C(NCc1ccc(S(=O)(=O)C2CCN(C3CCOCC3)CC2)cc1)c1cc2cnccc2[nH]1,99000.0,4.9956,CHEMBL3393056,ChEMBL,other,7.4,solubility
CCCn1cc(S(=O)(=O)c2ccc(CNC(=O)c3cc4ccncc4o3)cc2)cn1,CCCn1cc(S(=O)(=O)c2ccc(CNC(=O)c3cc4ccncc4o3)cc2)cn1,73000.0,4.8633,CHEMBL3393056,ChEMBL,other,7.4,solubility
