Smiles_unify,Smiles,value_uM,value_uM_log,ref,source,CYP_type,property
CCc1nc(N)nc(N)c1-c1ccc2c(c1)N(CCNC(C)=O)C(=O)C(C)(c1cc(F)cc(F)c1)O2,CCc1nc(N)nc(N)c1-c1ccc2c(c1)N(CCNC(C)=O)C(=O)C(C)(c1cc(F)cc(F)c1)O2,30.0,1.4771,CHEMBL1149625,ChEMBL,CYP2D6,cyp_IC50
CCc1nc(N)nc(N)c1-c1ccc2c(c1)N(CCCOC)C(=O)C(CC)(c1cc(F)cc(F)c1)O2,CCc1nc(N)nc(N)c1-c1ccc2c(c1)N(CCCOC)C(=O)C(CC)(c1cc(F)cc(F)c1)O2,4.9,0.6902,CHEMBL1149625,ChEMBL,CYP2C9,cyp_IC50
CC(C)(C)OC(=O)N[C@H](Cc1cccc(F)c1C(F)(F)F)C(=O)NCc1nc2cccnc2n1C1(c2ccccc2)CC1,CC(C)(C)OC(=O)N[C@H](Cc1cccc(F)c1C(F)(F)F)C(=O)NCc1nc2cccnc2n1C1(c2ccccc2)CC1,0.81,-0.0915,CHEMBL1141499,ChEMBL,CYP3A4,cyp_IC50
CC(C)(C)OC(=O)N[C@H](Cc1ccccc1C(F)(F)F)C(=O)NCc1nc2cccnc2n1CC1CC1,CC(C)(C)OC(=O)N[C@H](Cc1ccccc1C(F)(F)F)C(=O)NCc1nc2cccnc2n1CC1CC1,2.43,0.3856,CHEMBL1141499,ChEMBL,CYP3A4,cyp_IC50
O=C(CCc1noc2c1CCc1cc(O)ccc1-2)NC1=C(C(=O)O)CCCC1,O=C(CCc1noc2c1CCc1cc(O)ccc1-2)NC1=C(C(=O)O)CCCC1,11.0,1.0414,CHEMBL1154005,ChEMBL,CYP2C9,cyp_IC50
NCc1noc(-c2nn(Cc3ccc(C(N)=O)cc3)c3ccccc23)n1,NCc1noc(-c2nn(Cc3ccc(C(N)=O)cc3)c3ccccc23)n1,1.3,0.1139,CHEMBL1138611,ChEMBL,CYP2D6,cyp_IC50
CC(C)(C)NCc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1F,CC(C)(C)NCc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1F,52.0,1.716,CHEMBL1153384,ChEMBL,CYP2C9,cyp_IC50
C[C@@H](O[C@H]1CC[C@@H]2CN(C3=CC(=O)CC3)C[C@H]2[C@@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,C[C@@H](O[C@H]1CC[C@@H]2CN(C3=CC(=O)CC3)C[C@H]2[C@@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,30.0,1.4771,CHEMBL1138468,ChEMBL,CYP2C9,cyp_IC50
CCC[C@H](C[C@@H](O)N1CCC[C@@H](Cc2ccc(F)cc2)C1)NC(=O)Nc1cccc(-c2nnnn2C)c1,CCC[C@H](C[C@@H](O)N1CCC[C@@H](Cc2ccc(F)cc2)C1)NC(=O)Nc1cccc(-c2nnnn2C)c1,0.5,-0.301,CHEMBL1142350,ChEMBL,CYP2D6,cyp_IC50
C[C@H](C[C@@H](O)N1CCC[C@@H](Cc2ccc(F)cc2)C1)NC(=O)Nc1cc(-c2ncco2)cc(-c2ncco2)c1,C[C@H](C[C@@H](O)N1CCC[C@@H](Cc2ccc(F)cc2)C1)NC(=O)Nc1cc(-c2ncco2)cc(-c2ncco2)c1,0.5,-0.301,CHEMBL1142350,ChEMBL,CYP2D6,cyp_IC50
CC(=O)c1cc(NC(=O)N[C@H](C)CCN2CCC[C@@H](Cc3ccc(F)cc3)C2)cc(C(C)=O)c1,CC(=O)c1cc(NC(=O)N[C@H](C)CCN2CCC[C@@H](Cc3ccc(F)cc3)C2)cc(C(C)=O)c1,1.3,0.1139,CHEMBL1142350,ChEMBL,CYP2D6,cyp_IC50
Cc1cc(NC(=O)N[C@H](C)CCN2CCC[C@@H](Cc3ccc(F)cc3)C2)cc(-c2nnnn2C)c1,Cc1cc(NC(=O)N[C@H](C)CCN2CCC[C@@H](Cc3ccc(F)cc3)C2)cc(-c2nnnn2C)c1,0.2,-0.699,CHEMBL1142350,ChEMBL,CYP2D6,cyp_IC50
C[C@H](CCN1CCC[C@@H](Cc2ccc(F)cc2)C1)NC(=O)Nc1cccc(-c2nnnn2C)c1,C[C@H](CCN1CCC[C@@H](Cc2ccc(F)cc2)C1)NC(=O)Nc1cccc(-c2nnnn2C)c1,0.4,-0.3979,CHEMBL1142350,ChEMBL,CYP2D6,cyp_IC50
c1ccc(-c2ccccc2CN(C2CCOCC2)[C@H]2CCNC2)cc1,c1ccc(-c2ccccc2CN(C2CCOCC2)[C@H]2CCNC2)cc1,0.1,-1.0,CHEMBL1139125,ChEMBL,CYP2D6,cyp_IC50
C[C@@H]1CN(Cc2ccc(-c3ccccc3CN(C)C(=O)COc3ccccc3)cc2)C[C@H](C)N1,C[C@@H]1CN(Cc2ccc(-c3ccccc3CN(C)C(=O)COc3ccccc3)cc2)C[C@H](C)N1,24.0,1.3802,CHEMBL1152208,ChEMBL,CYP3A4,cyp_IC50
CS(=O)(=O)OCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,CS(=O)(=O)OCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,7.7,0.8865,CHEMBL1144029,ChEMBL,CYP3A4,cyp_IC50
COC(=O)C1=C(Cn2ccnc2)NC(C)=C(C#N)C1c1ccc(F)cc1Cl,COC(=O)C1=C(Cn2ccnc2)NC(C)=C(C#N)C1c1ccc(F)cc1Cl,1.0,0.0,CHEMBL1212896,ChEMBL,CYP2C9,cyp_IC50
C[C@@H](c1ccccn1)c1c(CCN(C)C)sc2ccccc12,C[C@@H](c1ccccn1)c1c(CCN(C)C)sc2ccccc12,28.2,1.4502,CHEMBL1153519,ChEMBL,CYP2D6,cyp_IC50
C[C@@H](N[C@@H]1CCCc2c1[nH]c1ccc(Br)cc21)c1ccccc1,C[C@@H](N[C@@H]1CCCc2c1[nH]c1ccc(Br)cc21)c1ccccc1,0.16,-0.7959,CHEMBL1152400,ChEMBL,CYP2D6,cyp_IC50
O=C(Cc1ccc(-n2nc(C(F)(F)F)c3c2CCCC3)cc1F)N1CCCC1,O=C(Cc1ccc(-n2nc(C(F)(F)F)c3c2CCCC3)cc1F)N1CCCC1,7.0,0.8451,CHEMBL1649062,ChEMBL,CYP2C9,cyp_IC50
COc1ccc(CCCOC(Cn2ccnc2)c2ccc(OC)cc2)cc1,COc1ccc(CCCOC(Cn2ccnc2)c2ccc(OC)cc2)cc1,0.22,-0.6576,CHEMBL1144029,ChEMBL,CYP2C9,cyp_IC50
CS(=O)(=O)c1ccc(Cn2cc(-c3ccncc3)cn2)cc1,CS(=O)(=O)c1ccc(Cn2cc(-c3ccncc3)cn2)cc1,26.0,1.415,CHEMBL1144029,ChEMBL,CYP3A4,cyp_IC50
Cc1n[nH]c2cc(N(C)c3ccnc(Nc4cccc(S(N)(=O)=O)c4)n3)ccc12,Cc1n[nH]c2cc(N(C)c3ccnc(Nc4cccc(S(N)(=O)=O)c4)n3)ccc12,4.8,0.6812,CHEMBL1155848,ChEMBL,CYP2D6,cyp_IC50
Cc1c2ccc(N(C)c3ccnc(Nc4cccc(S(N)(=O)=O)c4)n3)cc2nn1Cc1ccccc1,Cc1c2ccc(N(C)c3ccnc(Nc4cccc(S(N)(=O)=O)c4)n3)cc2nn1Cc1ccccc1,74.0,1.8692,CHEMBL1155848,ChEMBL,CYP3A4,cyp_IC50
COc1cc(OC)c(C(=O)C(C)=O)cc1OC,COc1cc(OC)c(C(=O)C(C)=O)cc1OC,74.0,1.8692,CHEMBL1158685,ChEMBL,CYP3A4,cyp_IC50
COc1cc(C[C@@H]2COC(=O)[C@H]2Cc2cc(OC)c(O)c(OC)c2)ccc1O,COc1cc(C[C@@H]2COC(=O)[C@H]2Cc2cc(OC)c(O)c(OC)c2)ccc1O,1.1,0.0414,CHEMBL1158685,ChEMBL,CYP3A4,cyp_IC50
CC(C)C[C@@H]1C(=O)N[C@H](C2Cc3ccccc3C2)C(=O)N1[C@@H](C(=O)NC(C)C)c1ccc(C(F)(F)F)o1,CC(C)C[C@@H]1C(=O)N[C@H](C2Cc3ccccc3C2)C(=O)N1[C@@H](C(=O)NC(C)C)c1ccc(C(F)(F)F)o1,3.0,0.4771,CHEMBL1142309,ChEMBL,CYP3A4,cyp_IC50
CC[C@@H]1CCC[C@H](C2(CC(N)=O)CC2)N1S(=O)(=O)c1ccc(Cl)cc1,CC[C@@H]1CCC[C@H](C2(CC(N)=O)CC2)N1S(=O)(=O)c1ccc(Cl)cc1,11.5,1.0607,CHEMBL1140773,ChEMBL,CYP3A4,cyp_IC50
Cc1cccc(Cl)c1NC(=O)Nc1cc2ccccc2cc1C(=O)N[C@H](C(=O)O)C1CCCCC1,Cc1cccc(Cl)c1NC(=O)Nc1cc2ccccc2cc1C(=O)N[C@H](C(=O)O)C1CCCCC1,1.0,0.0,CHEMBL1136849,ChEMBL,CYP2C9,cyp_IC50
CC[C@@H]1CCC[C@H](C2(CC(=O)N3CCC4(CCN4)CC3)CC2)N1S(=O)(=O)c1ccc(Cl)cc1,CC[C@@H]1CCC[C@H](C2(CC(=O)N3CCC4(CCN4)CC3)CC2)N1S(=O)(=O)c1ccc(Cl)cc1,5.6,0.7482,CHEMBL1140773,ChEMBL,CYP3A4,cyp_IC50
CC[C@@H]1CCC[C@H](C2(CC(=O)N3CCN4CCCC[C@H]4C3)CC2)N1S(=O)(=O)c1ccc(Cl)cc1,CC[C@@H]1CCC[C@H](C2(CC(=O)N3CCN4CCCC[C@H]4C3)CC2)N1S(=O)(=O)c1ccc(Cl)cc1,4.2,0.6232,CHEMBL1140773,ChEMBL,CYP3A4,cyp_IC50
CC[C@@H]1CCC[C@H](C2(CC(=O)N3CCN(C(C)(C)CO)CC3)CC2)N1S(=O)(=O)c1ccc(Cl)cc1,CC[C@@H]1CCC[C@H](C2(CC(=O)N3CCN(C(C)(C)CO)CC3)CC2)N1S(=O)(=O)c1ccc(Cl)cc1,4.7,0.6721,CHEMBL1140773,ChEMBL,CYP3A4,cyp_IC50
CC[C@@H]1CCC[C@H](C2(OC(=O)N3CCN(C(C)(C)CO)CC3)CC2)N1S(=O)(=O)c1ccc(Cl)cc1,CC[C@@H]1CCC[C@H](C2(OC(=O)N3CCN(C(C)(C)CO)CC3)CC2)N1S(=O)(=O)c1ccc(Cl)cc1,2.2,0.3424,CHEMBL1140773,ChEMBL,CYP3A4,cyp_IC50
Cc1ccc(-c2cccc(-c3cc(C(C)(C)S(C)(=O)=O)cc4cccnc34)c2)c[n+]1[O-],Cc1ccc(-c2cccc(-c3cc(C(C)(C)S(C)(=O)=O)cc4cccnc34)c2)c[n+]1[O-],26.0,1.415,CHEMBL1141472,ChEMBL,CYP2C9,cyp_IC50
CC(C)(c1cc(-c2cccc(-c3ccc(CS(C)(=O)=O)cc3)c2)c2ncccc2c1)S(C)(=O)=O,CC(C)(c1cc(-c2cccc(-c3ccc(CS(C)(=O)=O)cc3)c2)c2ncccc2c1)S(C)(=O)=O,1.6,0.2041,CHEMBL1141472,ChEMBL,CYP2C9,cyp_IC50
CC[C@@H]1CCC[C@H](C2(Cc3noc(CN(C)C(C)(C)CO)n3)CC2)N1S(=O)(=O)c1ccc(Cl)cc1,CC[C@@H]1CCC[C@H](C2(Cc3noc(CN(C)C(C)(C)CO)n3)CC2)N1S(=O)(=O)c1ccc(Cl)cc1,4.0,0.6021,CHEMBL1140773,ChEMBL,CYP3A4,cyp_IC50
O=C(N[C@@H]1C[C@H]2CC[C@@H](C1)N2Cc1ccc2cc(F)ccc2c1)c1ccccc1OC1CCCCC1,O=C(N[C@@H]1C[C@H]2CC[C@@H](C1)N2Cc1ccc2cc(F)ccc2c1)c1ccccc1OC1CCCCC1,0.58,-0.2366,CHEMBL1144174,ChEMBL,CYP2D6,cyp_IC50
CN(C(=O)C1(c2ccc(F)cc2)CCCC1)[C@@H]1CCc2c(CC(=O)O)c3ccccc3n2C1,CN(C(=O)C1(c2ccc(F)cc2)CCCC1)[C@@H]1CCc2c(CC(=O)O)c3ccccc3n2C1,37.0,1.5682,CHEMBL1777736,ChEMBL,CYP3A4,cyp_IC50
COCCN1CCC(c2cc(C)c3nc(-c4c(NC[C@@H](O)c5ccc(OC)c(Cl)c5)cc[nH]c4=O)[nH]c3c2)CC1,COCCN1CCC(c2cc(C)c3nc(-c4c(NC[C@@H](O)c5ccc(OC)c(Cl)c5)cc[nH]c4=O)[nH]c3c2)CC1,7.7,0.8865,CHEMBL1140084,ChEMBL,CYP3A4,cyp_IC50
Cc1cc(N2CCOCC2)cc2[nH]c(-c3c(NC[C@@H](O)c4cccc(Cl)c4)cc[nH]c3=O)nc12,Cc1cc(N2CCOCC2)cc2[nH]c(-c3c(NC[C@@H](O)c4cccc(Cl)c4)cc[nH]c3=O)nc12,0.05,-1.301,CHEMBL1140084,ChEMBL,CYP3A4,cyp_IC50
CN1C(=O)[C@@](c2ccc(OC(F)F)cc2)(c2ccc(F)c(C#CCCCF)c2)N=C1N,CN1C(=O)[C@@](c2ccc(OC(F)F)cc2)(c2ccc(F)c(C#CCCCF)c2)N=C1N,0.9,-0.0458,CHEMBL1268920,ChEMBL,CYP3A4,cyp_IC50
Cc1c(F)cc(C(=O)NC2CC2)cc1-c1ccc(C(=O)NCC(C)C)cn1,Cc1c(F)cc(C(=O)NC2CC2)cc1-c1ccc(C(=O)NCC(C)C)cn1,31.62278,1.5,CHEMBL1781916,ChEMBL,CYP2C9,cyp_IC50
Cc1c(F)cc(C(=O)NC2CC2)cc1-c1ccc(C(=O)N[C@@H](C)C(C)C)cn1,Cc1c(F)cc(C(=O)NC2CC2)cc1-c1ccc(C(=O)N[C@@H](C)C(C)C)cn1,39.81072,1.6,CHEMBL1781916,ChEMBL,CYP2C9,cyp_IC50
NC(=O)[C@]12CC3CC(C1)[C@@H](OC(=O)N1CC[C@@H](Nc4ccc(C(F)(F)F)cn4)C1)C(C3)C2,NC(=O)[C@]12CC3CC(C1)[C@@H](OC(=O)N1CC[C@@H](Nc4ccc(C(F)(F)F)cn4)C1)C(C3)C2,4.1,0.6128,CHEMBL1268897,ChEMBL,CYP2C9,cyp_IC50
COc1ccc(Cn2c(C3CCCN(C4CCCCC4)C3)nc3ccccc32)cc1,COc1ccc(Cn2c(C3CCCN(C4CCCCC4)C3)nc3ccccc32)cc1,3.3,0.5185,CHEMBL1157885,ChEMBL,CYP3A4,cyp_IC50
CC(C)CC1(C(=O)c2cc(F)c3[nH]ccc3c2)CCNC1,CC(C)CC1(C(=O)c2cc(F)c3[nH]ccc3c2)CCNC1,1.3,0.1139,CHEMBL1221322,ChEMBL,CYP2D6,cyp_IC50
CN(C)C[C@H]1C[C@H](c2nc(-c3ccc4ccc(-c5ccccc5)nc4c3)c3c(N)nccn32)C1,CN(C)C[C@H]1C[C@H](c2nc(-c3ccc4ccc(-c5ccccc5)nc4c3)c3c(N)nccn32)C1,15.0,1.1761,CHEMBL1143953,ChEMBL,CYP3A4,cyp_IC50
O=C(CCc1nc(-c2ccc(O)cn2)no1)Nc1ccccc1C(=O)O,O=C(CCc1nc(-c2ccc(O)cn2)no1)Nc1ccccc1C(=O)O,42.0,1.6232,CHEMBL1138322,ChEMBL,CYP2C9,cyp_IC50
O=C(NCc1ccccc1OC(F)(F)F)N1CCC(Oc2ncccn2)CC1,O=C(NCc1ccccc1OC(F)(F)F)N1CCC(Oc2ncccn2)CC1,10.2,1.0086,CHEMBL1155546,ChEMBL,CYP2C9,cyp_IC50
COc1ccc2c(c1)CC(CCN(C)C)=C2[C@@H](C)c1cnccn1,COc1ccc2c(c1)CC(CCN(C)C)=C2[C@@H](C)c1cnccn1,12.0,1.0792,CHEMBL1156971,ChEMBL,CYP2D6,cyp_IC50
COc1cncc(-c2ccc(CN3CCC4(CC3)C(=O)N(c3cccc(OC)c3)C(=O)N4Cc3ccccc3F)cc2)c1,COc1cncc(-c2ccc(CN3CCC4(CC3)C(=O)N(c3cccc(OC)c3)C(=O)N4Cc3ccccc3F)cc2)c1,2.0,0.301,CHEMBL1144637,ChEMBL,CYP3A4,cyp_IC50
CC(C)(Cc1nc(-c2ccc(O)cn2)no1)C(=O)NC1=C(C(=O)O)CCCC1,CC(C)(Cc1nc(-c2ccc(O)cn2)no1)C(=O)NC1=C(C(=O)O)CCCC1,39.0,1.5911,CHEMBL1155429,ChEMBL,CYP2C9,cyp_IC50
Cc1ncccc1Oc1ncc(Cl)cc1NS(=O)(=O)c1ccc(Cl)c(Cl)c1,Cc1ncccc1Oc1ncc(Cl)cc1NS(=O)(=O)c1ccc(Cl)c(Cl)c1,1.34896,0.13,CHEMBL1177762,ChEMBL,CYP2C9,cyp_IC50
COc1ccc(C[C@H](C)CN2C[C@@H]3CCCC[C@@H]3[C@H](C(=O)N3CCN(c4ccc(F)c(F)c4)CC3)C2)cn1,COc1ccc(C[C@H](C)CN2C[C@@H]3CCCC[C@@H]3[C@H](C(=O)N3CCN(c4ccc(F)c(F)c4)CC3)C2)cn1.O=C(O)/C=C/C(=O)O,6.5,0.8129,CHEMBL1154945,ChEMBL,CYP2D6,cyp_IC50
Oc1ccc(-c2ccc(Cc3ccncc3)cc2)cc1F,Oc1ccc(-c2ccc(Cc3ccncc3)cc2)cc1F,0.896,-0.0477,CHEMBL1177736,ChEMBL,CYP3A4,cyp_IC50
Cc1c[nH]c2c(Nc3cccc(Cl)c3)ncc(C(=O)N3CCOCC3)c12,Cc1c[nH]c2c(Nc3cccc(Cl)c3)ncc(C(=O)N3CCOCC3)c12,4.7,0.6721,CHEMBL1156052,ChEMBL,CYP2C9,cyp_IC50
O=C1CCCN1Cc1ccc(-n2nc(C(F)(F)F)c3c2CCCC3)cc1,O=C1CCCN1Cc1ccc(-n2nc(C(F)(F)F)c3c2CCCC3)cc1,5.0,0.699,CHEMBL1649062,ChEMBL,CYP2C9,cyp_IC50
COc1cccc(-c2cn(Cc3c(F)cccc3C(F)(F)F)c(=O)n(C[C@H](NCCCC(=O)O)c3ccccc3)c2=O)c1F,COc1cccc(-c2cn(Cc3c(F)cccc3C(F)(F)F)c(=O)n(C[C@H](NCCCC(=O)O)c3ccccc3)c2=O)c1F,36.0,1.5563,CHEMBL1140215,ChEMBL,CYP3A4,cyp_IC50
CCCCC1(c2ccc3[nH]ccc3c2)CCNC1,CCCCC1(c2ccc3[nH]ccc3c2)CCNC1,3.4,0.5315,CHEMBL1152295,ChEMBL,CYP2D6,cyp_IC50
CN(C)C(=O)c1cc2cc(C3(Cc4ccccc4)CCNC3)ccc2[nH]1,CN(C)C(=O)c1cc2cc(C3(Cc4ccccc4)CCNC3)ccc2[nH]1,2.9,0.4624,CHEMBL1152295,ChEMBL,CYP2D6,cyp_IC50
c1ccc(CC2(c3c[nH]c4ccccc34)CCNC2)cc1,c1ccc(CC2(c3c[nH]c4ccccc34)CCNC2)cc1,1.8,0.2553,CHEMBL1152295,ChEMBL,CYP2D6,cyp_IC50
N#Cc1cc(Cl)cc(Oc2cc(OCc3n[nH]c4nc(N)ccc34)cc(F)c2Cl)c1,N#Cc1cc(Cl)cc(Oc2cc(OCc3n[nH]c4nc(N)ccc34)cc(F)c2Cl)c1,4.4,0.6435,CHEMBL1156144,ChEMBL,CYP3A4,cyp_IC50
COCCN1CCN(c2cc(C)c3nc(-c4c(NC[C@@H](O)c5cccc(Cl)c5)cc[nH]c4=O)[nH]c3c2)CC1,COCCN1CCN(c2cc(C)c3nc(-c4c(NC[C@@H](O)c5cccc(Cl)c5)cc[nH]c4=O)[nH]c3c2)CC1,2.9,0.4624,CHEMBL1157113,ChEMBL,CYP3A4,cyp_IC50
Cc1cc(N2CCN(CCCF)CC2)cc2[nH]c(-c3c(NC[C@@H](O)c4cccc(Cl)c4)cc[nH]c3=O)nc12,Cc1cc(N2CCN(CCCF)CC2)cc2[nH]c(-c3c(NC[C@@H](O)c4cccc(Cl)c4)cc[nH]c3=O)nc12,0.45,-0.3468,CHEMBL1157113,ChEMBL,CYP3A4,cyp_IC50
C[C@@H](Oc1cc(-n2cnc3cc(-c4ccnc(N5CCOCC5)c4)ccc32)sc1C(N)=O)c1ccccc1C(F)(F)F,C[C@@H](Oc1cc(-n2cnc3cc(-c4ccnc(N5CCOCC5)c4)ccc32)sc1C(N)=O)c1ccccc1C(F)(F)F,2.8,0.4472,CHEMBL1208730,ChEMBL,CYP3A4,cyp_IC50
C[C@@H](Oc1cc(-n2cnc3cc(-c4cnn(CCN5CCN(C)CC5)c4)ccc32)sc1C(N)=O)c1ccccc1Cl,C[C@@H](Oc1cc(-n2cnc3cc(-c4cnn(CCN5CCN(C)CC5)c4)ccc32)sc1C(N)=O)c1ccccc1Cl,1.9,0.2788,CHEMBL1208730,ChEMBL,CYP3A4,cyp_IC50
CC(C)N1CCC(Oc2ccc3c(c2)cc2n3CCN(Cc3ccncc3)C2=O)CC1,CC(C)N1CCC(Oc2ccc3c(c2)cc2n3CCN(Cc3ccncc3)C2=O)CC1,6.0,0.7782,CHEMBL1255546,ChEMBL,CYP3A4,cyp_IC50
Cc1ccc2c(c1)CC(CCN(C)C)=C2Cc1cnccn1,Cc1ccc2c(c1)CC(CCN(C)C)=C2Cc1cnccn1,6.6,0.8195,CHEMBL1156971,ChEMBL,CYP2D6,cyp_IC50
CN(C)CCC1=C(Cc2cccnn2)c2ccc(Cl)cc2C1,CN(C)CCC1=C(Cc2cccnn2)c2ccc(Cl)cc2C1,12.0,1.0792,CHEMBL1156971,ChEMBL,CYP2D6,cyp_IC50
COc1cc(C[C@H]2COC(=O)[C@@H]2Cc2cc(OC)c3c(c2)OCO3)cc(OC)c1O,COc1cc(C[C@H]2COC(=O)[C@@H]2Cc2cc(OC)c3c(c2)OCO3)cc(OC)c1O,7.4,0.8692,CHEMBL1158685,ChEMBL,CYP3A4,cyp_IC50
CCOc1cc(C[C@H]2COC(O)[C@@H]2Cc2cc(OC)c(OC)c(OC)c2)cc2c1OCO2,CCOc1cc(C[C@H]2COC(O)[C@@H]2Cc2cc(OC)c(OC)c(OC)c2)cc2c1OCO2,0.44,-0.3565,CHEMBL1158685,ChEMBL,CYP3A4,cyp_IC50
COc1cc(C[C@@H](CO)[C@H](CO)Cc2ccc3c(c2)OCO3)cc(OC)c1OC,COc1cc(C[C@@H](CO)[C@H](CO)Cc2ccc3c(c2)OCO3)cc(OC)c1OC,0.8,-0.0969,CHEMBL1158685,ChEMBL,CYP3A4,cyp_IC50
Cc1cnn(C2CCN(c3nc4ccccc4n3Cc3ccc(F)cc3)CC2)c1,Cc1cnn(C2CCN(c3nc4ccccc4n3Cc3ccc(F)cc3)CC2)c1,5.4,0.7324,CHEMBL1157885,ChEMBL,CYP2D6,cyp_IC50
CN(CC1CCOCC1)C1CCN(c2nc3ccccc3n2Cc2ccc(F)cc2)CC1,CN(CC1CCOCC1)C1CCN(c2nc3ccccc3n2Cc2ccc(F)cc2)CC1,11.0,1.0414,CHEMBL1157885,ChEMBL,CYP2D6,cyp_IC50
COc1cc(/C=C2\CC/C(=C\c3cc(OC)c(O)c(OC)c3)C2=O)cc(OC)c1O,COc1cc(/C=C2\CC/C(=C\c3cc(OC)c(O)c(OC)c3)C2=O)cc(OC)c1O,38.3,1.5832,CHEMBL1141678,ChEMBL,CYP3A4,cyp_IC50
