Smiles_unify,Smiles,value,unit,species,conc,Presence of NADPH/NADP,source
Cc1ccc2c(OCCN3CCC(Cc4cccc(N5CCN(C)CC5)c4)CC3)cccc2n1,Cc1ccc2c(OCCN3CCC(Cc4cccc(N5CCN(C)CC5)c4)CC3)cccc2n1,0.2041199826559248,log10(mL.min-1.g-1),human,none,none,CHEMBL1035845
COCCc1sc(S(=O)(=O)NC(=O)Nc2cc(C(F)(F)F)cc(C)n2)cc1C,COCCc1sc(S(=O)(=O)NC(=O)Nc2cc(C(F)(F)F)cc(C)n2)cc1C,1.4913616938342726,log10(mL.min-1.g-1),mouse,none,none,CHEMBL1780259
Cc1cc(Nc2cc(C)c(C#N)c(N[C@@H](C)CCCC(C)(C)O)n2)n[nH]1,Cc1cc(Nc2cc(C)c(C#N)c(N[C@@H](C)CCCC(C)(C)O)n2)n[nH]1,1.6989700043360187,log10(mL.min-1.g-1),human,none,none,CHEMBL1781318
C[C@H](O)[C@@H](CCc1cccc2oc(-c3ccc(Cl)cc3)nc12)n1cnc(C(N)=O)c1,C[C@H](O)[C@@H](CCc1cccc2oc(-c3ccc(Cl)cc3)nc12)n1cnc(C(N)=O)c1,1.6989700043360187,log10(mL.min-1.g-1),rat,none,none,CHEMBL828375
COc1cc(N2CCN(C(=O)N[C@@H](C)c3cccc4ccccc34)C[C@H]2C)ccc1-c1cnc(C)o1,COc1cc(N2CCN(C(=O)N[C@@H](C)c3cccc4ccccc34)C[C@H]2C)ccc1-c1cnc(C)o1,2.1760912590556813,log10(mL.min-1.g-1),rat,none,none,CHEMBL3405286
COc1cc(N2CCN(C(=O)N[C@@H](C)c3cccc4ccccc34)C[C@@H]2C)ccc1-c1cnc(C)o1,COc1cc(N2CCN(C(=O)N[C@@H](C)c3cccc4ccccc34)C[C@@H]2C)ccc1-c1cnc(C)o1,2.1760912590556813,log10(mL.min-1.g-1),rat,none,none,CHEMBL3405286
CC1C(=O)NN=C2COc3cc(F)c(NC4CNC4)cc3N21,CC1C(=O)NN=C2COc3cc(F)c(NC4CNC4)cc3N21,1.6989700043360187,log10(mL.min-1.g-1),rat,none,none,CHEMBL3362651
CC1CCC(NC(=O)c2cc3cc(Cl)c(Cl)cc3[nH]2)CC1,CC1CCC(NC(=O)c2cc3cc(Cl)c(Cl)cc3[nH]2)CC1,1.865103974641128,log10(mL.min-1.g-1),mouse,none,none,CHEMBL3090443
Cn1ccnc1-c1ccc([C@H]2[C@H](C(=O)NO)[C@@H]2c2ccccc2)cc1,Cn1ccnc1-c1ccc([C@H]2[C@H](C(=O)NO)[C@@H]2c2ccccc2)cc1,2.57978359661681,log10(mL.min-1.g-1),mouse,none,none,CHEMBL3112163
N[C@H]1CCCN(c2ccncc2Nc2ncc3ccc(-c4ncccc4F)nn23)C1,N[C@H]1CCCN(c2ccncc2Nc2ncc3ccc(-c4ncccc4F)nn23)C1,1.6020599913279623,log10(mL.min-1.g-1),rat,1 uM,none,CHEMBL3864809
N[C@H]1CCCN(c2ccncc2Nc2ncc3ccc(-c4ncccc4Cl)nn23)C1,N[C@H]1CCCN(c2ccncc2Nc2ncc3ccc(-c4ncccc4Cl)nn23)C1,1.7634279935629373,log10(mL.min-1.g-1),rat,1 uM,none,CHEMBL3864809
C[C@@H]1CC[C@H](N)CN1c1ccncc1Nc1ncc2ccc(-c3c(F)cccc3F)nn12,C[C@@H]1CC[C@H](N)CN1c1ccncc1Nc1ncc2ccc(-c3c(F)cccc3F)nn12,2.307496037913213,log10(mL.min-1.g-1),human,1 uM,none,CHEMBL3864810
COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,2.8825245379548803,log10(mL.min-1.g-1),mouse,in presence of NADPH,mouse microsome,CHEMBL1645623
CCCc1cc(C(O)(C(F)(F)F)C(F)(F)F)ccc1Oc1ccc(C(=O)CN2C(=O)NC(C)(c3ccc(OC(C)C)cc3)C2=O)c(O)c1,CCCc1cc(C(O)(C(F)(F)F)C(F)(F)F)ccc1Oc1ccc(C(=O)CN2C(=O)NC(C)(c3ccc(OC(C)C)cc3)C2=O)c(O)c1,1.8808135922807914,log10(mL.min-1.g-1),mouse,1 umol/L,none,CHEMBL3815377
NC(=O)c1c(NC(=O)Cn2nc(C(F)(F)F)c3c2CCNC3)sc2c1CCCC2,NC(=O)c1c(NC(=O)Cn2nc(C(F)(F)F)c3c2CCNC3)sc2c1CCCC2,1.5185139398778875,log10(mL.min-1.g-1),rat,none,none,CHEMBL1260596
Cc1cc(C)c(S(=O)(=O)N[C@@H](C)CNc2cccc3c2cnn3-c2ccc(F)cc2)c(C)c1,Cc1cc(C)c(S(=O)(=O)N[C@@H](C)CNc2cccc3c2cnn3-c2ccc(F)cc2)c(C)c1,1.8920946026904804,log10(mL.min-1.g-1),human,none,none,CHEMBL3268088
c1cc(Nc2nccc(-c3cnc(NC4CCOCC4)nc3CC3CC3)n2)ccn1,c1cc(Nc2nccc(-c3cnc(NC4CCOCC4)nc3CC3CC3)n2)ccn1,1.8182258936139555,log10(mL.min-1.g-1),mouse,none,none,CHEMBL3784183
c1ccc(CNc2ncc(-c3ccnc(Nc4ccncc4)n3)c(CC3CC3)n2)cc1,c1ccc(CNc2ncc(-c3ccnc(Nc4ccncc4)n3)c(CC3CC3)n2)cc1,1.8739015978644613,log10(mL.min-1.g-1),mouse,none,none,CHEMBL3784183
CC(C)(O)CNc1ncc(-c2ccnc(Nc3ccncc3)n2)c(CC2CC2)n1,CC(C)(O)CNc1ncc(-c2ccnc(Nc3ccncc3)n2)c(CC2CC2)n1,1.8007170782823851,log10(mL.min-1.g-1),mouse,none,none,CHEMBL3784183
CCC(=O)Nc1cccc(Cc2n[nH]c(=O)c3ccccc23)c1,CCC(=O)Nc1cccc(Cc2n[nH]c(=O)c3ccccc23)c1,1.0791812460476249,log10(mL.min-1.g-1),mouse,none,none,CHEMBL840499
C[C@@H]1CN(c2nnc(C(F)(F)F)o2)CCN1c1ncc(OCc2ccncc2C#N)cn1,C[C@@H]1CN(c2nnc(C(F)(F)F)o2)CCN1c1ncc(OCc2ccncc2C#N)cn1,1.5314789170422551,log10(mL.min-1.g-1),human,none,none,CHEMBL3226218
CNC(=O)[C@@]12C[C@@H]1[C@@H](n1cnc3c(NC(C4CC4)C4CC4)nc(Cl)nc31)[C@H](O)[C@@H]2O,CNC(=O)[C@@]12C[C@@H]1[C@@H](n1cnc3c(NC(C4CC4)C4CC4)nc(Cl)nc31)[C@H](O)[C@@H]2O,0.24303804868629444,log10(mL.min-1.g-1),human,none,none,CHEMBL3863900
C[C@@H]1CCOc2cc(F)c(-c3cnn(CCN(C)C)c3)cc2C(=O)Nc2cccc(n2)-c2nncn2C1,C[C@@H]1CCOc2cc(F)c(-c3cnn(CCN(C)C)c3)cc2C(=O)Nc2cccc(n2)-c2nncn2C1,1.6232492903979006,log10(mL.min-1.g-1),human,none,none,CHEMBL4324214
COc1cccc(C(=O)NCCNC(=O)[C@H](CC(=O)NC(C)(C)C)NS(=O)(=O)c2ccc(C)cc2)c1,COc1cccc(C(=O)NCCNC(=O)[C@H](CC(=O)NC(C)(C)C)NS(=O)(=O)c2ccc(C)cc2)c1,2.060697840353612,log10(mL.min-1.g-1),rat,none,none,CHEMBL4364861
COc1cc2[nH]c(=O)c([C@H](C)Nc3ncc(C#N)c(OC)n3)cc2cc1Cl,COc1cc2[nH]c(=O)c([C@H](C)Nc3ncc(C#N)c(OC)n3)cc2cc1Cl,3.8573324964312685,log10(mL.min-1.g-1),human,none,none,CHEMBL4360281
CCC1=C(c2cccc(O)c2)[C@H](c2ccc(OCCN3CC(CF)C3)cc2)Oc2ccc(O)cc21,CCC1=C(c2cccc(O)c2)[C@H](c2ccc(OCCN3CC(CF)C3)cc2)Oc2ccc(O)cc21,1.591064607026499,log10(mL.min-1.g-1),rat,none,none,CHEMBL4390562
CC1=C(c2ccc(F)cc2)[C@H](c2ccc(OCCN3CC(CF)C3)cc2)Oc2ccc(O)cc21,CC1=C(c2ccc(F)cc2)[C@H](c2ccc(OCCN3CC(CF)C3)cc2)Oc2ccc(O)cc21,1.0,log10(mL.min-1.g-1),human,none,none,CHEMBL4390561
CC1=C(c2ccc(F)cc2)[C@H](c2ccc(OCCN3CC(CF)C3)cc2)Oc2c(O)cccc21,CC1=C(c2ccc(F)cc2)[C@H](c2ccc(OCCN3CC(CF)C3)cc2)Oc2c(O)cccc21,0.9542425094393249,log10(mL.min-1.g-1),human,none,none,CHEMBL4390561
CC1=C(C2CCCCC2)[C@H](c2ccc(OCCN3CC(CF)C3)cc2)Oc2ccc(O)cc21,CC1=C(C2CCCCC2)[C@H](c2ccc(OCCN3CC(CF)C3)cc2)Oc2ccc(O)cc21,1.568201724066995,log10(mL.min-1.g-1),rat,none,none,CHEMBL4390562
CSc1ncccc1C(=O)N[C@H](c1ccccc1)C12CCC(CC1)CN2C,CSc1ncccc1C(=O)N[C@H](c1ccccc1)C12CCC(CC1)CN2C,1.8808135922807914,log10(mL.min-1.g-1),human,none,none,CHEMBL4221492
COc1cncc(Cl)c1C(=O)N[C@H](c1ccccc1)C12CCC(CC1)CN2C,COc1cncc(Cl)c1C(=O)N[C@H](c1ccccc1)C12CCC(CC1)CN2C,1.6532125137753437,log10(mL.min-1.g-1),human,none,none,CHEMBL4221492
Cc1noc(C)c1-c1cc(O)cc(CN2CCC(F)(F)CC2)c1,Cc1noc(C)c1-c1cc(O)cc(CN2CCC(F)(F)CC2)c1,1.7109631189952756,log10(mL.min-1.g-1),human,3 uM,none,CHEMBL4123153
CNC1(c2ccccc2Cl)CCCCC1=O,CNC1(c2ccccc2Cl)CCCCC1=O,2.1335389083702174,log10(mL.min-1.g-1),human,none,none,CHEMBL1020693
CC(C)CN(CC(=O)Nc1cc(F)cc(F)c1)C(=O)c1ccc(-c2ccccn2)cc1,CC(C)CN(CC(=O)Nc1cc(F)cc(F)c1)C(=O)c1ccc(-c2ccccn2)cc1,0.11394335230683679,log10(mL.min-1.g-1),human,none,none,CHEMBL1838610
CCC(COC)N(CC(=O)Nc1cc(F)cc(F)c1)C(=O)c1ccc(-c2ccccn2)cc1,CCC(COC)N(CC(=O)Nc1cc(F)cc(F)c1)C(=O)c1ccc(-c2ccccn2)cc1,0.9822712330395684,log10(mL.min-1.g-1),human,none,none,CHEMBL1838610
CCOC(=O)c1c(-c2ccc(O)cc2)oc2ccc(O)c(CN3CCCCC3)c12,CCOC(=O)c1c(-c2ccc(O)cc2)oc2ccc(O)c(CN3CCCCC3)c12,1.8674674878590516,log10(mL.min-1.g-1),human,none,none,CHEMBL4392106
C[C@H](NC(=O)c1ncccn1)c1ccc(NC(=O)[C@H]2C[C@@H]2c2cccnc2)cc1,C[C@H](NC(=O)c1ncccn1)c1ccc(NC(=O)[C@H]2C[C@@H]2c2cccnc2)cc1,1.5843312243675307,log10(mL.min-1.g-1),mouse,none,none,CHEMBL4184895
Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(N)=O)cc34)cc2)cn1,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(N)=O)cc34)cc2)cn1,1.1139433523068367,log10(mL.min-1.g-1),mouse,none,none,CHEMBL3779195
Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CCCC5)cc34)cc2)cn1,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CCCC5)cc34)cc2)cn1,2.2227164711475833,log10(mL.min-1.g-1),mouse,none,none,CHEMBL3779195
Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CCNCC5)cc34)cc2)cn1,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CCNCC5)cc34)cc2)cn1,1.724275869600789,log10(mL.min-1.g-1),mouse,none,none,CHEMBL3779195
NC1CCc2c(Br)ccc(-c3ccccc3)c2CC1=O,Cl.NC1CCc2c(Br)ccc(-c3ccccc3)c2CC1=O,1.2787536009528289,log10(mL.min-1.g-1),human,none,none,CHEMBL3599791
CC(=O)N(O)C(CS(=O)(=O)c1ccc(-c2cccc(CNC(=O)c3nc4ccccc4c(=O)[nH]3)c2)cc1)C(C)C,CC(=O)N(O)C(CS(=O)(=O)c1ccc(-c2cccc(CNC(=O)c3nc4ccccc4c(=O)[nH]3)c2)cc1)C(C)C,2.3979400086720375,log10(mL.min-1.g-1),rat,none,none,CHEMBL3868411
Cc1ncoc1-c1nnc(SCCCN2CC[C@@]3(C[C@@H]3c3ccc(C(F)(F)F)cc3F)C2)n1C,Cc1ncoc1-c1nnc(SCCCN2CC[C@@]3(C[C@@H]3c3ccc(C(F)(F)F)cc3F)C2)n1C,1.3010299956639813,log10(mL.min-1.g-1),human,0.5 uM,none,CHEMBL3855298
Cc1ccc(-c2nnc(SCCCN3CC[C@]4(C[C@@H]4c4ccc(C(F)(F)F)cc4)C3)n2C)c(C)n1,Cc1ccc(-c2nnc(SCCCN3CC[C@]4(C[C@@H]4c4ccc(C(F)(F)F)cc4)C3)n2C)c(C)n1,2.4756711883244296,log10(mL.min-1.g-1),human,0.5 uM,none,CHEMBL3855298
Cn1c(SCCCN2CC[C@]3(C[C@@H]3c3ccc(C(F)(F)F)cc3)C2)nnc1C1=CCC(=O)N=C1,Cn1c(SCCCN2CC[C@]3(C[C@@H]3c3ccc(C(F)(F)F)cc3)C2)nnc1C1=CCC(=O)N=C1,1.4471580313422192,log10(mL.min-1.g-1),human,0.5 uM,none,CHEMBL3855298
Cn1c(SCCCN2CC[C@]3(C[C@@H]3c3ccc(C(F)(F)F)cc3)C2)nnc1C1CC2CCC(C1)O2,Cn1c(SCCCN2CC[C@]3(C[C@@H]3c3ccc(C(F)(F)F)cc3)C2)nnc1C1CC2CCC(C1)O2,1.6989700043360187,log10(mL.min-1.g-1),human,0.5 uM,none,CHEMBL3855298
COc1cc(-c2nnc3n2CCCC3(Cc2ccc(F)c(F)c2)C(=O)O)ccc1-c1cnc(C)o1,COc1cc(-c2nnc3n2CCCC3(Cc2ccc(F)c(F)c2)C(=O)O)ccc1-c1cnc(C)o1,2.1702617153949575,log10(mL.min-1.g-1),mouse,1 umol/L,none,CHEMBL3815586
COc1cc(N2CCCN(C(=O)N[C@@H](C)c3cccc4ccccc34)CC2)ccc1-c1cnc(C)o1,COc1cc(N2CCCN(C(=O)N[C@@H](C)c3cccc4ccccc34)CC2)ccc1-c1cnc(C)o1,2.380211241711606,log10(mL.min-1.g-1),rat,none,none,CHEMBL3405286
CNCc1cn(CC(=O)Nc2sc3c(c2C(N)=O)CCCC3)nc1C(C)(C)C,CNCc1cn(CC(=O)Nc2sc3c(c2C(N)=O)CCCC3)nc1C(C)(C)C,1.1760912590556813,log10(mL.min-1.g-1),human,none,none,CHEMBL1260595
CNCc1cn(CC(=O)Nc2sc3c(c2C(=O)NC)CCCC3)nc1C(F)(F)F,CNCc1cn(CC(=O)Nc2sc3c(c2C(=O)NC)CCCC3)nc1C(F)(F)F,1.2041199826559248,log10(mL.min-1.g-1),human,none,none,CHEMBL1260595
C[C@@H](N[C@@H]1CCCN(c2cccc(C(F)(F)F)c2)C1)c1cccc2ccccc12,C[C@@H](N[C@@H]1CCCN(c2cccc(C(F)(F)F)c2)C1)c1cccc2ccccc12.Cl.Cl,2.785329835010767,log10(mL.min-1.g-1),rat,none,none,CHEMBL4122636
C[C@@H](N[C@H]1CCN(c2cccc(OC(F)(F)F)c2)C1)c1cccc2ccccc12,C[C@@H](N[C@H]1CCN(c2cccc(OC(F)(F)F)c2)C1)c1cccc2ccccc12.Cl.Cl,2.24551266781415,log10(mL.min-1.g-1),rat,none,none,CHEMBL4122636
COc1cc(N2CCN(C(=O)CN3CCc4ccccc43)CC2)ccc1-c1cnc(C)o1,COc1cc(N2CCN(C(=O)CN3CCc4ccccc43)CC2)ccc1-c1cnc(C)o1,2.2041199826559246,log10(mL.min-1.g-1),rat,none,none,CHEMBL3405286
COC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(-n2c(C)ccc2CN2CCN(C)CC2)cc1)c1ccccc1,COC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(-n2c(C)ccc2CN2CCN(C)CC2)cc1)c1ccccc1,1.9136549350866199,log10(mL.min-1.g-1),human,none,none,CHEMBL4623215
Cc1cc(C)c(-c2cccnc2)cc1NC(=O)c1ccc(OCc2ccccn2)cc1,Cc1cc(C)c(-c2cccnc2)cc1NC(=O)c1ccc(OCc2ccccn2)cc1,1.792391689498254,log10(mL.min-1.g-1),human,none,none,CHEMBL4610907
CP(C)(=O)c1ccc2c(c1)[C@@H](O)[C@H]([C@H]1c3ccccc3-c3cncn31)CC2,CP(C)(=O)c1ccc2c(c1)[C@@H](O)[C@H]([C@H]1c3ccccc3-c3cncn31)CC2,1.591064607026499,log10(mL.min-1.g-1),mouse,none,none,CHEMBL4345903
Cc1ccc(C(=O)Nc2cn3ncnc3c(CN3CCN(C(=O)C4CCCC4)[C@@H](C)C3)c2C)cn1,Cc1ccc(C(=O)Nc2cn3ncnc3c(CN3CCN(C(=O)C4CCCC4)[C@@H](C)C3)c2C)cn1,1.505149978319906,log10(mL.min-1.g-1),human,none,none,CHEMBL4345876
O[C@@H]1CC[C@H]1[C@H]1c2ccccc2-c2cncn21,O[C@@H]1CC[C@H]1[C@H]1c2ccccc2-c2cncn21,1.4313637641589874,log10(mL.min-1.g-1),rat,none,none,CHEMBL4345902
COc1cc2ccc(Br)cc2cc1[C@@H](c1ccnc(OC)c1OC)[C@@](O)(CCN(C)C)c1cc2ccccc2o1,COc1cc2ccc(Br)cc2cc1[C@@H](c1ccnc(OC)c1OC)[C@@](O)(CCN(C)C)c1cc2ccccc2o1,1.4771212547196624,log10(mL.min-1.g-1),human,1 uM,none,CHEMBL4221369
Cn1cc2c3c(c[nH]c3c1=O)CN(C1CCC(F)(F)CC1)c1ccc(CS(C)(=O)=O)cc1-2,Cn1cc2c3c(c[nH]c3c1=O)CN(C1CCC(F)(F)CC1)c1ccc(CS(C)(=O)=O)cc1-2,2.425974160919376,log10(mL.min-1.g-1),mouse,none,unbound,CHEMBL4194888
CNS(=O)(=O)Nc1nnc2cc(OCC34CCC(F)(CC3)CC4)c(C3CC3)cn12,CNS(=O)(=O)Nc1nnc2cc(OCC34CCC(F)(CC3)CC4)c(C3CC3)cn12,0.9084850188786497,log10(mL.min-1.g-1),human,1 uM,none,CHEMBL4256611
CCCCCOc1ccc(-c2nc(CNC[C@@H]3CC[C@H]4C[C@@H]3C4(C)C)co2)cc1,CCCCCOc1ccc(-c2nc(CNC[C@@H]3CC[C@H]4C[C@@H]3C4(C)C)co2)cc1,1.8692317197309762,log10(mL.min-1.g-1),mouse,1uM,none,CHEMBL1862765
CCN(O)c1ccc(Cl)c2nc3n(c12)CCCN3c1ccc(Cl)cc1Cl,CCN(O)c1ccc(Cl)c2nc3n(c12)CCCN3c1ccc(Cl)cc1Cl,1.462397997898956,log10(mL.min-1.g-1),human,none,none,CHEMBL4221052
Cc1cccc(CNC(c2ccccc2)c2nc(Cc3ccccc3)c(N3CCOCC3)o2)c1,Cc1cccc(CNC(c2ccccc2)c2nc(Cc3ccccc3)c(N3CCOCC3)o2)c1,2.3364597338485296,log10(mL.min-1.g-1),mouse,1uM,none,CHEMBL1862765
CCCCc1ccc(-c2nc(CNCc3cccnc3)co2)cc1,CCCCc1ccc(-c2nc(CNCc3cccnc3)co2)cc1,1.6434526764861874,log10(mL.min-1.g-1),mouse,1uM,none,CHEMBL1862765
CCCCc1ccc(-c2nc(CN3CCN(C)CC3)co2)cc1,CCCCc1ccc(-c2nc(CN3CCN(C)CC3)co2)cc1,1.4913616938342726,log10(mL.min-1.g-1),mouse,1uM,none,CHEMBL1862765
CCCCCC(C)NCc1coc(-c2ccc(C(C)C)cc2)n1,CCCCCC(C)NCc1coc(-c2ccc(C(C)C)cc2)n1,1.5563025007672873,log10(mL.min-1.g-1),mouse,1uM,none,CHEMBL1862765
CC(C)(C)CNCc1coc(-c2ccc(OCC(C)(C)C)cc2)n1,CC(C)(C)CNCc1coc(-c2ccc(OCC(C)(C)C)cc2)n1,0.47712125471966244,log10(mL.min-1.g-1),mouse,1uM,none,CHEMBL1862765
CCCCCC(C)NCc1coc(-c2ccc(OCC)cc2)n1,CCCCCC(C)NCc1coc(-c2ccc(OCC)cc2)n1,1.5563025007672873,log10(mL.min-1.g-1),mouse,1uM,none,CHEMBL1862765
COc1ccc(N/C(=N/O)c2ccccc2-c2ccccc2)cc1,COc1ccc(N/C(=N/O)c2ccccc2-c2ccccc2)cc1,2.220108088040055,log10(mL.min-1.g-1),mouse,1uM,none,CHEMBL1862765
O=C(NO)[C@@H]1[C@H](c2ccccc2)[C@H]1c1ccnc(C2CC2)c1,O=C(NO)[C@@H]1[C@H](c2ccccc2)[C@H]1c1ccnc(C2CC2)c1,2.5646660642520893,log10(mL.min-1.g-1),mouse,none,none,CHEMBL3112163
CC1(C)CN(Cc2ccc3c(c2)OCO3)C1,CC1(C)CN(Cc2ccc3c(c2)OCO3)C1,4.204119982655925,log10(mL.min-1.g-1),mouse,2 uM,none,CHEMBL1118304
Cc1cc(C)c(-c2nc3ccccc3[nH]2)cc1NC(=O)c1ccc(OCc2ccccn2)cc1,Cc1cc(C)c(-c2nc3ccccc3[nH]2)cc1NC(=O)c1ccc(OCc2ccccn2)cc1,1.4771212547196624,log10(mL.min-1.g-1),human,none,none,CHEMBL4610907
Cc1cc(C)c(-c2cccc(N)n2)cc1NC(=O)c1ccc(OCc2ccccn2)cc1,Cc1cc(C)c(-c2cccc(N)n2)cc1NC(=O)c1ccc(OCc2ccccn2)cc1,1.9444826721501687,log10(mL.min-1.g-1),human,none,none,CHEMBL4610907
COC1CCN(C(=O)c2cc3cc(OC4CCN(C(C)C)CC4)ccc3[nH]2)CC1,COC1CCN(C(=O)c2cc3cc(OC4CCN(C(C)C)CC4)ccc3[nH]2)CC1,4.301029995663981,log10(mL.min-1.g-1),rat,2 uM,none,CHEMBL1008303
CC(C)N1CCC(Oc2ccc3[nH]c(C(=O)N4CCC(O)C4)cc3c2)CC1,CC(C)N1CCC(Oc2ccc3[nH]c(C(=O)N4CCC(O)C4)cc3c2)CC1,3.6989700043360187,log10(mL.min-1.g-1),rat,2 uM,none,CHEMBL1008303
O=C(NC1CCN(C(=O)C2CC2)CC1)c1ccc(Oc2ccc(C#C[C@]3(O)CN4CCC3CC4)cc2)cc1,O=C(NC1CCN(C(=O)C2CC2)CC1)c1ccc(Oc2ccc(C#C[C@]3(O)CN4CCC3CC4)cc2)cc1,0.568201724066995,log10(mL.min-1.g-1),human,none,none,CHEMBL1943708
O/N=C(\NC1CCCCC1)c1ccccc1Cc1ccccc1,O/N=C(\NC1CCCCC1)c1ccccc1Cc1ccccc1,2.5809249756756194,log10(mL.min-1.g-1),mouse,1uM,none,CHEMBL1862765
CCCNC(=O)C1(c2ccc(NC(=O)c3cccc(Cl)c3)cc2)CCC1,CCCNC(=O)C1(c2ccc(NC(=O)c3cccc(Cl)c3)cc2)CCC1,3.8573324964312685,log10(mL.min-1.g-1),rat,none,unbound intrinsic clearance,CHEMBL4605763
C[C@H]1CC[C@H](NC(=O)c2cc3c(F)cc(F)cc3[nH]2)CC1,C[C@H]1CC[C@H](NC(=O)c2cc3c(F)cc(F)cc3[nH]2)CC1,2.173186268412274,log10(mL.min-1.g-1),mouse,none,none,CHEMBL3090443
COP(=O)(c1ccc2nc(-c3ccc(F)cc3)oc2c1)C(C)C,COP(=O)(c1ccc2nc(-c3ccc(F)cc3)oc2c1)C(C)C,1.7185016888672742,log10(mL.min-1.g-1),mouse,none,none,CHEMBL4621467
