Smiles_unify,Smiles,value,source,concentration,spec,property
CCO[C@@H](CC(=O)O)c1ccc(O[C@@H]2COc3c2cccc3C(F)(F)F)nc1,CCO[C@@H](CC(=O)O)c1ccc(O[C@@H]2COc3c2cccc3C(F)(F)F)nc1,97.5,CHEMBL3607678,,Human,ppb
CSc1cc(C)[nH]c(=O)c1CNC(=O)c1c(C)n([C@H](C)[C@H]2CC[C@H](N3CC(OC4CC4)C3)CC2)c2ncccc12,CSc1cc(C)[nH]c(=O)c1CNC(=O)c1c(C)n([C@H](C)[C@H]2CC[C@H](N3CC(OC4CC4)C3)CC2)c2ncccc12,97.0,CHEMBL4618950,,Human,ppb
O=C1Nc2c(O)cc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1,O=C1Nc2c(O)cc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1,96.2,CHEMBL3532722,100 mg,Human Seminal Plasma,ppb
O=C1Nc2cc(O)c(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1,O=C1Nc2cc(O)c(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1,38.09,CHEMBL3532722,100 mg,Human Seminal Plasma,ppb
C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,97.6,CHEMBL4481556,5 uM,Human Plasma,ppb
COc1cc([C@](O)(CCN(C)C)[C@@H](c2cc3cc(C#N)ccc3nc2OC)c2cccc3c2OCCO3)cc(OC)n1,COc1cc([C@](O)(CCN(C)C)[C@@H](c2cc3cc(C#N)ccc3nc2OC)c2cccc3c2OCCO3)cc(OC)n1,99.85,CHEMBL4481767,,Human,ppb
Cc1c(N2CC[C@@H]([C@H](C)N)C2)c(F)cc2ccc(=O)n(C3CC3)c12,Cc1c(N2CC[C@@H]([C@H](C)N)C2)c(F)cc2ccc(=O)n(C3CC3)c12,90.0,CHEMBL4619542,10 uM,Pooled Human Plasma,ppb
Cc1nn(CC(F)(F)F)cc1Nc1ncc(Br)c(NCc2ccc(S(N)(=O)=O)cc2)n1,Cc1nn(CC(F)(F)F)cc1Nc1ncc(Br)c(NCc2ccc(S(N)(=O)=O)cc2)n1,99.3,CHEMBL4364400,0.0002 to 1000 mg/ml,Human Blood,ppb
NC(=O)c1cccc([C@H]2C[C@H]3CC[C@@H](C2)N3CCN(CC2CCCCC2)C(=O)[C@@H](O)CO)c1,NC(=O)c1cccc([C@H]2C[C@H]3CC[C@@H](C2)N3CCN(CC2CCCCC2)C(=O)[C@@H](O)CO)c1.O=S(=O)(O)O,23.0,CHEMBL4411151,,Human,ppb
CC(C)(C)OC(=O)N1CCN(c2ncc(-c3ccc4c(Nc5cnccn5)ccnc4c3)cn2)CC1,CC(C)(C)OC(=O)N1CCN(c2ncc(-c3ccc4c(Nc5cnccn5)ccnc4c3)cn2)CC1,99.0,CHEMBL4373163,,Human,ppb
CCN1CCCN(c2ncc(-c3ccc4c(Nc5cnccn5)ccnc4c3)cn2)CC1,CCN1CCCN(c2ncc(-c3ccc4c(Nc5cnccn5)ccnc4c3)cn2)CC1,80.0,CHEMBL4373163,,Human,ppb
Cc1cnc(Nc2ccnc3cc(-c4cnc(N5CCCN(C)CC5)nc4)ccc23)cn1,Cc1cnc(Nc2ccnc3cc(-c4cnc(N5CCCN(C)CC5)nc4)ccc23)cn1,78.0,CHEMBL4373163,,Human,ppb
CCCn1cc/c(=N\c2cnccn2)c2ccc(-c3cnc(N4CCCN(C)CC4)nc3)cc21,CCCn1cc/c(=N\c2cnccn2)c2ccc(-c3cnc(N4CCCN(C)CC4)nc3)cc21,41.0,CHEMBL4373163,,Human,ppb
CCP(=O)(OC)c1ccc2oc(-c3cccc(Cl)c3F)nc2c1,CCP(=O)(OC)c1ccc2oc(-c3cccc(Cl)c3F)nc2c1,91.0,CHEMBL4621466,,Human,ppb
O=C([O-])CNC(=O)C1=C(O)CCN(Cc2ccc(Oc3ccc(Cl)cc3)nc2)C1=O,O=C([O-])CNC(=O)C1=C(O)CCN(Cc2ccc(Oc3ccc(Cl)cc3)nc2)C1=O.[Na+],99.1,CHEMBL4122067,0.3 ug/ml,Human Plasma,ppb
O=[N+]([O-])c1cn2c(n1)OC[C@@H](OCc1ccc(SC(F)(F)F)cc1)C2,O=[N+]([O-])c1cn2c(n1)OC[C@@H](OCc1ccc(SC(F)(F)F)cc1)C2,60.0,CHEMBL4614992,,Human,ppb
O=C(CC12CCC(C(=O)O)(CC1)CC2)N1CCc2c(n(Cc3ccc(F)cc3F)c3ncccc23)C1,O=C(CC12CCC(C(=O)O)(CC1)CC2)N1CCc2c(n(Cc3ccc(F)cc3F)c3ncccc23)C1,99.1,CHEMBL4619318,,Human,ppb
C=CC(=O)N1CCN(c2nc(OC[C@@H]3CCCN3C)nc3c2CCN(c2cccc4ccccc24)C3)C[C@@H]1CC#N,C=CC(=O)N1CCN(c2nc(OC[C@@H]3CCCN3C)nc3c2CCN(c2cccc4ccccc24)C3)C[C@@H]1CC#N,95.0,CHEMBL4612399,,Human,ppb
N#Cc1ccc2nnc(C(=O)N3CCC(c4cccc(F)c4C(F)(F)F)CC3)n2c1,N#Cc1ccc2nnc(C(=O)N3CCC(c4cccc(F)c4C(F)(F)F)CC3)n2c1,97.0,CHEMBL4305294,1 uM,Human Plasma,ppb
O=C(CC12CCC(C(=O)O)(CC1)CC2)N1CCc2c(n(Cc3ccc(F)cc3)c3ncccc23)C1,O=C(CC12CCC(C(=O)O)(CC1)CC2)N1CCc2c(n(Cc3ccc(F)cc3)c3ncccc23)C1,98.6,CHEMBL4619318,,Human,ppb
CCNC(=O)Nc1cc(Nc2cccc(C)c2)c(C(=O)Nc2cccc(C)c2)cn1,CCNC(=O)Nc1cc(Nc2cccc(C)c2)c(C(=O)Nc2cccc(C)c2)cn1,99.9,CHEMBL4386905,,Human,ppb
COc1cc(Nc2nc(N3C[C@@H](C)N[C@@H](C)C3)ncc2F)ccc1NC(=O)c1ccc(C2=CCCC2)s1,COc1cc(Nc2nc(N3C[C@@H](C)N[C@@H](C)C3)ncc2F)ccc1NC(=O)c1ccc(C2=CCCC2)s1,92.4,CHEMBL4380923,,Human,ppb
COc1ccc(F)cc1-c1ccnc2[nH]c(C3=CCN(CC(=O)O)CC3)cc12,COc1ccc(F)cc1-c1ccnc2[nH]c(C3=CCN(CC(=O)O)CC3)cc12,96.6,CHEMBL4836679,,Human,ppb
COc1ccc(F)cc1-c1c(F)cnc2[nH]c(C3=CCN([C@H]4CC[C@@H](C(=O)O)CC4)CC3)cc12,COc1ccc(F)cc1-c1c(F)cnc2[nH]c(C3=CCN([C@H]4CC[C@@H](C(=O)O)CC4)CC3)cc12,93.4,CHEMBL4836679,,Human,ppb
Cc1cc(Nc2ccc(C(F)(F)F)nc2)n2nc(C(C)(F)F)nc2n1,Cc1cc(Nc2ccc(C(F)(F)F)nc2)n2nc(C(C)(F)F)nc2n1,50.0,CHEMBL4481158,,Human Plasma,ppb
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,99.5,CHEMBL4626811,1 uM,Human Plasma,ppb
Cn1nccc1-c1cc(C(F)(F)F)ccc1[C@H]1CCOc2cc(S(=O)(=O)Nc3ncccn3)ccc21,Cn1nccc1-c1cc(C(F)(F)F)ccc1[C@H]1CCOc2cc(S(=O)(=O)Nc3ncccn3)ccc21,95.4,CHEMBL4629746,,Human,ppb
C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)Cc6sc(N)nc6C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)Cc6sc(N)nc6C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,95.8,CHEMBL4315698,10 uM,Human Plasma,ppb
CC[C@@H]1CN2CC[C@@]3(O)C(=Nc4cccc(OC)c43)[C@@H]2C[C@@H]1/C(=C\OC)C(=O)OC,CC[C@@H]1CN2CC[C@@]3(O)C(=Nc4cccc(OC)c43)[C@@H]2C[C@@H]1/C(=C\OC)C(=O)OC,90.0,CHEMBL4380114,1 uM,Human Plasma,ppb
O=C1CN(c2cn[nH]c(=O)c2Cl)CCN1Cc1ccccc1C(F)(F)F,O=C1CN(c2cn[nH]c(=O)c2Cl)CCN1Cc1ccccc1C(F)(F)F,69.0,CHEMBL4410998,1 uM,Human,ppb
c1cnn2ncc(-c3ccncc3)c2c1,c1cnn2ncc(-c3ccncc3)c2c1,86.0,CHEMBL4325182,,Human,ppb
COc1ccc2c(-c3ccnc(N[C@H]4CC[C@H](O)CC4)n3)cnn2n1,COc1ccc2c(-c3ccnc(N[C@H]4CC[C@H](O)CC4)n3)cnn2n1,85.0,CHEMBL4325182,,Human,ppb
O=C(Cc1ccc(O)cc1)N1CC(CNc2ccccc2)C2(C1)CN(c1ccc(F)cc1)C2,O=C(Cc1ccc(O)cc1)N1CC(CNc2ccccc2)C2(C1)CN(c1ccc(F)cc1)C2,95.9,CHEMBL4737861,,Human,ppb
COc1ccc2c(c1C(=O)O)OB(O)[C@@H]1C[C@H]21,COc1ccc2c(c1C(=O)O)OB(O)[C@@H]1C[C@H]21,89.0,CHEMBL4617776,,Human,ppb
Cc1nc2ccnn2c(NCc2ccccn2)c1C,Cc1nc2ccnn2c(NCc2ccccn2)c1C,77.0,CHEMBL4828389,,Human,ppb
Cc1nc2c(-c3ccccc3F)cnn2c(NCc2ccccn2)c1C,Cc1nc2c(-c3ccccc3F)cnn2c(NCc2ccccn2)c1C,99.9,CHEMBL4828389,,Human,ppb
Cc1nc2c(-c3ccccc3S(C)(=O)=O)cnn2c(NCc2ccccn2)c1C,Cc1nc2c(-c3ccccc3S(C)(=O)=O)cnn2c(NCc2ccccn2)c1C,88.0,CHEMBL4828389,,Human,ppb
CC(F)(F)COc1ncncc1CNc1ncc(C#N)c(N[C@@H]2CC[C@H](O)C(C)(C)C2)n1,CC(F)(F)COc1ncncc1CNc1ncc(C#N)c(N[C@@H]2CC[C@H](O)C(C)(C)C2)n1,84.0,CHEMBL4827870,,Human,ppb
CCn1c(-c2cnc(C)nc2)nc2c(N[C@H]3CCN(C(=O)C4CC4)C3)ncnc21,CCn1c(-c2cnc(C)nc2)nc2c(N[C@H]3CCN(C(=O)C4CC4)C3)ncnc21,30.0,CHEMBL4835503,,Human,ppb
C/C=C/C[C@H](C)[C@@H](OC)[C@@H](C)[C@H](O)C[C@H]1OC(=O)C=C[C@H]1CC,C/C=C/C[C@H](C)[C@@H](OC)[C@@H](C)[C@H](O)C[C@H]1OC(=O)C=C[C@H]1CC,87.0,CHEMBL4370484,,Human,ppb
O=C(C[C@H]1CC[C@@H](C(=O)O)CC1)N1CCc2c(n(Cc3cccc(F)c3)c3ncccc23)C1,O=C(C[C@H]1CC[C@@H](C(=O)O)CC1)N1CCc2c(n(Cc3cccc(F)c3)c3ncccc23)C1,99.6,CHEMBL4619318,,Human,ppb
CCOc1ccc2cc(-c3nn(C(C)(C)CCO)c(N)c3C(N)=O)ccc2c1,CCOc1ccc2cc(-c3nn(C(C)(C)CCO)c(N)c3C(N)=O)ccc2c1,99.0,CHEMBL4675506,,Human,ppb
Cc1cc(C(F)(F)F)ccc1-c1cc2cn([C@@H](CC(C)C)c3ccc(C(=O)NCCC(=O)O)cc3)nc2cc1C,Cc1cc(C(F)(F)F)ccc1-c1cc2cn([C@@H](CC(C)C)c3ccc(C(=O)NCCC(=O)O)cc3)nc2cc1C,99.99,CHEMBL4400436,1 uM,Human,ppb
Cc1cc2c(cnn2[C@@H](CC(C)C)c2ccc(C(=O)NCCC(=O)O)cc2)cc1-c1ccc(C(F)(F)F)cc1Cl,Cc1cc2c(cnn2[C@@H](CC(C)C)c2ccc(C(=O)NCCC(=O)O)cc2)cc1-c1ccc(C(F)(F)F)cc1Cl,99.99,CHEMBL4400436,1 uM,Human,ppb
N#Cc1ccc(/C=C/c2nc3ccccc3c(=O)n2-c2cccc(C(N)=O)c2)cc1,N#Cc1ccc(/C=C/c2nc3ccccc3c(=O)n2-c2cccc(C(N)=O)c2)cc1,97.1,CHEMBL4346501,10 uM,Human,ppb
O=C(Nc1c(Cl)cncc1Cl)c1ccc(OC(F)F)c(OCC2CC2)c1,O=C(Nc1c(Cl)cncc1Cl)c1ccc(OC(F)F)c(OCC2CC2)c1,98.49,CHEMBL4197732,,Human Plasma,ppb
COC(=O)C1=C(c2ccc(CNc3nccc(C)c3NC(=O)CC#N)cc2)CCCC1,COC(=O)C1=C(c2ccc(CNc3nccc(C)c3NC(=O)CC#N)cc2)CCCC1,96.0,CHEMBL839458,,Human Serum,ppb
COc1cc([C@](O)(CCN(C)C)[C@H](c2cc(OC(C)C)cnc2OC)c2cc3cc(C#N)ccc3nc2OC)cc(OC)n1,COc1cc([C@](O)(CCN(C)C)[C@H](c2cc(OC(C)C)cnc2OC)c2cc3cc(C#N)ccc3nc2OC)cc(OC)n1,99.86,CHEMBL4481767,,Human,ppb
CNc1nccc(N2CC[C@H](NC(=O)Nc3ccc(CN4CCOCC4)c(C(F)(F)F)c3)C2)n1,CNc1nccc(N2CC[C@H](NC(=O)Nc3ccc(CN4CCOCC4)c(C(F)(F)F)c3)C2)n1,95.2,CHEMBL4426347,,Human,ppb
CCN1CCN(Cc2ccc(NC(=O)N[C@H]3CCN(c4ccnc(NC)n4)C3)cc2C(F)(F)F)CC1,CCN1CCN(Cc2ccc(NC(=O)N[C@H]3CCN(c4ccnc(NC)n4)C3)cc2C(F)(F)F)CC1,75.2,CHEMBL4426347,,Human,ppb
CCO[C@@H](CC(=O)O)c1ccc(O[C@@H]2CCc3c2cccc3C(F)(F)F)cc1,CCO[C@@H](CC(=O)O)c1ccc(O[C@@H]2CCc3c2cccc3C(F)(F)F)cc1,99.2,CHEMBL3607678,,Human,ppb
COc1ccc(Cn2cc(C(=O)O)c(=O)c3ccccc32)cc1,COc1ccc(Cn2cc(C(=O)O)c(=O)c3ccccc32)cc1,99.1,CHEMBL4309926,,Human,ppb
CC(C)c1c(-c2cnn(CCC#N)c2)[nH]c2c(C#N)cnn2c1=O,CC(C)c1c(-c2cnn(CCC#N)c2)[nH]c2c(C#N)cnn2c1=O,93.4,CHEMBL4427149,,Human,ppb
CC(C)c1c(-c2cnn(-c3ccccc3)c2)[nH]c2c(C#N)cnn2c1=O,CC(C)c1c(-c2cnn(-c3ccccc3)c2)[nH]c2c(C#N)cnn2c1=O,99.9,CHEMBL4427149,,Human,ppb
CCc1ccc2nc(N3CCC(NCC4(C)COC4)CC3)c(-c3nc(C)no3)cc2c1,CCc1ccc2nc(N3CCC(NCC4(C)COC4)CC3)c(-c3nc(C)no3)cc2c1,91.7,CHEMBL4424278,1 uM,Human Plasma,ppb
c1cnn2ncc(-c3ccnc(Nc4ccnnc4)n3)c2c1,c1cnn2ncc(-c3ccnc(Nc4ccnnc4)n3)c2c1,44.0,CHEMBL4325182,,Human,ppb
O[C@H](C[C@H]1c2c(F)cccc2-c2cncn21)[C@H]1CC[C@H](O)CC1,O[C@H](C[C@H]1c2c(F)cccc2-c2cncn21)[C@H]1CC[C@H](O)CC1,52.0,CHEMBL4367347,0.2 to 20 uM,Human Plasma,ppb
Cc1nccnc1Nc1ccnc2cc(-c3cnc(N4CCCN(C)CC4)nc3)ccc12,Cc1nccnc1Nc1ccnc2cc(-c3cnc(N4CCCN(C)CC4)nc3)ccc12,58.0,CHEMBL4373163,,Human,ppb
CCn1cc/c(=N\c2cnccn2)c2ccc(-c3cnc(N4CCCN(C)CC4)nc3)cc21,CCn1cc/c(=N\c2cnccn2)c2ccc(-c3cnc(N4CCCN(C)CC4)nc3)cc21,41.0,CHEMBL4373163,,Human,ppb
CCCN1CCN(c2ncc(-c3ccc4c(Nc5cnccn5)ccnc4c3)cn2)CC1,CCCN1CCN(c2ncc(-c3ccc4c(Nc5cnccn5)ccnc4c3)cn2)CC1,95.0,CHEMBL4373163,,Human,ppb
CS(=O)(=O)N1CCN(c2ncc(-c3ccc4c(Nc5cnccn5)ccnc4c3)cn2)CC1,CS(=O)(=O)N1CCN(c2ncc(-c3ccc4c(Nc5cnccn5)ccnc4c3)cn2)CC1,95.0,CHEMBL4344858,,Human,ppb
Cc1cc2c(Nc3cnccn3)ccnc2cc1-c1cnc(N2CCN(C)CC2)nc1,Cc1cc2c(Nc3cnccn3)ccnc2cc1-c1cnc(N2CCN(C)CC2)nc1,97.0,CHEMBL4344877,1 uM,Human,ppb
Cc1c(-c2cnc(N3CCCN(C)CC3)nc2)ccc2c(Nc3cnccn3)ccnc12,Cc1c(-c2cnc(N3CCCN(C)CC3)nc2)ccc2c(Nc3cnccn3)ccnc12,82.0,CHEMBL4344877,1 uM,Human,ppb
CCN1CCCN(c2ncc(-c3ccc4c(Nc5cnccn5)ccnc4c3C)cn2)CC1,CCN1CCCN(c2ncc(-c3ccc4c(Nc5cnccn5)ccnc4c3C)cn2)CC1,88.0,CHEMBL4344877,1 uM,Human,ppb
Cc1c(-c2cnc(N3CCCNCC3)nc2)ccc2c(Nc3cnccn3)ccnc12,Cc1c(-c2cnc(N3CCCNCC3)nc2)ccc2c(Nc3cnccn3)ccnc12,76.0,CHEMBL4344877,1 uM,Human,ppb
O=C(C[C@@H]1C(=O)Nc2ccccc2N1S(=O)(=O)c1ccc(Cl)c(Cl)c1)NCCc1ccc(C2=NCCN2)cc1,O=C(C[C@@H]1C(=O)Nc2ccccc2N1S(=O)(=O)c1ccc(Cl)c(Cl)c1)NCCc1ccc(C2=NCCN2)cc1,36.0,CHEMBL829768,,Human Plasma Protein,ppb
Cc1nc(N)ccc1CNC(=O)Cn1c(C2CC2)ccc(NS(=O)(=O)Cc2ccc(Cl)cc2)c1=O,Cc1nc(N)ccc1CNC(=O)Cn1c(C2CC2)ccc(NS(=O)(=O)Cc2ccc(Cl)cc2)c1=O,94.0,CHEMBL697760,,Human Plasma,ppb
