,Molecule ChEMBL ID,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Document ChEMBL ID,Source Description,Document Journal,Document Year
41,CHEMBL256195,CC(N)COc1nnc(-c2cn3ncnc(Nc4cc(C(=O)NC5CC5)c(F)cc4F)c3c2C(C)C)o1,IC50,'>',40000.0,nM,CHEMBL949198,Inhibition of human CYP3A4,A,BAO_0000357,single protein format,CHEMBL1143868,Scientific Literature,Bioorg Med Chem Lett,2008.0
42,CHEMBL1241913,Cc1ccc2c(N3CCN(CCc4cccc5c4OCc4c(C(N)=O)ncn4-5)CC3)cccc2n1,IC50,'=',100000.0,nM,CHEMBL1248765,Inhibition of CYP3A4 in human liver microsomes measured immediately,A,BAO_0000251,microsome format,CHEMBL1240442,Scientific Literature,J Med Chem,2010.0
43,CHEMBL252838,O=C(NCc1nc2cccnc2n1C1(c2ccccc2)CC1)[C@@H](Cc1ccccc1Cl)NC(=O)C1(C(F)(F)F)CC1,IC50,'>',20000.0,nM,CHEMBL928307,Inhibition of CYP3A4,A,BAO_0000357,single protein format,CHEMBL1141499,Scientific Literature,Bioorg Med Chem Lett,2008.0
44,CHEMBL252240,CC(C)(C)OC(=O)N[C@H](Cc1cccc(F)c1C(F)(F)F)C(=O)NCc1nc2cccnc2n1C1(c2ccccc2)CC1,IC50,'=',810.0,nM,CHEMBL928307,Inhibition of CYP3A4,A,BAO_0000357,single protein format,CHEMBL1141499,Scientific Literature,Bioorg Med Chem Lett,2008.0
45,CHEMBL399568,CC(C)(C)OC(=O)N[C@H](Cc1ccccc1C(F)(F)F)C(=O)NCc1nc2cccnc2n1CC1CC1,IC50,'=',2430.0,nM,CHEMBL928307,Inhibition of CYP3A4,A,BAO_0000357,single protein format,CHEMBL1141499,Scientific Literature,Bioorg Med Chem Lett,2008.0
48,CHEMBL485196,O=C(CCc1noc2c1CCc1cc(O)ccc1-2)NC1=C(C(=O)O)CCCC1,IC50,'=',11000.0,nM,CHEMBL1009689,Inhibition of CYP2C9 in human liver microsomes using diclofenac substrate,A,BAO_0000251,microsome format,CHEMBL1154005,Scientific Literature,J Med Chem,2009.0
49,CHEMBL240436,CCc1ccccc1N(CC(=O)NCc1ccc(Cl)cc1)S(=O)(=O)c1ccc(C)cc1,IC50,'=',31622.78,nM,CHEMBL902280,Inhibition of CYP1A2,A,BAO_0000357,single protein format,CHEMBL1139103,Scientific Literature,Bioorg Med Chem Lett,2007.0
50,CHEMBL1209693,COC(C)(C)CC1n2cncc2CN([C@@H](C)c2ccc(Cl)cc2)S1(=O)=O,IC50,'=',20.6,nM,CHEMBL1211864,Inhibition of human recombinant CYP11B1 by cell-based assay,B,BAO_0000219,cell-based format,CHEMBL1208751,Scientific Literature,Bioorg Med Chem Lett,2010.0
51,CHEMBL466278,CC(C)(C)OC(=O)NCc1noc(-c2nn(Cc3ccc(C(N)=O)cc3)c3ccccc23)n1,IC50,'>',10000.0,nM,CHEMBL971452,Inhibition of human recombinant CYP2D6,A,BAO_0000357,single protein format,CHEMBL1138611,Scientific Literature,J Med Chem,2009.0
52,CHEMBL525607,NCc1noc(-c2n[nH]c3ccccc23)n1,IC50,'=',210.0,nM,CHEMBL971453,Inhibition of human recombinant CYP1A2,A,BAO_0000357,single protein format,CHEMBL1138611,Scientific Literature,J Med Chem,2009.0
53,CHEMBL467496,NCc1noc(-c2nn(Cc3ccc(C(N)=O)cc3)c3ccccc23)n1,IC50,'=',1300.0,nM,CHEMBL971452,Inhibition of human recombinant CYP2D6,A,BAO_0000357,single protein format,CHEMBL1138611,Scientific Literature,J Med Chem,2009.0
54,CHEMBL453384,CC(C)(C)NCc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1F,IC50,'=',52000.0,nM,CHEMBL1029111,Inhibition of human CYP2C9,A,BAO_0000357,single protein format,CHEMBL1153384,Scientific Literature,J Med Chem,2009.0
55,CHEMBL447955,C[C@@H](O[C@H]1CC[C@@H]2CN(C3=CC(=O)CC3)C[C@H]2[C@@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,IC50,'=',30000.0,nM,CHEMBL984122,Inhibition of human CYP2C9,A,BAO_0000357,single protein format,CHEMBL1138468,Scientific Literature,J Med Chem,2009.0
56,CHEMBL269933,CCC[C@H](C[C@@H](O)N1CCC[C@@H](Cc2ccc(F)cc2)C1)NC(=O)Nc1cccc(-c2nnnn2C)c1,IC50,'=',500.0,nM,CHEMBL947059,Inhibition of CYP2D6,A,BAO_0000357,single protein format,CHEMBL1142350,Scientific Literature,Bioorg Med Chem Lett,2008.0
57,CHEMBL255399,C[C@H](C[C@@H](O)N1CCC[C@@H](Cc2ccc(F)cc2)C1)NC(=O)Nc1cc(-c2ncco2)cc(-c2ncco2)c1,IC50,'=',500.0,nM,CHEMBL947059,Inhibition of CYP2D6,A,BAO_0000357,single protein format,CHEMBL1142350,Scientific Literature,Bioorg Med Chem Lett,2008.0
58,CHEMBL255398,CC(=O)c1cc(NC(=O)N[C@H](C)CCN2CCC[C@@H](Cc3ccc(F)cc3)C2)cc(C(C)=O)c1,IC50,'=',1300.0,nM,CHEMBL947059,Inhibition of CYP2D6,A,BAO_0000357,single protein format,CHEMBL1142350,Scientific Literature,Bioorg Med Chem Lett,2008.0
59,CHEMBL257737,Cc1cc(NC(=O)N[C@H](C)CCN2CCC[C@@H](Cc3ccc(F)cc3)C2)cc(-c2nnnn2C)c1,IC50,'=',200.0,nM,CHEMBL947059,Inhibition of CYP2D6,A,BAO_0000357,single protein format,CHEMBL1142350,Scientific Literature,Bioorg Med Chem Lett,2008.0
60,CHEMBL428775,C[C@H](CCN1CCC[C@@H](Cc2ccc(F)cc2)C1)NC(=O)Nc1cccc(-c2nnnn2C)c1,IC50,'=',400.0,nM,CHEMBL947059,Inhibition of CYP2D6,A,BAO_0000357,single protein format,CHEMBL1142350,Scientific Literature,Bioorg Med Chem Lett,2008.0
61,CHEMBL245687,c1ccc(-c2ccccc2CN(C2CCOCC2)[C@H]2CCNC2)cc1,IC50,'=',100.0,nM,CHEMBL903475,Inhibition of human CYP2D6,A,BAO_0000357,single protein format,CHEMBL1139125,Scientific Literature,Bioorg Med Chem Lett,2007.0
62,CHEMBL467720,O=C([O-])c1cccc(Cc2cc(Cl)ccc2OCc2ccc(Cl)cc2Cl)n1.[Na+],IC50,'>',50000.0,nM,CHEMBL969591,Inhibition of human CYP2C19,A,BAO_0000357,single protein format,CHEMBL1138602,Scientific Literature,Bioorg Med Chem Lett,2009.0
63,CHEMBL429743,COc1cc2nccc(Oc3ccc4c(C(=O)Nc5ccc(Cl)cc5)cccc4c3)c2cc1OC,IC50,'>',50000.0,nM,CHEMBL932841,Inhibition of CYP2D6,A,BAO_0000357,single protein format,CHEMBL1144685,Scientific Literature,J Med Chem,2008.0
64,CHEMBL408479,CN(C)S(=O)(=O)N(C)[C@@H]1CCCn2c1nc(C(=O)NCc1ccc(F)cc1)c(O)c2=O,IC50,'>',100000.0,nM,CHEMBL932295,Inhibition of CYP2C9,A,BAO_0000357,single protein format,CHEMBL1143246,Scientific Literature,J Med Chem,2008.0
65,CHEMBL254328,C[C@]12CC[C@H](O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(c3cccnc3)=CC[C@@H]12,IC50,'=',72.0,nM,CHEMBL927592,Inhibition of human CYP17 expressed in Escherichia coli,B,BAO_0000019,assay format,CHEMBL1140785,Scientific Literature,Bioorg Med Chem Lett,2008.0
66,CHEMBL1209556,CC(C)CC1n2cncc2CN(Cc2ccc(C(F)(F)F)cc2)S1(=O)=O,IC50,'=',566.0,nM,CHEMBL1211864,Inhibition of human recombinant CYP11B1 by cell-based assay,B,BAO_0000219,cell-based format,CHEMBL1208751,Scientific Literature,Bioorg Med Chem Lett,2010.0
67,CHEMBL465244,C[C@@H]1CN(Cc2ccc(-c3ccccc3CN(C)C(=O)COc3ccccc3)cc2)C[C@H](C)N1,IC50,'=',24000.0,nM,CHEMBL1013733,Inhibition of CYP3A4 using phenyl-piperazinyl-methyl-benzyl-resofurin substrate,A,BAO_0000357,single protein format,CHEMBL1152208,Scientific Literature,Bioorg Med Chem Lett,2008.0
68,CHEMBL473921,C[C@@H]1CN(Cc2ccc(-c3cccnc3C(=O)N3CCC(Nc4ccc(F)cc4)CC3)cc2)C[C@H](C)N1,IC50,'>',100000.0,nM,CHEMBL1013737,Inhibition of CYP1A2,A,BAO_0000357,single protein format,CHEMBL1152208,Scientific Literature,Bioorg Med Chem Lett,2008.0
69,CHEMBL480219,C[C@@H]1CN(Cc2ccc(-n3ccnc3C(=O)N3CCC(Nc4cccc(F)c4)CC3)cc2)C[C@H](C)N1,IC50,'>',100000.0,nM,CHEMBL1013738,Inhibition of CYP2C9,A,BAO_0000357,single protein format,CHEMBL1152208,Scientific Literature,Bioorg Med Chem Lett,2008.0
70,CHEMBL1209626,CC(C)CC1n2cncc2CN([C@H](C)c2ccc(Cl)cc2)S1(=O)=O,IC50,'<',68.0,nM,CHEMBL1211868,Inhibition of human CYP3A4-mediated midazolam oxidation,A,BAO_0000357,single protein format,CHEMBL1208751,Scientific Literature,Bioorg Med Chem Lett,2010.0
71,CHEMBL1209628,C[C@@H](c1ccc(Cl)cc1)N1Cc2cncn2C(CC2(C)COC2)S1(=O)=O,IC50,'<',68.0,nM,CHEMBL1211868,Inhibition of human CYP3A4-mediated midazolam oxidation,A,BAO_0000357,single protein format,CHEMBL1208751,Scientific Literature,Bioorg Med Chem Lett,2010.0
72,CHEMBL410503,CS(=O)(=O)OCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,IC50,'=',7700.0,nM,CHEMBL950312,Inhibition of human recombinant CYP3A4 expressed in Saccharomyces cerevisiae by fluorescence assay,A,BAO_0000019,assay format,CHEMBL1144029,Scientific Literature,J Med Chem,2008.0
73,CHEMBL487438,O=C(O)[C@H](Cc1ccc(-n2c(C3(C(F)(F)F)CC3)nc3cccnc32)cc1)NC1=C(Br)C(=O)C12CCCCC2,IC50,'>',100000.0,nM,CHEMBL951565,Inhibition of CYP2D6,A,BAO_0000357,single protein format,CHEMBL1157490,Scientific Literature,Bioorg Med Chem Lett,2008.0
75,CHEMBL521889,Cc1cccc(C)c1CNc1cc(N2CCNC2=O)cn2c(C)c(C)nc12,IC50,'>',100000.0,nM,CHEMBL964392,Inhibition of CYP1A2,A,BAO_0000357,single protein format,CHEMBL1136984,Scientific Literature,Bioorg Med Chem Lett,2009.0
76,CHEMBL1215552,COC(=O)C1=C(Cn2ccnc2)NC(C)=C(C#N)C1c1ccc(F)cc1Cl,IC50,'=',1000.0,nM,CHEMBL1219580,Inhibition of CYP2C9,A,BAO_0000357,single protein format,CHEMBL1212896,Scientific Literature,J Med Chem,2010.0
77,CHEMBL1215621,COC(=O)C1=C(Cn2cncn2)NC(C)=C(C#N)C1c1ccc(F)cc1Cl,IC50,'>',10000.0,nM,CHEMBL1219581,Inhibition of CYP2D6,A,BAO_0000357,single protein format,CHEMBL1212896,Scientific Literature,J Med Chem,2010.0
78,CHEMBL1957816,O=C(c1cccn2ccnc12)N1CCN(CCc2ccc(F)cc2F)CC1,IC50,'>',40000.0,nM,CHEMBL1961175,Inhibition of CYP2D6 in human liver microsomes,A,BAO_0000251,microsome format,CHEMBL1955741,Scientific Literature,Bioorg Med Chem Lett,2012.0
79,CHEMBL500680,CCC(c1ccc(-c2ccc(O)cc2)cc1)n1ccnc1,IC50,'=',231.0,nM,CHEMBL1052377,Inhibition of human CYP17 expressed in Escherichia coli coexpressing NADPH-P450 reductase,B,BAO_0000019,assay format,CHEMBL1152894,Scientific Literature,Eur J Med Chem,2009.0
80,CHEMBL565098,CCC(c1ccc(-c2cc(O)cc(O)c2)cc1)n1ccnc1,IC50,'=',195.0,nM,CHEMBL1052377,Inhibition of human CYP17 expressed in Escherichia coli coexpressing NADPH-P450 reductase,B,BAO_0000019,assay format,CHEMBL1152894,Scientific Literature,Eur J Med Chem,2009.0
81,CHEMBL564144,C[C@@H](c1ccccn1)c1c(CCN(C)C)sc2ccccc12,IC50,'=',28200.0,nM,CHEMBL1051825,Inhibition of recombinant CYP2D6 in presence of NADPH generating system,A,BAO_0000357,single protein format,CHEMBL1153519,Scientific Literature,J Med Chem,2009.0
82,CHEMBL508368,C[C@@H](N[C@@H]1CCCc2c1[nH]c1ccc(Br)cc21)c1ccccc1,IC50,'=',160.0,nM,CHEMBL1063962,Inhibition of CYP2D6,A,BAO_0000357,single protein format,CHEMBL1152400,Scientific Literature,Bioorg Med Chem Lett,2009.0
83,CHEMBL1649683,O=C(c1ccc(-n2nc(C(F)(F)F)c3c2COCC3)cc1)N1CCCC1,IC50,'>',10000.0,nM,CHEMBL1656982,Inhibition of human CYP2C19 by fluorescence assay,A,BAO_0000357,single protein format,CHEMBL1649062,Scientific Literature,J Med Chem,2011.0
84,CHEMBL1649669,O=C(Cc1ccc(-n2nc(C(F)(F)F)c3c2CCCC3)cc1F)N1CCCC1,IC50,'=',7000.0,nM,CHEMBL1656983,Inhibition of human CYP2C9 by fluorescence assay,A,BAO_0000357,single protein format,CHEMBL1649062,Scientific Literature,J Med Chem,2011.0
85,CHEMBL229861,CC[C@H]1[C@@H]2[C@@H](O)CCN2C(=O)N1c1ccc(C#N)c(Cl)c1C,IC50,'>',40000.0,nM,CHEMBL888450,Inhibition of CYP2D6,A,BAO_0000357,single protein format,CHEMBL1145402,Scientific Literature,J Med Chem,2007.0
86,CHEMBL193606,C(=C1\CCCc2ccccc21)\c1cccnc1,IC50,'=',6580.0,nM,CHEMBL830012,In vitro inhibitory concentration against human placental CYP19 incubated with 500 nM of substrate androstenedione in presence of the compound,B,BAO_0000019,assay format,CHEMBL1142706,Scientific Literature,J Med Chem,2005.0
87,CHEMBL1651512,c1ccc(C(CCn2cnc3ccccc32)(c2ccccc2)c2ccccc2)cc1,IC50,'>',1000.0,nM,CHEMBL1656353,Inhibition of human CYP11B2 expressed in hamster V79MZ cells using 11-deoxycorticosterone substrate,B,BAO_0000219,cell-based format,CHEMBL1649094,Scientific Literature,ACS Med Chem Lett,2011.0
88,CHEMBL370530,Fc1ccc2c(c1)CC/C2=C\c1cccc2cnccc12,IC50,'=',57.0,nM,CHEMBL828695,In vitro inhibitory concentration against human CYP11B2 expressed in V79MZh hamster fibroblasts incubated with 100 nM of substrate deoxy-corticosterone in presence of the compound,B,BAO_0000019,assay format,CHEMBL1142706,Scientific Literature,J Med Chem,2005.0
89,CHEMBL1215623,COC(=O)C1=C(Cn2cnnn2)NC(C)=C(C#N)[C@H]1c1ccc(F)cc1Cl,IC50,'>',10000.0,nM,CHEMBL1219580,Inhibition of CYP2C9,A,BAO_0000357,single protein format,CHEMBL1212896,Scientific Literature,J Med Chem,2010.0
91,CHEMBL1290041,O=c1cc(-c2ccc(C(F)(F)F)cc2)ccn1-c1ccc2c(cnn2CCN2CCCC2)c1,IC50,'>',10000000.0,nM,CHEMBL1293109,Inhibition of CYP1A2,A,BAO_0000357,single protein format,CHEMBL1287674,Scientific Literature,Bioorg Med Chem Lett,2010.0
92,CHEMBL258502,COc1ccc(CCCOC(Cn2ccnc2)c2ccc(OC)cc2)cc1,IC50,'=',220.0,nM,CHEMBL951255,Inhibition of human recombinant CYP2C9 expressed in Saccharomyces cerevisiae by fluorescence assay,A,BAO_0000019,assay format,CHEMBL1144029,Scientific Literature,J Med Chem,2008.0
93,CHEMBL478612,Cc1nc2ccc(N(C)c3ccnc(Nc4cccc(S(N)(=O)=O)c4)n3)cc2n1C,IC50,'=',26000.0,nM,CHEMBL983782,Inhibition of human recombinant CYP2C19,A,BAO_0000357,single protein format,CHEMBL1155848,Scientific Literature,J Med Chem,2008.0
